study_code	sample_alias	spire_sample_name	longitude	latitude	geographic_location	location_resolution	collection_date	collection_date_end	last_change	tax_id	environment_material	environment_biome	environmental_package	environment_feature	artificial	depth_meters	salinity_sensor	temperature	protocol_label	sampling_campaign	sampling_station	sampling_platform	pmid	doi	filtration_upper_threshold_um	filtration_lower_threshold_um	location
Alneberg_2020_marine_Baltic	Alneberg_2020_marine_Baltic.P4201_120	SAMEA6236732	17.06204	56.938436	Baltic Sea	exact_location	2014-07-09		2024-08-07 16:11:57.264454	1169740	brackish water [ENVO:00002019]	aquatic biome [ENVO:00002030]	water	brackish water environment [ENVO:01000322]		2	6.71	17.8					32170201	10.1038/s42003-020-0856-x	200	0.1	
JGI_DOE_NSPO	JGI_DOE_NSPO.LP_J_2015_P26_10m	SAMN10350577	-145.0	50.0	Pacific Ocean	region	2015-06-16		2024-09-04 11:20:04.045375	1561972	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	ocean [ENVO:00000015]		10											Canada: Northeast Subartic Pacific Ocean
JGI_DOE_NSPO	JGI_DOE_NSPO.LP_J_2011_P26_1000m	SAMN10350580	-145.0	50.0	Pacific Ocean	region	2011-06-12		2024-09-04 11:20:04.045375	1561972	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	ocean [ENVO:00000015]		1000											Canada: Northeast Subartic Pacific Ocean
Becker_2023_coral_reefs	Becker_2023_coral_reefs.MG_6	SAMN32145372	-82.12265	24.47569	USA	exact_location	2019-06-05		2024-08-07 16:30:13.520170	1561972	sea water [ENVO:00002149]	marine coral reef biome [ENVO:01000049]	water	coral reef [ENVO:00000150]		11.8872				M/V Alucia	FLA_001		37719750	10.1093/pnasnexus/pgad287	0.2	0.1	USA: Florida
JGI_DOE_NSPO	JGI_DOE_NSPO.LP_J_2015_P26_500m	SAMN10350721	-145.0	50.0	Pacific Ocean	region	2015-06-16		2024-09-04 11:20:04.045375	1561972	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	ocean [ENVO:00000015]		500											Canada: Northeast Subartic Pacific Ocean
JGI_DOE_NSPO	JGI_DOE_NSPO.LP_J_2011_P26_500m	SAMN10350738	-145.0	50.0	Pacific Ocean	region	2011-06-12		2024-09-04 11:20:04.045375	1561972	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	ocean [ENVO:00000015]		500											Canada: Northeast Subartic Pacific Ocean
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S07C001-0015	SAMN06183599	-156.8	24.37	Pacific Ocean	exact_location	2015-07-26		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.391	26.631	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
JGI_marine_virus	JGI_marine_virus.sample_ETNP_6_85	SAMN06268331	-104.89	18.92	Pacific Ocean	exact_location	2013-06-19		2024-08-07 17:11:29.350354	408172	sea water [ENVO:00002149]	marine biome [ENVO:00000447]	water	ocean [ENVO:00000015]		85.0											Pacific Ocean
JGI_DOE_NSPO	JGI_DOE_NSPO.LP_J_2015_P26_2000m	SAMN10350764	-145.0	50.0	Pacific Ocean	region	2015-06-16		2024-09-04 11:20:04.045375	1561972	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	ocean [ENVO:00000015]		2000											Canada: Northeast Subartic Pacific Ocean
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S08C001-0015	SAMN06183600	-156.77	24.39	Pacific Ocean	exact_location	2015-07-26		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.385	26.824	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S09C001-0015	SAMN06183601	-156.77	24.39	Pacific Ocean	exact_location	2015-07-27		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.38	26.776	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
DBO-NCIS_2017_Arctic_Ocean	DBO-NCIS_2017_Arctic_Ocean.CBL-2-69-S196	SAMN16930074	-160.0	60.0	USA	region	2010-01-01	2023-12-31	2025-08-11 09:50:04.826087	408172	sea water [ENVO:00002149]	marine biome [ENVO:00000447]	water	sea [ENVO:00000016]		4											USA: Alaskan Arctic
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S14C001-0015	SAMN06183602	-156.76	24.42	Pacific Ocean	exact_location	2015-07-27		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.373	26.766	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
JGI_marine_virus	JGI_marine_virus.sample_ETNP_2_60	SAMN06268326	-108.7999	18.92	Pacific Ocean	exact_location	2013-06-22		2024-08-07 17:11:29.350354	408172	sea water [ENVO:00002149]	marine biome [ENVO:00000447]	water	ocean [ENVO:00000015]		60.0											Pacific Ocean
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S15C001-0015	SAMN06183603	-156.74	24.46	Pacific Ocean	exact_location	2015-07-27		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.379	26.716	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
Sieradzki_2019_marine	Sieradzki_2019_marine.ES_05252018_CAT_Oct2014_t0	SAMEA4692735	-118.475	33.454	Pacific Ocean	exact_location	2014-10-19		2024-08-07 18:04:04.218178	1561972	mesotrophic water [ENVO:00002225]	ocean [ENVO:00000015]	water	upwelling [ENVO:01000005]		0							30862830	10.1038/s41467-019-09106-z	80	0.2	Pacific Ocean
Sieradzki_2019_marine	Sieradzki_2019_marine.ES_05252018_POLA_Jul2014_t0	SAMEA4692736	-118.25399999999999	33.71	Pacific Ocean	exact_location	2014-07-14		2024-08-07 18:04:04.218178	1561972	mesotrophic water [ENVO:00002225]	ocean [ENVO:00000015]	water	upwelling [ENVO:01000005]		0							30862830	10.1038/s41467-019-09106-z	80	0.2	Pacific Ocean
Sieradzki_2019_marine	Sieradzki_2019_marine.ES_05252018_SPOT_Jul2014_t0	SAMEA4692738	-118.4	33.55	Pacific Ocean	exact_location	2014-07-14		2024-08-07 18:04:04.218178	1561972	mesotrophic water [ENVO:00002225]	ocean [ENVO:00000015]	water	upwelling [ENVO:01000005]		0							30862830	10.1038/s41467-019-09106-z	80	0.2	Pacific Ocean
Sieradzki_2019_marine	Sieradzki_2019_marine.ES_05252018_SPOT_Oct2014_t0	SAMEA4692739	-118.4	33.55	Pacific Ocean	exact_location	2014-07-14		2024-08-07 18:04:04.218178	1561972	mesotrophic water [ENVO:00002225]	ocean [ENVO:00000015]	water	upwelling [ENVO:01000005]		0							30862830	10.1038/s41467-019-09106-z	80	0.2	Pacific Ocean
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S22C001-0015	SAMN06183610	-156.58	24.55	Pacific Ocean	exact_location	2015-07-28		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.378	26.772	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
Haroon_2016_red_sea	Haroon_2016_red_sea.sample02	SAMN03860259	40.54	17.39	Saudi Arabia	exact_location	2011-10-15		2024-08-07 17:06:10.004642	1561972	sea water [ENVO:00002149]	marginal sea biome [ENVO:01000046]	water	sea water environment [ENVO:01000321]		25	38.869	31.144		KRSE2011	Station 12		27377622	10.1038/sdata.2016.50	1.2	0.1	Saudi Arabia: Red Sea
Haroon_2016_red_sea	Haroon_2016_red_sea.sample03	SAMN03860260	40.54	17.39	Saudi Arabia	exact_location	2011-10-15		2024-08-07 17:06:10.004642	1561972	sea water [ENVO:00002149]	marginal sea biome [ENVO:01000046]	water	sea water environment [ENVO:01000321]		47	37.393	23.042		KRSE2011	Station 12		27377622	10.1038/sdata.2016.50	1.2	0.1	Saudi Arabia: Red Sea
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S23C001-0015	SAMN06183611	-156.56	24.56	Pacific Ocean	exact_location	2015-07-28		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.372	26.806	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
Boeuf_2021_marine_HOE_Legacy_2	Boeuf_2021_marine_HOE_Legacy_2.CSHLIID00-20a-S24C001-0015	SAMN06183612	-156.52	24.59	Pacific Ocean	exact_location	2015-07-28		2024-08-07 16:33:51.549173	408172	sea water [ENVO:00002149]	ocean biome [ENVO:01000048]	water	marine wind mixed layer [ENVO:01000061]		15	35.387	26.844	external	HOE_legacy_2_cruise	ALOHA		34389059	10.1186/s40168-021-01119-5	Infinity	0.2	
Sieradzki_2019_marine	Sieradzki_2019_marine.ES_08072017_CAT2012October_MG	SAMEA104210868	-118.475	33.454	Pacific Ocean	exact_location	2012-10-19		2024-08-07 18:04:04.218178	1561972	mesotrophic water [ENVO:00002225]	ocean [ENVO:00000015]	water	upwelling [ENVO:01000005]		0							30862830	10.1038/s41467-019-09106-z	80	0.2	Pacific Ocean
Sieradzki_2019_marine	Sieradzki_2019_marine.ES_08072017_CAT2013January_MG	SAMEA104210869	-118.475	33.454	Pacific Ocean	exact_location	2013-01-09		2024-08-07 18:04:04.218178	1561972	mesotrophic water [ENVO:00002225]	ocean [ENVO:00000015]	water	upwelling [ENVO:01000005]		0							30862830	10.1038/s41467-019-09106-z	80	0.2	Pacific Ocean
