,Richness,Shannon,Evenness,Total_Reads
MB-2860,6,1.5899281948739339,0.8873558209300444,0.9999999999999998
MB-5397,5,1.48293523548167,0.9213994673796465,0.9999999999999998
MB-9404,5,1.4581917724128917,0.9060254893749394,0.9999999999999998
MB-3546,5,1.4305661574203112,0.8888607296934884,0.9999999999999998
MB-5530,4,1.258402797785179,0.9077457377390374,1.0
MB-9768,2,0.6538483686780324,0.9433037983046861,1.0
MB-4205,8,1.9198799607757646,0.9232670994489315,0.9999999999999999
MB-9507,7,1.8239151064691908,0.9373069497688531,0.9999999999999999
MB-1477,6,1.4949204645506702,0.8343309970370479,0.9999999999999998
MB-5498,5,1.4960910360622521,0.929573625871446,0.9999999999999998
MB-4774,2,0.6929048434577187,0.999650380743299,1.0
MB-2933,4,1.086861698571238,0.7840049911890552,0.9999999999999998
MB-7124,2,0.16928792056927494,0.2442308433115224,0.9999999999999998
MB-6449,3,0.9379707742121988,0.8537777918584403,1.0
MB-7133,5,1.4430776240844367,0.8966345410135216,0.9999999999999997
MB-2552,3,0.681885950831328,0.6206793403440913,1.0
MB-8609,7,1.8691025124827028,0.960528682813481,0.9999999999999998
MB-9445,5,1.3178919904307373,0.8188523335291624,0.9999999999999999
MB-5262,7,1.6595311583477903,0.852830311323272,0.9999999999999998
MB-1589,5,1.4960868130398013,0.9295710019600681,0.9999999999999998
MB-5652,5,1.516582746430691,0.9423058413906522,0.9999999999999999
MB-3428,5,1.4975932861468104,0.9305070263293111,0.9999999999999998
MB-8546,5,1.526332215178789,0.94836352691649,0.9999999999999998
MB-7924,5,1.4786373580423158,0.918729045982452,0.9999999999999998
MB-9986,1,-1.000000082240371e-09,0.0,1.0
MB-2694,4,1.2303133624512952,0.8874834932139087,0.9999999999999998
MB-6143,4,1.2597578998987946,0.9087232372884668,1.0
MB-4822,5,1.5593832448339278,0.9688992862618415,0.9999999999999999
MB-7322,3,1.093918656161001,0.995727671274542,0.9999999999999999
MB-5955,2,0.5333627056238646,0.7694797298436071,0.9999999999999999
MB-9521,3,1.06353527562397,0.9680715264805971,1.0
MB-2697,3,1.0892618679475212,0.9914888799738252,1.0
MB-1530,6,1.4624461402934361,0.8162067315807006,0.9999999999999998
MB-2421,5,1.278575039774785,0.7944233385692986,0.9999999999999999
MB-7773,1,-1.000000082240371e-09,0.0,1.0
MB-7631,3,0.9464303435718722,0.8614780237276491,0.9999999999999999
MB-2845,2,0.687500512551299,0.9918535793509085,1.0
MB-5486,4,1.2542924086363711,0.9047807187190177,0.9999999999999998
MB-5241,1,-1.000000082240371e-09,0.0,1.0
MB-9714,6,1.7223040798676352,0.9612362090372826,0.9999999999999999
MB-2712,5,1.5922087377457907,0.9892949117495864,0.9999999999999997
MB-5841,1,-1.000000082240371e-09,0.0,1.0
MB-7505,3,0.9927580835255705,0.903647349901678,0.9999999999999998
MB-6681,8,1.9667939209118157,0.9458279453264897,0.9999999999999998
MB-8359,3,1.014362182224991,0.9233122479878418,1.0
MB-2126,2,0.69282647783741,0.9995373230515849,1.0
MB-4454,4,1.1659692888391417,0.8410690552668548,0.9999999999999998
MB-5477,4,1.263166563796259,0.9111820685384879,0.9999999999999999
MB-8978,6,1.543540469580802,0.8614663385048156,0.9999999999999998
MB-8077,3,1.0221483432270864,0.9303995171546308,0.9999999999999998
MB-4799,8,1.9497852038270223,0.9376484813969431,0.9999999999999997
MB-9568,6,1.6395705931944113,0.9150617709576154,1.0
MB-6828,5,1.4633308310636997,0.9092185660450404,0.9999999999999999
MB-8434,4,1.0880791721256957,0.7848832127186116,1.0
