,Prevalence,Mean_Rel_Abund
MB-2860,0.2,0.002666537080343876
MB-5397,0.16666666666666666,0.0024702601885121115
MB-9404,0.16666666666666666,0.002710796918640961
MB-3546,0.16666666666666666,0.002450054750973647
MB-5530,0.13333333333333333,0.002594693647736069
MB-9768,0.06666666666666667,0.0024105676110108016
MB-4205,0.26666666666666666,0.0027018967194440894
MB-9507,0.23333333333333334,0.002402725266142394
MB-1477,0.2,0.0027608909037522837
MB-5498,0.16666666666666666,0.00242526464296502
MB-4774,0.06666666666666667,0.002704682476223004
MB-2933,0.13333333333333333,0.002291442378030759
MB-7124,0.06666666666666667,0.001816654678204158
MB-6449,0.1,0.002683586932408345
MB-7133,0.16666666666666666,0.0024564681229935917
MB-2552,0.1,0.0021910062138021866
MB-8609,0.23333333333333334,0.002581092309006298
MB-9445,0.16666666666666666,0.00268208186676979
MB-5262,0.23333333333333334,0.002352987414418264
MB-1589,0.16666666666666666,0.002319510502504499
MB-5652,0.16666666666666666,0.0023645389989205633
MB-3428,0.16666666666666666,0.0026620870588088307
MB-8546,0.16666666666666666,0.0026944312177579624
MB-7924,0.16666666666666666,0.00233740850353215
MB-9986,0.03333333333333333,0.00257380056235581
MB-2694,0.13333333333333333,0.002173209328528159
MB-6143,0.13333333333333333,0.0025594760643010573
MB-4822,0.16666666666666666,0.002465002323242137
MB-7322,0.1,0.0025179575695134337
MB-5955,0.06666666666666667,0.0030696562590219975
MB-9521,0.1,0.0023568221891894464
MB-2697,0.1,0.0025416727958985975
MB-1530,0.2,0.0022998097502631757
MB-2421,0.16666666666666666,0.00256061050680438
MB-7773,0.03333333333333333,0.00210065087021451
MB-7631,0.1,0.0022591111124864393
MB-2845,0.06666666666666667,0.002896744624747939
MB-5486,0.13333333333333333,0.0026653666876509025
MB-5241,0.03333333333333333,0.002249920765476096
MB-9714,0.2,0.0022528513300034618
MB-2712,0.16666666666666666,0.002619972138753028
MB-5841,0.03333333333333333,0.0021211791046837894
MB-7505,0.1,0.002048288701794874
MB-6681,0.26666666666666666,0.0025215523628302427
MB-8359,0.1,0.002939744636513428
MB-2126,0.06666666666666667,0.002150917804965413
MB-4454,0.13333333333333333,0.002142051109274088
MB-5477,0.13333333333333333,0.0024067915139209845
MB-8978,0.2,0.002736718449321731
MB-8077,0.1,0.0026794354770891984
MB-4799,0.26666666666666666,0.0024442298787554625
MB-9568,0.2,0.0024142728311885224
MB-6828,0.16666666666666666,0.002199901561677413
MB-8434,0.13333333333333333,0.002094026804674148
MB-9008,0.23333333333333334,0.0022811109764383206
MB-2919,0.23333333333333334,0.0024984142221188116
