Family,Mean_Abundance
Bacteroidaceae,0.2145559673488742
Acutalibacteraceae,0.10932236278241238
Bifidobacteriaceae,0.07968517057246297
Ruminococcaceae,0.061905212030607046
Lactobacillaceae,0.04617595859509894
Dialisteraceae,0.039670244358513365
Enterococcaceae,0.03890664136400712
Lachnospiraceae,0.037813527475864445
Streptococcaceae,0.03703834135496747
Turicibacteraceae,0.034210839198662434
Enterobacteriaceae,0.03336686753222634
Veillonellaceae,0.03278470781149407
Rikenellaceae,0.03214751917948566
Acidaminococcaceae,0.03074175017888317
Akkermansiaceae,0.030364003529575124
Clostridiaceae,0.02967791185344697
Brachyspiraceae,0.029076213146118544
Erysipelotrichaceae,0.028223378594041542
CAG-239,0.02759580750615738
Tannerellaceae,0.026737575587100774
