species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Limnohabitans_sp_Rim47,2.170941603714976e-102,618.0803181629568,4.817539529532241e-24,111.6611203889589,15.247285379492741,209,0.9004487553760394,1.2309238893063913e-99,True,4.1387044140072434e-23,True,101.6633518585011,98.9097687996082,1.2309238893063913e-99,True
s__Candidatus_Planktophila_sulfonica,3.4517342558606194e-92,477.4240108644988,4.817539529532241e-24,111.6611203889589,13.638303062452415,209,0.8747917292184655,9.785666615364856e-90,True,4.1387044140072434e-23,True,91.46196264738785,89.00940958415893,1.957133323072971e-89,True
s__Limnohabitans_sp_63ED37_2,2.6280321194794395e-91,466.7145710836905,4.817539529532241e-24,111.6611203889589,13.27850134514549,209,0.8722855789748625,4.966980705816141e-89,True,4.1387044140072434e-23,True,90.58036933118706,88.3039075270138,1.4900942117448422e-88,True
s__Limnohabitans_sp_G3_2,7.822836116876005e-89,437.77217775050025,4.817539529532241e-24,111.6611203889589,12.846943965871745,209,0.8649820406282549,1.1088870195671737e-86,True,4.1387044140072434e-23,True,88.10663576783425,85.9551127002693,4.435548078268695e-86,True
s__GGB46525_SGB64386,5.570940640239785e-87,417.12651503088455,4.817539529532241e-24,111.6611203889589,12.43395213657221,209,0.8592399895406675,6.317446686031916e-85,True,4.1387044140072434e-23,True,86.25407146903179,84.1994584144749,3.1587233430159578e-84,True
s__Limnohabitans_sp_2KL_3,1.0311908655739356e-86,414.21671386848146,4.817539529532241e-24,111.6611203889589,12.490711454801087,209,0.8583911995665922,9.744753679673692e-85,True,4.1387044140072434e-23,True,85.986660942676,84.01122913416673,5.846852207804215e-84,True
s__Polynucleobacter_sp_es_MAR_4,1.5190405507126345e-86,412.39506836865024,4.817539529532241e-24,111.6611203889589,11.982422604684636,209,0.8578545950449272,1.230422846077234e-84,True,4.1387044140072434e-23,True,85.81843063251267,83.90994561363402,8.612959922540638e-84,True
s__Limnohabitans_sp_Rim11,5.543273730364177e-86,406.35713730053027,4.817539529532241e-24,111.6611203889589,12.488564965552637,209,0.8560465449367743,3.928795256395611e-84,True,4.1387044140072434e-23,True,85.25623367514171,83.40574060324074,3.1430362051164883e-83,True
s__Candidatus_Methylopumilus_universalis,6.019253356731745e-85,395.43069911902893,4.817539529532241e-24,111.6611203889589,12.290571809048455,209,0.8526549526232341,3.556075740904522e-83,True,4.1387044140072434e-23,True,84.22045737637701,82.44902899755937,3.4129166532668997e-82,True
s__Polynucleobacter_sp_MWH_CaK5,6.271738520113796e-85,395.2446668440503,4.817539529532241e-24,111.6611203889589,12.298067757058114,209,0.852595823556799,3.556075740904522e-83,True,4.1387044140072434e-23,True,84.20261205645227,82.44902899755937,3.5560757409045224e-82,True
s__Polynucleobacter_sp_AP_Ainpum_60_G11,8.101675597680068e-85,394.08725378388493,4.817539529532241e-24,111.6611203889589,12.342175350831557,209,0.8522268790857022,4.1760455126223626e-83,True,4.1387044140072434e-23,True,84.09142515055727,82.3792347768226,4.5936500638845984e-82,True
