species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Limnohabitans_sp_G3_2,9.834593197675728e-137,577.470894668287,6.157001869322328e-27,129.06957737590415,12.384412378194579,295,0.8884565438318581,5.930259698198463e-134,True,6.187786878668939e-26,True,136.00724359971602,133.22692628757588,5.930259698198463e-134,True
s__Polynucleobacter_sp_es_MAR_4,1.6462407304519622e-133,545.006537186196,6.157001869322328e-27,129.06957737590415,11.519891017007472,295,0.882592336057911,4.963415802312666e-131,True,6.187786878668939e-26,True,132.78350665742113,130.30421934094497,9.926831604625332e-131,True
s__Candidatus_Methylopumilus_universalis,8.246123106247254e-131,519.0686695418286,6.157001869322328e-27,129.06957737590415,11.828040221371289,295,0.8774444899927654,1.657470744355698e-128,True,6.187786878668939e-26,True,130.0837501859105,127.78055412849001,4.972412233067094e-128,True
s__Candidatus_Planktophila_vernalis,1.1277012095761728e-125,472.6918330564115,6.157001869322328e-27,129.06957737590415,11.471219782014295,295,0.8670192845818026,1.7000095734360805e-123,True,6.187786878668939e-26,True,124.94780595374053,122.76954863292833,6.800038293744322e-123,True
s__Limnohabitans_sp_Rim47,9.106305658451941e-123,448.0691274749198,9.321855318953963e-27,128.22713758171818,14.784753791815577,295,0.8607293514471948,1.098220462409304e-120,True,8.647813472814215e-26,True,122.040657776436,119.95931046863187,5.4911023120465205e-120,True
s__GGB34754_SGB82226,2.3024382627118134e-121,436.5878681749378,6.157001869322328e-27,129.06957737590415,11.242091294967963,295,0.8575884350575669,2.3139504540253723e-119,True,6.187786878668939e-26,True,120.63781200609226,118.63564594433576,1.3883702724152235e-118,True
s__GGB25723_SGB106723,1.1892650326482778e-118,415.09579334722713,6.157001869322328e-27,129.06957737590415,10.927606215697315,295,0.8513112684949453,1.0244668781241594e-116,True,6.187786878668939e-26,True,117.92472135026759,115.9895020781417,7.171268146869115e-116,True
s__GGB34383_SGB60872,1.809306469505792e-113,376.53015310399314,6.157001869322328e-27,129.06957737590415,10.66542317317704,295,0.8385409097833807,1.3637647513899908e-111,True,6.187786878668939e-26,True,112.74248786390736,110.86526053875914,1.0910118011119926e-110,True
s__Limnohabitans_sp_2KL_3,5.535990857387674e-104,313.65564462652486,9.321855318953963e-27,128.22713758171818,12.02817986712392,295,0.812251870433956,3.709113874449742e-102,True,8.647813472814215e-26,True,103.25680463578203,101.43072983308122,3.338202487004767e-101,True
s__Limnohabitans_sp_63ED37_2,1.3316220599954384e-102,305.26496941167807,1.5426979596185115e-26,127.20384760598341,12.815969757468325,295,0.8080817284013662,8.029681021772492e-101,True,1.2256873832169858e-25,True,101.87561901882107,100.09530170668091,8.029681021772493e-100,True
