species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Polynucleobacter_sp_es_MAR_4,9.391617686900088e-102,570.2705783220897,8.492679585415555e-21,100.29968356985091,11.830238812078726,187,0.9261088437775271,3.503073397213733e-99,True,8.336235487789479e-20,True,101.02725959495604,98.45555076314734,7.006146794427466e-99,True
s__Limnohabitans_sp_G3_2,5.844275098004921e-102,573.4915716688595,8.492679585415555e-21,100.29968356985091,12.694760173265832,187,0.926493344849062,3.503073397213733e-99,True,8.336235487789479e-20,True,101.23326934942261,98.45555076314734,4.359829223111671e-99,True
s__Candidatus_Methylopumilus_universalis,6.223112871631384e-98,513.4701194245253,8.492679585415555e-21,100.29968356985091,12.138388016442542,187,0.9186003000538857,1.547480734079004e-95,True,8.336235487789479e-20,True,97.2059923219334,94.81037474918038,4.642442202237012e-95,True
s__Candidatus_Planktophila_vernalis,4.720159562000545e-94,461.1504574852025,8.492679585415555e-21,100.29968356985091,11.781567577085546,187,0.9101944953808141,8.803097583131016e-92,True,8.336235487789479e-20,True,93.32604332006822,91.05536448392353,3.5212390332524063e-91,True
s__GGB34754_SGB82226,1.30969309370563e-90,418.8317084785509,8.492679585415555e-21,100.29968356985091,11.552439090039217,187,0.9020097073510503,1.9540620958088e-88,True,8.336235487789479e-20,True,89.88283046260824,87.70906163947159,9.770310479044e-88,True
s__GGB25723_SGB106723,5.5062245371975245e-89,400.1194096167665,8.492679585415555e-21,100.29968356985091,11.237954010768568,187,0.8978949322716214,6.846072507915589e-87,True,8.336235487789479e-20,True,88.25914608257627,86.16455850548724,4.1076435047493535e-86,True
s__GGB34383_SGB60872,7.387515838153884e-85,355.8709095473129,8.492679585415555e-21,100.29968356985091,10.975770968248293,187,0.8866385208352113,7.87298116466114e-83,True,8.336235487789479e-20,True,84.1315015750223,82.10386078756389,5.511086815262797e-82,True
s__Limnohabitans_sp_Rim47,1.7960484983048892e-84,351.96618984522655,7.02965074229677e-21,100.6853443031097,15.09510158688683,187,0.8855248542832845,1.674815224669309e-82,True,8.336235487789479e-20,True,83.74568194035145,81.77603309987072,1.3398521797354473e-81,True
s__GGB32489_SGB48813,2.1113129184891164e-84,351.2594667120292,8.492679585415555e-21,100.29968356985091,10.672205487427858,187,0.8853209467764906,1.750043819103201e-82,True,8.336235487789479e-20,True,83.67544739497193,81.75695107693858,1.5750394371928809e-81,True
s__GGB25723_SGB84803,2.4015923652500277e-84,350.6974105350394,8.492679585415555e-21,100.29968356985091,10.630656394881045,187,0.8851582600235697,1.7915879044765207e-82,True,8.336235487789479e-20,True,83.61950070573666,81.74676187826398,1.7915879044765207e-81,True
s__GGB32349_SGB82186,3.9211868187845524e-84,348.565633982856,8.492679585415555e-21,100.29968356985091,10.442581058182808,187,0.8845370007525714,2.6592776061938875e-82,True,8.336235487789479e-20,True,83.4065824659287,81.57523632361426,2.925205366813276e-81,True
s__Limnohabitans_sp_2KL_3,3.847310990318182e-73,252.74853420924777,7.02965074229677e-21,100.6853443031097,12.338527662195172,187,0.8474426701856724,2.3917449989811364e-71,True,8.336235487789479e-20,True,72.41484270687742,70.62128512545237,2.8700939987773638e-70,True
