species,p_value,f_statistic,p_value_kw,kw_statistic,effect_size,n_samples,r_squared,p_adjusted,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf
s__Limnohabitans_sp_Rim47,7.299372599348301e-60,526.4352061678843,2.0107188676831326e-13,62.18010251630945,15.425147453505849,101,0.9421346567539476,6.270161062840191e-57,True,2.977943978172088e-12,True,59.13671446705087,56.202721303219626,6.27016106284019e-57,True
s__Candidatus_Planktophila_sulfonica,1.3564021804915027e-54,402.69088769657327,2.0107188676831326e-13,62.18010251630945,13.816165136465525,101,0.9256746365598101,4.8631887927190465e-52,True,2.977943978172088e-12,True,53.867611520741,51.31307887045967,1.1651494730422009e-51,True
s__Limnohabitans_sp_63ED37_2,1.6984361324979207e-54,400.6769183526872,2.0107188676831326e-13,62.18010251630945,13.456363419158597,101,0.9253289426579708,4.8631887927190465e-52,True,2.977943978172088e-12,True,53.769950779571246,51.31307887045967,1.4589566378157138e-51,True
s__Limnohabitans_sp_G3_2,2.578209560727313e-53,377.04199449374704,2.0107188676831326e-13,62.18010251630945,13.024806039884853,101,0.9210178749536394,5.536705031661904e-51,True,2.977943978172088e-12,True,52.58868178544319,50.25674861293991,2.2146820126647617e-50,True
s__Polynucleobacter_sp_es_MAR_4,4.7760598426434e-53,371.8665683531263,2.0107188676831326e-13,62.18010251630945,12.160284678697744,101,0.9200065779372344,8.205270809661361e-51,True,2.977943978172088e-12,True,52.32093024026081,50.08590708076559,4.102635404830681e-50,True
s__GGB46525_SGB64386,1.3903783041434983e-52,363.05094085863055,2.0107188676831326e-13,62.18010251630945,12.611814210585317,101,0.918223016331613,1.9905582720987751e-50,True,2.977943978172088e-12,True,51.85686701769652,49.70102510424893,1.194334963259265e-49,True
s__Limnohabitans_sp_2KL_3,2.8199417749959095e-52,357.32282887675734,2.0107188676831326e-13,62.18010251630945,12.668573528814195,101,0.9170208597499346,3.4604714067449807e-50,True,2.977943978172088e-12,True,51.54975985872285,49.46086473490587,2.4223299847214863e-49,True
s__Limnohabitans_sp_Rim11,9.87218334039631e-52,347.3758436270835,2.0107188676831326e-13,62.18010251630945,12.666427039565745,101,0.9148471111702839,1.0600256861750539e-49,True,2.977943978172088e-12,True,51.00558678777365,48.974683610934356,8.48020548940043e-49,True
s__Candidatus_Methylopumilus_universalis,2.867241749839796e-51,339.1117133152537,2.0107188676831326e-13,62.18010251630945,12.46843388306156,101,0.912952579055596,2.5851239438953416e-49,True,2.977943978172088e-12,True,50.54253568822018,48.58751862980045,2.4629606631123846e-48,True
s__Polynucleobacter_sp_MWH_CaK5,3.0094574434171616e-51,338.7407912547473,2.0107188676831326e-13,62.18010251630945,12.475929831071221,101,0.9128655673061934,2.5851239438953416e-49,True,2.977943978172088e-12,True,50.52151179363169,48.58751862980045,2.585123943895342e-48,True
