Species,Enriched in,p-value,Effect Size,β (enriched),R²
Limnohabitans sp Rim47,Lekunberri_2018_river_wastewater,7.30e-60,15.425,12.951,0.942
Candidatus Planktophila sulfonica,Lekunberri_2018_river_wastewater,1.36e-54,13.816,11.533,0.926
Limnohabitans sp 63ED37 2,Lekunberri_2018_river_wastewater,1.70e-54,13.456,11.216,0.925
Limnohabitans sp G3 2,Lekunberri_2018_river_wastewater,2.58e-53,13.025,10.836,0.921
Polynucleobacter sp es MAR 4,Lekunberri_2018_river_wastewater,4.78e-53,12.160,10.074,0.920
GGB46525 SGB64386,Lekunberri_2018_river_wastewater,1.39e-52,12.612,10.472,0.918
Limnohabitans sp 2KL 3,Lekunberri_2018_river_wastewater,2.82e-52,12.669,10.522,0.917
Limnohabitans sp Rim11,Lekunberri_2018_river_wastewater,9.87e-52,12.666,10.520,0.915
Candidatus Methylopumilus universalis,Lekunberri_2018_river_wastewater,2.87e-51,12.468,10.346,0.913
Polynucleobacter sp MWH CaK5,Lekunberri_2018_river_wastewater,3.01e-51,12.476,10.352,0.913
Polynucleobacter sp AP Ainpum 60 G11,Lekunberri_2018_river_wastewater,4.35e-51,12.520,10.391,0.912
Polynucleobacter sp AM 26B4,Lekunberri_2018_river_wastewater,8.89e-51,12.338,10.231,0.911
Polynucleobacter cosmopolitanus,Lekunberri_2018_river_wastewater,3.43e-50,12.078,10.002,0.908
GGB24856 SGB81948,Lekunberri_2018_river_wastewater,4.35e-50,12.278,10.178,0.908
Candidatus Fonsibacter ubiquis,Lekunberri_2018_river_wastewater,9.59e-50,12.088,10.010,0.906
GGB46527 SGB64388,Lekunberri_2018_river_wastewater,2.05e-49,11.884,9.831,0.905
Candidatus Planktophila vernalis,Lekunberri_2018_river_wastewater,2.46e-49,12.112,10.031,0.905
Limnohabitans sp 2KL 27,Lekunberri_2018_river_wastewater,4.76e-49,11.777,9.736,0.903
Bradyrhizobium SGB11337,Lekunberri_2018_river_wastewater,3.90e-48,10.291,8.427,0.899
GGB34754 SGB82226,Lekunberri_2018_river_wastewater,1.27e-47,11.882,9.829,0.896
Polynucleobacter sp MWH Jannik1A5,Lekunberri_2018_river_wastewater,1.49e-47,11.708,9.676,0.896
GGB25723 SGB106723,Lekunberri_2018_river_wastewater,8.70e-47,11.568,9.552,0.892
Polynucleobacter asymbioticus,Lekunberri_2018_river_wastewater,3.34e-46,11.072,9.115,0.889
Limnohabitans sp Hippo3,Lekunberri_2018_river_wastewater,6.42e-46,11.076,9.118,0.888
GGB26951 SGB39152,Lekunberri_2018_river_wastewater,7.05e-45,10.738,8.821,0.882
Candidatus Planktophila limnetica,Lekunberri_2018_river_wastewater,7.81e-45,11.039,9.086,0.882
GGB34383 SGB60872,Lekunberri_2018_river_wastewater,1.00e-44,11.306,9.321,0.881
Aquirufa lenticrescens,Lekunberri_2018_river_wastewater,1.15e-44,10.614,8.712,0.881
GGB32489 SGB48813,Lekunberri_2018_river_wastewater,1.85e-44,11.002,9.054,0.880
GGB25723 SGB84803,Lekunberri_2018_river_wastewater,1.96e-44,10.961,9.017,0.880
