species,log_p_value,log_p_adjusted,log_effect_size,lin_p_value,lin_p_adjusted,lin_effect_size,both_sig_fdr,log_only,lin_only
s__actinobacterium_SCGC_AAA028_A23,3.7919393239245405e-09,1.3184730415232587e-07,0.85,1.2169176970699828e-39,2.446004571110665e-38,9.398959058785278,True,False,False
s__Aquirufa_nivalisilvae,2.931831253319996e-09,1.3184730415232587e-07,0.9418604651162791,1.3211853260687136e-16,3.9635559782061407e-16,5.5265009339663225,True,False,False
s__Aquirufa_lenticrescens,4.591697159533537e-09,1.3184730415232587e-07,0.85,8.824761792742625e-39,1.6629160503199385e-37,9.973550354616378,True,False,False
s__Polynucleobacter_sp_AP_Titi_500A_B4,2.93183125332022e-09,1.3184730415232587e-07,0.9418604651162791,6.829546630220007e-19,2.691644848380826e-18,6.056262037729821,True,False,False
s__Polynucleobacter_sp_AP_Latsch_80_C2,3.266796419822996e-09,1.3184730415232587e-07,0.9302325581395349,1.1686052946866068e-15,3.1458437173929638e-15,4.170409213640533,True,False,False
s__Polynucleobacter_sinensis,2.93183125332022e-09,1.3184730415232587e-07,0.9418604651162791,4.0388705764769244e-16,1.1380555876708345e-15,5.065595491622718,True,False,False
s__Rhodoluna_lacicola,3.26679641982327e-09,1.3184730415232587e-07,0.85,5.400254138889576e-21,2.3596762650365322e-20,7.956833811869471,True,False,False
s__Rhodoferax_bucti,3.266796419822913e-09,1.3184730415232587e-07,0.9302325581395349,1.9706641912775247e-15,5.189128853014618e-15,5.213748943388106,True,False,False
s__Polynucleobacter_sp_MWH_Spelu_300_X4,3.266796419822913e-09,1.3184730415232587e-07,0.9302325581395349,4.3717000468606267e-14,9.763463437988732e-14,5.203897061497993,True,False,False
s__Candidatus_Methylopumilus_SGB80876,4.591697159533386e-09,1.3184730415232587e-07,0.921875,2.0509909209043838e-24,1.249239924550852e-23,6.806578210776716,True,False,False
s__Polynucleobacter_sp_MWH_Aus1W21,3.7919384789137356e-09,1.3184730415232587e-07,0.8034883720930233,3.475463891702102e-14,7.938275479910483e-14,4.1730221316885485,True,False,False
s__Emticicia_aquatica,3.791939323923531e-09,1.3184730415232587e-07,0.9534883720930233,7.238574716275205e-16,1.9894246611891177e-15,4.662795281051842,True,False,False
s__Limnohabitans_sp_Jir61,3.7919393239236406e-09,1.3184730415232587e-07,0.85,1.962723580989977e-22,9.468178554695648e-22,7.766011951883076,True,False,False
s__Limnohabitans_sp_JirII_29,3.791939323923531e-09,1.3184730415232587e-07,0.9534883720930233,2.5770094412398687e-17,8.265620707806599e-17,5.915636623383012,True,False,False
s__Limnohabitans_curvus,3.958512663220698e-09,1.3184730415232587e-07,0.85,1.1743329143187788e-22,5.852254110200195e-22,8.625528567594431,True,False,False
