species,p_value,aic,bic,effect_size,max_prevalence,max_prev_group,min_prevalence,min_prev_group,n_samples,overall_prevalence,p_adjusted,sig_fdr,log10p,log10p_adjusted
s__actinobacterium_SCGC_AAA028_A23,3.7919393239245405e-09,194.8881264677787,-1464.334726870769,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7932203389830509,1.3184730415232587e-07,True,8.421138620568039,6.879928745686537
s__Aquirufa_nivalisilvae,2.931831253319996e-09,200.68529572679938,-1458.5375576117485,0.9418604651162791,0.9418604651162791,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7491525423728813,1.3184730415232587e-07,True,8.532861029890721,6.879928745686537
s__Aquirufa_lenticrescens,4.591697159533537e-09,211.06493513151156,-1448.1579182070361,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7830508474576271,1.3184730415232587e-07,True,8.338026763092788,6.879928745686537
s__Polynucleobacter_sp_AP_Titi_500A_B4,2.93183125332022e-09,200.68529572679932,-1458.5375576117485,0.9418604651162791,0.9418604651162791,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7491525423728813,1.3184730415232587e-07,True,8.53286102989069,6.879928745686537
s__Polynucleobacter_sp_AP_Latsch_80_C2,3.266796419822996e-09,206.05506272951783,-1453.1677906090301,0.9302325581395349,0.9302325581395349,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7457627118644068,1.3184730415232587e-07,True,8.485877929039201,6.879928745686537
s__Polynucleobacter_sinensis,2.93183125332022e-09,200.68529572679932,-1458.5375576117485,0.9418604651162791,0.9418604651162791,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7491525423728813,1.3184730415232587e-07,True,8.53286102989069,6.879928745686537
s__Rhodoluna_lacicola,3.26679641982327e-09,206.05506272951772,-1453.1677906090301,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7864406779661017,1.3184730415232587e-07,True,8.485877929039164,6.879928745686537
s__Rhodoferax_bucti,3.266796419822913e-09,206.05506272951766,-1453.16779060903,0.9302325581395349,0.9302325581395349,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7457627118644068,1.3184730415232587e-07,True,8.485877929039212,6.879928745686537
s__Polynucleobacter_sp_MWH_Spelu_300_X4,3.266796419822913e-09,206.05506272951766,-1453.16779060903,0.9302325581395349,0.9302325581395349,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7457627118644068,1.3184730415232587e-07,True,8.485877929039212,6.879928745686537
s__Candidatus_Methylopumilus_SGB80876,4.591697159533386e-09,211.06493513151162,-1448.1579182070361,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7423728813559322,1.3184730415232587e-07,True,8.338026763092802,6.879928745686537
s__Polynucleobacter_sp_MWH_Aus1W21,3.7919384789137356e-09,208.3841699348291,-1450.8386834037185,0.8034883720930233,0.9534883720930233,Chopyk_2020_pond,0.15,Rowe_2017_hospital_wastewater,295,0.7627118644067796,1.3184730415232587e-07,True,8.421138717347954,6.879928745686537
s__Emticicia_aquatica,3.791939323923531e-09,194.88812646777882,-1464.334726870769,0.9534883720930233,0.9534883720930233,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.752542372881356,1.3184730415232587e-07,True,8.421138620568154,6.879928745686537
s__Limnohabitans_sp_Jir61,3.7919393239236406e-09,194.88812646777868,-1464.334726870769,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7932203389830509,1.3184730415232587e-07,True,8.421138620568142,6.879928745686537
s__Limnohabitans_sp_JirII_29,3.791939323923531e-09,194.88812646777882,-1464.334726870769,0.9534883720930233,0.9534883720930233,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.752542372881356,1.3184730415232587e-07,True,8.421138620568154,6.879928745686537
s__Limnohabitans_curvus,3.958512663220698e-09,189.3892983085103,-1469.8335550300374,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.8,1.3184730415232587e-07,True,8.402467961420726,6.879928745686537
s__Limnohabitans_sp_103DPR2,2.93183125332022e-09,200.68529572679932,-1458.5375576117485,0.9418604651162791,0.9418604651162791,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7491525423728813,1.3184730415232587e-07,True,8.53286102989069,6.879928745686537
s__Duganella_fentianensis,4.591697159533453e-09,211.06493513151153,-1448.1579182070361,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7423728813559322,1.3184730415232587e-07,True,8.338026763092795,6.879928745686537
s__Curvibacter_gracilis,4.591697159533737e-09,211.06493513151173,-1448.1579182070361,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7423728813559322,1.3184730415232587e-07,True,8.338026763092769,6.879928745686537
s__Aestuariivirga_litoralis,4.5916713027709725e-09,227.3655735115073,-1431.8572798270404,0.771875,0.921875,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7593220338983051,1.3184730415232587e-07,True,8.338029208698526,6.879928745686537
s__Actinobacteria_bacterium_IMCC25003,2.9318312533203375e-09,200.6852957267993,-1458.5375576117485,0.9418604651162791,0.9418604651162791,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.7491525423728813,1.3184730415232587e-07,True,8.532861029890672,6.879928745686537
s__Alphaproteobacteria_unclassified_SGB64958,3.791939323923613e-09,194.88812646777876,-1464.334726870769,0.9534883720930233,0.9534883720930233,Chopyk_2020_pond,0.0,Lekunberri_2018_river_wastewater,295,0.752542372881356,1.3184730415232587e-07,True,8.421138620568145,6.879928745686537
s__Limnohabitans_sp_Jir72,6.13441396433814e-09,208.39743434302517,-1450.8254189955226,0.791860465116279,0.9418604651162791,Chopyk_2020_pond,0.15,Rowe_2017_hospital_wastewater,295,0.7898305084745763,1.6085486666316778e-07,True,8.212226920175908,6.793565794985911
s__Aurantimicrobium_photophilum,6.135426091629948e-09,203.15544473474193,-1456.067408603806,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.8067796610169492,1.6085486666316778e-07,True,8.21215527110847,6.793565794985911
s__Polynucleobacter_sp_MG_6_Vaara_E2,7.494415076168725e-09,215.76279627762165,-1443.460057060926,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7389830508474576,1.6737527003443488e-07,True,8.125262257292716,6.776308709311553
s__GGB23686_SGB82209,7.494415076168178e-09,215.76279627762165,-1443.460057060926,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7796610169491526,1.6737527003443488e-07,True,8.125262257292748,6.776308709311553
s__actinobacterium_SCGC_AAA278_O22,7.494415076168285e-09,215.76279627762182,-1443.460057060926,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7389830508474576,1.6737527003443488e-07,True,8.125262257292743,6.776308709311553
s__Limnohabitans_SGB60293,7.49441507616834e-09,215.76279627762176,-1443.460057060926,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7389830508474576,1.6737527003443488e-07,True,8.12526225729274,6.776308709311553
s__Sphaerotilus_montanus,1.0540615537289045e-08,224.17772421301424,-1435.0451291255335,0.7802325581395348,0.9302325581395349,Chopyk_2020_pond,0.15,Rowe_2017_hospital_wastewater,295,0.7966101694915254,2.2699968460661768e-07,True,7.977134027013182,6.6439747462152505
s__Candidatus_Nanopelagicus_SGB64093,1.3461637865174254e-08,220.1843605505559,-1439.0384927879916,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7762711864406779,2.618505687967766e-07,True,7.870902096684631,6.581946478378752
s__Polynucleobacter_sp_15G_AUS_farblos,1.3461637199866306e-08,236.4849989305518,-1422.7378544079959,0.771875,0.921875,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7593220338983051,2.618505687967766e-07,True,7.870902118148555,6.581946478378752
s__Rhodoferax_lacus,1.3461637865173859e-08,220.18436055055602,-1439.0384927879916,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.735593220338983,2.618505687967766e-07,True,7.8709020966846435,6.581946478378752
s__Candidatus_Rickettsiella_isopodorum,1.59663578064973e-08,228.8200603784266,-1430.4027929601211,0.5132890365448506,0.9418604651162791,Chopyk_2020_pond,0.42857142857142855,Chu_2017_sludge,295,0.8067796610169492,3.0086605491618345e-07,True,7.79679414240518,6.5216268085849345
s__Limnohabitans_sp_MMS_10A_160,1.9235966826339962e-08,212.55206428537053,-1446.6707890531773,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7898305084745763,3.411555293024411e-07,True,7.715885980566307,6.467047585468411
s__Limnohabitans_sp_T6_20,1.9235966826339473e-08,212.55206428537048,-1446.6707890531773,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7898305084745763,3.411555293024411e-07,True,7.715885980566318,6.467047585468411
s__Flavobacterium_sp_123,2.5672712880013752e-08,224.35726832467222,-1434.8655850138755,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7322033898305085,3.775767284548772e-07,True,7.59052823625387,6.422994780833407
s__GGB46317_SGB64092,2.5672712880016243e-08,224.35726832467216,-1434.8655850138755,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7322033898305085,3.775767284548772e-07,True,7.590528236253827,6.422994780833407
s__Polynucleobacter_sp_MWH_Jannik1A5,2.567271288001545e-08,224.3572683246722,-1434.8655850138757,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7728813559322034,3.775767284548772e-07,True,7.59052823625384,6.422994780833407
s__Limnohabitans_sp_Hippo3,2.5672712880016525e-08,224.35726832467222,-1434.8655850138757,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7728813559322034,3.775767284548772e-07,True,7.590528236253823,6.422994780833407
s__Polynucleobacter_tropicus,2.5672712880014318e-08,224.35726832467208,-1434.8655850138755,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7322033898305085,3.775767284548772e-07,True,7.59052823625386,6.422994780833407
s__Polynucleobacter_sp_MWH_UH24A,2.567271288001572e-08,224.3572683246722,-1434.8655850138755,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7322033898305085,3.775767284548772e-07,True,7.590528236253836,6.422994780833407
s__Candidatus_Planktophila_sulfonica,2.567271288001545e-08,224.3572683246722,-1434.8655850138757,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7728813559322034,3.775767284548772e-07,True,7.59052823625384,6.422994780833407
s__Polynucleobacter_sp_AP_Ainpum_60_G11,5.0724627930048135e-08,228.3035248760646,-1430.919328462483,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7694915254237288,5.997441302317456e-07,True,7.294781129874106,6.222033993831891
s__Polynucleobacter_victoriensis,5.072462792465244e-08,235.18758846561167,-1424.035264872936,0.8385416666666666,0.921875,Schulz_2017_wastewater,0.08333333333333333,Lekunberri_2018_river_wastewater,295,0.7322033898305085,5.997441302317456e-07,True,7.2947811299203025,6.222033993831891
s__GGB43055_SGB60296,5.0724627930041994e-08,228.30352487606478,-1430.919328462483,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7288135593220338,5.997441302317456e-07,True,7.294781129874159,6.222033993831891
s__Candidatus_Methylopumilus_rimovensis,5.072462792464975e-08,244.93905720570245,-1414.2837961328453,0.771875,0.921875,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7491525423728813,5.997441302317456e-07,True,7.294781129920326,6.222033993831891
s__Dechloromonas_denitrificans,4.778233421005066e-08,221.1772999051056,-1438.045553433442,0.8,1.0,Lekunberri_2018_river_wastewater,0.2,Rowe_2017_hospital_wastewater,295,0.7966101694915254,5.997441302317456e-07,True,7.32073263839143,6.222033993831891
s__Polynucleobacter_sp_UK_Kesae_W10,5.0724627930045435e-08,228.30352487606473,-1430.919328462483,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7288135593220338,5.997441302317456e-07,True,7.294781129874129,6.222033993831891
s__Candidatus_Methylopumilus_SGB64798,5.072462793004259e-08,228.30352487606473,-1430.919328462483,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7288135593220338,5.997441302317456e-07,True,7.294781129874154,6.222033993831891
s__Limnohabitans_sp_Rim11,5.072462793004739e-08,228.30352487606473,-1430.919328462483,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7694915254237288,5.997441302317456e-07,True,7.294781129874113,6.222033993831891
s__GGB25672_SGB61746,5.072462793004562e-08,228.3035248760645,-1430.919328462483,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7694915254237288,5.997441302317456e-07,True,7.294781129874128,6.222033993831891
s__Aphanizomenon_flos_aquae,5.072462793004433e-08,228.3035248760648,-1430.919328462483,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7288135593220338,5.997441302317456e-07,True,7.2947811298741385,6.222033993831891
s__Flavobacterium_sp_GENT5,6.600584379099828e-08,221.67148970441497,-1437.5513636341327,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.8067796610169492,7.654139193456146e-07,True,7.180417612733378,6.116103644228026
s__Polynucleobacter_necessarius,6.744358362942952e-08,228.293076780639,-1430.9297765579088,0.8,1.0,Lekunberri_2018_river_wastewater,0.2,Rowe_2017_hospital_wastewater,295,0.7796610169491526,7.673298288404906e-07,True,7.171059361438813,6.115017918899451
s__Polynucleobacter_sphagniphilus,1.0208446692439694e-07,232.04104451894636,-1427.1818088196014,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7254237288135593,1.061326440610632e-06,True,6.99104033472232,5.974151016145069
s__GGB26613_SGB38793,1.0208446692439932e-07,232.04104451894614,-1427.1818088196014,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7661016949152543,1.061326440610632e-06,True,6.99104033472231,5.974151016145069
s__Candidatus_Planktophila_limnetica,1.0208446692440444e-07,232.04104451894625,-1427.1818088196014,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7661016949152543,1.061326440610632e-06,True,6.991040334722288,5.974151016145069
s__Microcystis_aeruginosa,1.0208446692440575e-07,232.0410445189462,-1427.1818088196014,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7254237288135593,1.061326440610632e-06,True,6.991040334722283,5.974151016145069
s__Candidatus_Methylomirabilis_limnetica,1.0208446692439487e-07,232.04104451894625,-1427.1818088196014,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7254237288135593,1.061326440610632e-06,True,6.991040334722329,5.974151016145069
s__Sediminibacterium_salmoneum,1.201463559455811e-07,226.66403852286825,-1432.5588148156794,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7457627118644068,1.1876762727079573e-06,True,6.920289396867786,5.925301919738402
s__beta_proteobacterium_CB,1.2014635594557894e-07,223.35720247038532,-1435.8656508681624,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.8135593220338984,1.1876762727079573e-06,True,6.920289396867794,5.925301919738402
s__Aquirufa_antheringensis,1.2014635594557497e-07,226.66403852286834,-1432.5588148156794,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7864406779661017,1.1876762727079573e-06,True,6.920289396867808,5.925301919738402
s__Sphingorhabdus_rigui,1.3348470978206963e-07,229.13159990274363,-1430.0912534358042,0.85,1.0,Lekunberri_2018_river_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7728813559322034,1.2982464515901289e-06,True,6.874568478401133,5.886642855759236
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,1.6059959100652204e-07,191.50249895787195,-1467.7203543806756,0.65,1.0,Lekunberri_2018_river_wastewater,0.35,Rowe_2017_hospital_wastewater,295,0.8542372881355932,1.5371675139195683e-06,True,6.794255565058812,5.813278802372243
s__Phenylobacterium_parvum,2.067864800923116e-07,235.58467620641034,-1423.6381771321373,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7220338983050848,1.86107832083091e-06,True,6.684477859259173,5.730235349819824
s__Actinobacteria_bacterium_IMCC19121,2.067864800923123e-07,250.86101624168492,-1408.361837096863,0.771875,0.921875,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,295,0.7491525423728813,1.86107832083091e-06,True,6.684477859259172,5.730235349819824
s__GGB25672_SGB83766,2.0678648009232265e-07,235.58467620641036,-1423.6381771321373,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7220338983050848,1.86107832083091e-06,True,6.68447785925915,5.730235349819824
s__Polynucleobacter_acidiphobus,2.0678648009232334e-07,235.5846762064104,-1423.6381771321373,0.921875,0.921875,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,295,0.7220338983050848,1.86107832083091e-06,True,6.6844778592591485,5.730235349819824
