species,p_value,aic,bic,effect_size,max_prevalence,max_prev_group,min_prevalence,min_prev_group,n_samples,overall_prevalence,p_adjusted,sig_fdr,log10p,log10p_adjusted
s__Vibrio_parahaemolyticus,1.947373505782815e-11,175.37480942895056,-927.8037122238356,0.8984375,0.8984375,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,209,0.6507177033492823,6.901004861118627e-11,True,10.710550742910694,10.161087666673664
s__Achromobacter_sp_JUb104,1.9473735057828648e-11,163.29932222125794,-939.8791994315284,0.8984375,0.8984375,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,209,0.6363636363636364,6.901004861118627e-11,True,10.710550742910684,10.161087666673664
s__Turicibacter_bilis,1.947373505782526e-11,168.36203142308096,-934.8164902297053,0.8984375,0.8984375,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,209,0.6411483253588517,6.901004861118627e-11,True,10.710550742910758,10.161087666673664
s__Sulfurisoma_sediminicola,1.9473735057827808e-11,178.57566225653247,-924.6028593962537,0.8484375,0.8984375,Schulz_2017_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.6746411483253588,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
s__Thioploca_ingrica,1.9473735057828648e-11,163.29932222125794,-939.8791994315284,0.8984375,0.8984375,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,209,0.6363636363636364,6.901004861118627e-11,True,10.710550742910684,10.161087666673664
s__Sulfitobacter_litoralis,1.9473735057828648e-11,163.29932222125794,-939.8791994315284,0.8984375,0.8984375,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,209,0.6363636363636364,6.901004861118627e-11,True,10.710550742910684,10.161087666673664
s__Limnohabitans_sp_2KL_27,1.9473735057827808e-11,163.29932222125774,-939.8791994315283,0.95,1.0,Lekunberri_2018_river_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.69377990430622,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
s__Limnohabitans_sp_2KL_3,1.9473735057827808e-11,163.29932222125774,-939.8791994315283,0.95,1.0,Lekunberri_2018_river_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.69377990430622,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
s__Limnohabitans_sp_63ED37_2,1.9473735057827808e-11,163.29932222125774,-939.8791994315283,0.95,1.0,Lekunberri_2018_river_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.69377990430622,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
s__Limnohabitans_sp_G3_2,1.9473735057827808e-11,163.29932222125774,-939.8791994315283,0.95,1.0,Lekunberri_2018_river_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.69377990430622,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
s__Limnohabitans_sp_Hippo3,1.9473735057827808e-11,163.29932222125774,-939.8791994315283,0.95,1.0,Lekunberri_2018_river_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.69377990430622,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
s__Limnohabitans_sp_Rim11,1.9473735057827808e-11,163.29932222125774,-939.8791994315283,0.95,1.0,Lekunberri_2018_river_wastewater,0.05,Rowe_2017_hospital_wastewater,209,0.69377990430622,6.901004861118627e-11,True,10.710550742910701,10.161087666673664
