species,log_p_value,log_p_adjusted,log_effect_size,lin_p_value,lin_p_adjusted,lin_effect_size,both_sig_fdr,log_only,lin_only
s__actinobacterium_SCGC_AAA028_A23,6.14068589664911e-09,4.227828649607599e-07,0.9,6.639000664136298e-21,9.17165647304755e-20,9.611694706134044,True,False,False
s__Alphaproteobacteria_unclassified_SGB64958,6.140685896648973e-09,4.227828649607599e-07,0.9651162790697675,2.598544695805792e-18,2.6554991000974256e-17,9.077526302874633,True,False,False
s__Aurantimicrobium_photophilum,7.934262881300745e-09,4.227828649607599e-07,0.9,7.897510052172446e-17,6.931226469318406e-16,10.527887168183954,True,False,False
s__Aquirufa_nivalisilvae,7.93426288130092e-09,4.227828649607599e-07,0.9534883720930233,4.966608293754053e-10,1.4702737250557634e-09,5.407377689616259,True,False,False
s__Polynucleobacter_sp_AP_Titi_500A_B4,7.934262881300455e-09,4.227828649607599e-07,0.9534883720930233,3.2080748130502844e-11,1.1763136614225592e-10,5.9371387933797575,True,False,False
s__Polynucleobacter_sp_MWH_Aus1W21,6.140655187860106e-09,4.227828649607599e-07,0.8651162790697675,1.8390375187806797e-08,4.1322951476216474e-08,4.364246682409738,True,False,False
s__Limnohabitans_sp_JirII_29,6.140685896649533e-09,4.227828649607599e-07,0.9651162790697675,2.662663581351569e-10,8.208045585488721e-10,5.796513379032948,True,False,False
s__Polynucleobacter_sp_MWH_HuK1,7.934262158877374e-09,4.227828649607599e-07,0.8534883720930233,4.154156764155181e-07,6.80741523705948e-07,3.55696717227418,True,False,False
s__Polynucleobacter_sinensis,7.934262881300455e-09,4.227828649607599e-07,0.9534883720930233,6.17962712354089e-10,1.8078438565339235e-09,4.946472247272654,True,False,False
s__Limnohabitans_sp_Jir72,7.934262158877661e-09,4.227828649607599e-07,0.8534883720930233,8.009712404277891e-10,2.280628035721873e-09,5.9519568416449244,True,False,False
s__Limnohabitans_sp_Jir61,6.1406858966496225e-09,4.227828649607599e-07,0.9,2.85927700663324e-13,1.3500130676888585e-12,8.07635974695433,True,False,False
s__Limnohabitans_sp_103DPR2,7.934262881300455e-09,4.227828649607599e-07,0.9534883720930233,2.1170351232633291e-16,1.6801151084621741e-15,8.755682451582851,True,False,False
s__Actinobacteria_bacterium_IMCC25003,7.934262881301124e-09,4.227828649607599e-07,0.9534883720930233,3.976824525054639e-13,1.8541944348067253e-12,6.133768002020462,True,False,False
s__Emticicia_aquatica,6.140685896649533e-09,4.227828649607599e-07,0.9651162790697675,6.143692217539746e-10,1.8044072418443506e-09,4.543672036701778,True,False,False
s__Polynucleobacter_sp_AP_Latsch_80_C2,1.304011809965034e-08,4.229533957538793e-07,0.95,4.733309855915316e-10,1.4067924910409667e-09,4.051285969290469,True,False,False
s__Rhodoferax_bucti,1.3040118099649577e-08,4.229533957538793e-07,0.95,1.9560626899965756e-09,5.345138339697602e-09,5.094625699038042,True,False,False
s__Limnohabitans_curvus,9.230203135492025e-09,4.229533957538793e-07,0.9,6.869024884397491e-13,3.1437377691782386e-12,8.935876362665685,True,False,False
s__Candidatus_Methylopumilus_SGB80876,1.3040118099650433e-08,4.229533957538793e-07,0.95,2.9603029688517645e-14,1.68579085096444e-13,6.687454966426652,True,False,False
s__Rhodoluna_lacicola,1.3040118099649865e-08,4.229533957538793e-07,0.9,1.0975447148025597e-12,4.932339501462105e-12,8.267181606940724,True,False,False
s__Candidatus_Methylopumilus_turicensis,9.23020313549236e-09,4.229533957538793e-07,0.9767441860465116,1.1364473638292562e-12,5.0765852300396705e-12,5.016664177200346,True,False,False
s__Aquirufa_lenticrescens,1.304011809965034e-08,4.229533957538793e-07,0.9,7.777500742705978e-25,1.6116709872385168e-23,10.283898149687632,True,False,False
s__Sphaerotilus_montanus,1.3040118077721046e-08,4.229533957538793e-07,0.85,0.01376365017702,0.0143203389568437,3.670292291484291,True,False,False
s__Polynucleobacter_sp_MWH_Spelu_300_X4,1.3040118099649577e-08,4.229533957538793e-07,0.95,1.3638132439987536e-08,3.13282958592602e-08,5.084773817147928,True,False,False
s__Polynucleobacter_parvulilacunae,1.9409723521449593e-08,4.3877738627279825e-07,0.95,2.2377848571682595e-09,5.983467754292191e-09,4.19931917985041,True,False,False
s__Curvibacter_sp_AEP1_3,1.9235966826330076e-08,4.3877738627279825e-07,0.7999999999999999,5.151055694516581e-07,8.263844189482515e-07,3.390405248819721,True,False,False
s__Flavobacterium_sp_HJJ,1.9409723521449378e-08,4.3877738627279825e-07,0.95,7.920741815657999e-09,1.9184653878184637e-08,3.836044547552061,True,False,False
