species,p_value,aic,bic,effect_size,max_prevalence,max_prev_group,min_prevalence,min_prev_group,n_samples,overall_prevalence,p_adjusted,sig_fdr,log10p,log10p_adjusted
s__GGB75646_SGB103098,4.7036088302088107e-07,67.22333628313268,-388.4433538504695,0.8,1.0,Schulz_2017_wastewater,0.2,Rowe_2017_hospital_wastewater,101,0.7524752475247525,0.00017089877821402588,True,6.327568802991793,3.7672610421171995
s__GGB54260_SGB75478,1.3942790763382065e-06,76.19146331674251,-379.4752268168597,0.85,0.95,Schulz_2017_wastewater,0.1,Rowe_2017_hospital_wastewater,101,0.6534653465346535,0.00017089877821402588,True,5.855650289951648,3.7672610421171995
s__GGB39817_SGB99175,7.205314377201029e-07,53.29864124508007,-402.3680488885221,1.0,1.0,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,101,0.6534653465346535,0.00017089877821402588,True,6.142347065605708,3.7672610421171995
s__Candidatus_Saccharibacteria_bacterium_CAG1,1.130027108120072e-06,81.7480724519072,-373.91861768169497,0.75,0.95,Schulz_2017_wastewater,0.2,Rowe_2017_hospital_wastewater,101,0.693069306930693,0.00017089877821402588,True,5.946911138139809,3.7672610421171995
s__Aquaspirillum_sp_LM1,1.2041703986280531e-06,76.16710247388076,-379.49958765972144,0.7999999999999999,0.95,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,101,0.7524752475247525,0.00017089877821402588,True,5.919312052988781,3.7672610421171995
s__Arcobacter_caeni,1.2003842862000458e-06,77.64125485786192,-378.0254352757403,0.7,0.95,Schulz_2017_wastewater,0.25,Rowe_2017_hospital_wastewater,101,0.7524752475247525,0.00017089877821402588,True,5.920679698403197,3.7672610421171995
s__Zoogloea_ramigera,1.2003842873024236e-06,69.7006451263575,-385.9660450072447,0.75,1.0,Schulz_2017_wastewater,0.25,Rowe_2017_hospital_wastewater,101,0.7623762376237624,0.00017089877821402588,True,5.920679698004362,3.7672610421171995
s__GGB23780_SGB65296,1.6333883486505526e-06,71.781473783882,-383.8852163497201,0.7091836734693877,0.9591836734693877,Chu_2017_sludge,0.25,Rowe_2017_hospital_wastewater,101,0.7623762376237624,0.00017518090039277177,True,5.786910546662797,3.756513245806035
s__GGB61782_SGB83906,2.390477983721154e-06,79.92443603168644,-375.7422541019157,0.7999999999999999,0.95,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,101,0.7425742574257426,0.00018766678224991498,True,5.621515251797702,3.7266125923879354
s__GGB40645_SGB64801,2.4059843878194228e-06,42.61206541755935,-413.0546247160428,0.9795918367346939,0.9795918367346939,Chu_2017_sludge,0.0,Lekunberri_2018_river_wastewater,101,0.693069306930693,0.00018766678224991498,True,5.618707195078415,3.7266125923879354
s__Zoogloea_oleivorans,2.390477983721181e-06,65.09976270823245,-390.5669274253697,1.0,1.0,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,101,0.6435643564356436,0.00018766678224991498,True,5.621515251797698,3.7266125923879354
s__Arcobacter_suis,3.4035545127486256e-06,79.58242115530533,-376.08426897829685,0.6499999999999999,0.95,Schulz_2017_wastewater,0.3,Rowe_2017_hospital_wastewater,101,0.7623762376237624,0.00024335414766152674,True,5.468067289162121,3.6137612473610408
s__Flavobacterium_sp_HXWNR29,4.408892599941309e-06,68.20749613752031,-387.4591939960818,0.8,1.0,Lekunberri_2018_river_wastewater,0.2,Rowe_2017_hospital_wastewater,101,0.7722772277227723,0.0002520876413934385,True,5.355670480402743,3.598448445105771
s__Prevotella_herbatica,4.7009350376398784e-06,93.098920657724,-362.5677694758782,0.7999999999999999,0.95,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,101,0.6831683168316832,0.0002520876413934385,True,5.327815750298552,3.598448445105771
s__GGB54287_SGB75505,4.7009350376398784e-06,93.09892065772398,-362.5677694758782,0.7999999999999999,0.95,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,101,0.6831683168316832,0.0002520876413934385,True,5.327815750298552,3.598448445105771
s__Tolumonas_auensis,4.700935037639825e-06,93.09892065772398,-362.5677694758782,0.7999999999999999,0.95,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,101,0.6831683168316832,0.0002520876413934385,True,5.327815750298557,3.598448445105771
s__Simplicispira_metamorpha,9.043564138257643e-06,96.22249607318776,-359.4441940604144,0.7999999999999999,0.95,Schulz_2017_wastewater,0.15,Rowe_2017_hospital_wastewater,101,0.6732673267326733,0.000394009806200563,True,5.043660376989112,3.4044929692257058
s__Lactococcus_raffinolactis,8.81983097598148e-06,71.63051202346705,-384.0361781101351,1.0,1.0,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,101,0.6435643564356436,0.000394009806200563,True,5.054539737646177,3.4044929692257058
s__GGB42821_SGB52415,9.18437776691289e-06,84.37684176510163,-371.2898483685005,0.9,1.0,Schulz_2017_wastewater,0.1,Rowe_2017_hospital_wastewater,101,0.6732673267326733,0.000394009806200563,True,5.03695026141043,3.4044929692257058
s__GGB42821_SGB60031,9.18437776691289e-06,84.37684176510166,-371.2898483685005,0.9,1.0,Schulz_2017_wastewater,0.1,Rowe_2017_hospital_wastewater,101,0.6732673267326733,0.000394009806200563,True,5.03695026141043,3.4044929692257058
s__Prevotella_paludivivens,1.73258389508084e-05,99.33022950247565,-356.33646063112656,0.75,0.95,Schulz_2017_wastewater,0.2,Rowe_2017_hospital_wastewater,101,0.6831683168316832,0.0006757077190815275,True,4.761305726823791,3.1702411197972915
s__Ornithinibacter_SGB87564,1.73258389508084e-05,91.38961977097122,-364.2770703626309,0.8,1.0,Schulz_2017_wastewater,0.2,Rowe_2017_hospital_wastewater,101,0.693069306930693,0.0006757077190815275,True,4.761305726823791,3.1702411197972915
s__Candidatus_Cloacimonas_acidaminovorans,3.318313732980165e-05,77.60497590210437,-378.06171423149783,1.0,1.0,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,101,0.6237623762376238,0.0009918742740002515,True,4.479082555604963,3.0035433737816564
s__Acinetobacter_bohemicus,3.352488804895955e-05,86.12201474764171,-369.54467538596043,0.7,1.0,Schulz_2017_wastewater,0.3,Rowe_2017_hospital_wastewater,101,0.7623762376237624,0.0009918742740002515,True,4.474632663731406,3.0035433737816564
s__Roseomonas_lacus,3.081361313476567e-05,85.0371183239474,-370.62957180965475,0.95,0.95,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,101,0.594059405940594,0.0009918742740002515,True,4.511257374305936,3.0035433737816564
s__GGB25847_SGB37835,2.7873925393254666e-05,73.19146401345861,-382.47522612014353,1.0,1.0,Schulz_2017_wastewater,0.0,Lekunberri_2018_river_wastewater,101,0.594059405940594,0.0009918742740002515,True,4.554801866716006,3.0035433737816564
