species,group1,group2,pair,mean1,mean2,effect_size,cohens_d,t_statistic,p_value_ttest,u_statistic,p_value_mwu,n1,n2,p_adjusted,significant,p_adjusted_ttest,significant_ttest
s__Acetoanaerobium_noterae,Chopyk_2020_pond,Chu_2017_sludge,Chopyk_2020_pond vs Chu_2017_sludge,-0.27557954614621705,1.5952100787596994,-1.8707896249059166,-0.646325272169264,-3.271367820303213,0.0018143852502712921,2189.0,0.7091789089607722,86,49,0.7613225602694421,False,0.0034147138137128248,True
s__Acetoanaerobium_noterae,Chopyk_2020_pond,Lekunberri_2018_river_wastewater,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,-0.27557954614621705,2.376721539625402,-2.652301085771619,-0.8254819244073259,-2.043546151550984,0.06484917955096728,529.0,0.8922211429908928,86,12,0.9189317497350228,False,0.08726635855664644,False
s__Acetoanaerobium_noterae,Chopyk_2020_pond,Rowe_2017_hospital_wastewater,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,-0.27557954614621705,5.939288154716854,-6.214867700863071,-1.6089357326162956,-5.123855352517769,5.363829400522252e-05,480.0,0.0021778771763483417,86,20,0.0034297726229774094,True,0.00012723796729012266,True
s__Acetoanaerobium_noterae,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.27557954614621705,-0.4468076314754995,0.17122808532928246,0.13968621881711765,0.9407879606268096,0.34883723460641664,3961.0,0.0005058765585113086,86,128,0.0008987730252867387,True,0.4009699818293352,False
s__Acetoanaerobium_noterae,Chu_2017_sludge,Lekunberri_2018_river_wastewater,Chu_2017_sludge vs Lekunberri_2018_river_wastewater,1.5952100787596994,2.376721539625402,-0.7815114608657026,-0.19375262921807856,-0.5590320541941048,0.584278390234019,340.0,0.40908731422135114,49,12,0.47908263832875264,False,0.620937379822195,False
s__Acetoanaerobium_noterae,Chu_2017_sludge,Rowe_2017_hospital_wastewater,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,1.5952100787596994,5.939288154716854,-4.344078075957155,-0.9509816104096219,-3.2922917650508197,0.0027563217249804363,298.0,0.011316218584086768,49,20,0.015906013534275808,True,0.004989974719786873,True
s__Acetoanaerobium_noterae,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,1.5952100787596994,-0.4468076314754995,2.042017710235199,0.748209610243747,3.710118523695478,0.0005250619067584108,2744.0,0.19887215661652746,49,128,0.24649519103754583,False,0.0011384837460457452,True
s__Acetoanaerobium_noterae,Lekunberri_2018_river_wastewater,Rowe_2017_hospital_wastewater,Lekunberri_2018_river_wastewater vs Rowe_2017_hospital_wastewater,2.376721539625402,5.939288154716854,-3.562566615091452,-0.7459010289992394,-2.0238952003051556,0.053072134536782195,60.0,0.020556392767147137,12,20,0.028469234815318614,True,0.07263390178320396,False
s__Acetoanaerobium_noterae,Lekunberri_2018_river_wastewater,Schulz_2017_wastewater,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.376721539625402,-0.4468076314754995,2.8235291711009016,0.9212274260945372,2.1912062332705005,0.05073311218856427,816.0,0.7231443368631056,12,128,0.77055316333001,False,0.0721170830968983,False
s__Acetoanaerobium_noterae,Rowe_2017_hospital_wastewater,Schulz_2017_wastewater,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,5.939288154716854,-0.4468076314754995,6.386095786192353,1.7073032273052646,5.308688983267024,3.927788123364509e-05,1848.0,0.0014312228107135933,20,128,0.0022983418238623084,True,9.413578054009533e-05,True
