species,group1,group2,pair,mean1,mean2,effect_size,cohens_d,t_statistic,p_value_ttest,u_statistic,p_value_mwu,n1,n2,p_adjusted,significant,p_adjusted_ttest,significant_ttest
s__GGB26682_SGB64469,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.6224107650939729,8.729068607086084,-9.351479372180057,-1.7733449810744886,-14.112004839052338,6.184364582372291e-28,443.5,3.8784045178255345e-30,86,128,2.3386779242487975e-26,True,2.3307324019815575e-25,True
s__GGB24407_SGB36248,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.6224107650939729,8.220675346734545,-8.843086111828518,-1.6222293411317297,-12.910576835279345,5.425670505926153e-25,568.0,9.24190358023867e-29,86,128,2.786433929441959e-25,True,1.635839657536735e-22,True
s__GGB67335_SGB103624,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.6224107650939729,7.462697995246504,-8.085108760340477,-1.46190442441057,-11.635046440833744,7.79872388105197e-22,696.5,2.318655494481358e-27,86,128,4.6604975439075296e-24,True,1.679510892955121e-19,True
s__GGB75160_SGB103632,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.6224107650939729,6.349975082658286,-6.972385847752259,-1.3903272621373253,-11.062418868372363,1.985005198380337e-20,761.0,1.1077551479769694e-26,86,128,1.6699408855752813e-23,True,3.5204651018333625e-18,True
s__GGB67319_SGB91067,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.13632497604423044,7.981406629817831,-8.117731605862062,-1.4233096080759293,-11.066765982066777,1.092522509928354e-21,792.0,2.3481367970609614e-26,86,128,2.831852977255519e-23,True,2.1959702449559914e-19,True
s__GGB45985_SGB63721,Chopyk_2020_pond,Schulz_2017_wastewater,Chopyk_2020_pond vs Schulz_2017_wastewater,-0.6224107650939729,5.299076915183289,-5.921487680277261,-1.3243200683435212,-10.533136451156052,3.9149631215649534e-19,915.5,4.5241795884302265e-25,86,128,4.546800486372378e-22,True,6.212428321851755e-17,True
s__GGB24407_SGB36248,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.6004432166560936,8.220675346734545,-9.82111856339064,-1.7935724581405887,-14.12986397993792,1.770383443312976e-28,2.0,8.39871123200975e-25,49,128,5.608981933234071e-22,True,7.625294402269461e-26,True
s__GGB67335_SGB103624,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.6004432166560936,7.462697995246504,-9.063141211902598,-1.6316114771118502,-12.858033043766513,2.938988811460041e-25,4.0,9.111326466620964e-25,49,128,5.608981933234071e-22,True,9.327422385844235e-23,True
s__GGB26682_SGB64469,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.6004432166560936,8.729068607086084,-10.329511823742179,-1.9494367606605854,-15.345987149541207,1.5309185740814738e-31,2.0,8.511672871009458e-25,49,128,5.608981933234071e-22,True,1.153929875213911e-28,True
s__GGB75160_SGB103632,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.6004432166560936,6.349975082658286,-7.9504182993143795,-1.5769682094984443,-12.398281369585856,3.49657252795857e-24,5.0,9.301794250802773e-25,49,128,5.608981933234071e-22,True,9.16710101895225e-22,True
