species,n_significant_pairs,n_total_pairs,pct_significant,strongest_pair,strongest_p_adjusted,strongest_effect_size
s__Flavobacterium_sp_GENT5,6,6,100.0,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Flavobacterium_sp_GENT11,6,6,100.0,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Aeromonas_sobria,6,6,100.0,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,6.765242714302816
s__GGB69498_SGB93685,6,6,100.0,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.4899471092161485
s__Acidovorax_sp_1608163,6,6,100.0,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,7.528653716540484e-08,6.198296454180104
s__Bacteroides_intestinalis,6,6,100.0,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.9719296185088284e-07,-2.5685361271399576
s__Undibacterium_amnicola,6,6,100.0,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.9740434757287475e-06,4.970888275505911
s__beta_proteobacterium_CB,6,6,100.0,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__GGB41796_SGB58890,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-2.6295508558248453
s__Sphaerochaeta_globosa,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,5.620249969875401e-11,-0.8311422865289921
s__Raoultella_terrigena,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-1.0210414049834933
s__Bosea_sp_47_2_35,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,7.486289978730321e-16,-1.6129514335053394
s__Pseudomonas_veronii,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.9719296185088284e-07,-2.5685361271399576
s__Pseudomonas_sp_DG56_2,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__Pseudomonas_simiae,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,2.561901399456444e-07,-0.9470606498425684
s__Bacteroides_luti,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Arenimonas_maotaiensis,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-1.7871041887051828
s__Tessaracoccus_sp_MC1627,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,5.986021419812478e-08,-3.156978254122101
s__Arcobacter_acticola,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.53301629912232e-09,-1.7211689260076874
s__Thauera_phenylacetica,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,1.2350644767749333e-10,-0.8304023674348348
s__Thermomonas_beijingensis,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.6365065395101364
s__Acidovorax_SGB22469,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,3.446357135762846e-11,-2.607063295720243
s__Acidovorax_facilis,5,6,83.33333333333333,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.9719296185088284e-07,-2.625357163046204
s__GGB70913_SGB95372,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,5.720849730853932e-11,-2.980973656830601
s__Sarcina_sp_DSM_11001,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-1.4468782018078403
s__GGB67319_SGB91067,5,6,83.33333333333333,Chu_2017_sludge vs Schulz_2017_wastewater,9.260223372692858e-15,-7.520257493762626
s__Acinetobacter_kyonggiensis,5,6,83.33333333333333,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,6.872878626511734e-09,-2.0782159170660712
