species,group1,group2,pair,mean1,mean2,effect_size,cohens_d,t_statistic,p_value_ttest,u_statistic,p_value_mwu,n1,n2,p_adjusted,significant,p_adjusted_ttest,significant_ttest
s__Acetoanaerobium_noterae,Chu_2017_sludge,Lekunberri_2018_river_wastewater,Chu_2017_sludge vs Lekunberri_2018_river_wastewater,1.5306815674209941,2.5270202187931803,-0.9963386513721861,-0.2545114551776758,-0.7140189006256528,0.4866290105713838,304.0,0.863156627450828,49,12,0.8832061262421218,False,0.5404192890508321,False
s__Acetoanaerobium_noterae,Chu_2017_sludge,Rowe_2017_hospital_wastewater,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,1.5306815674209941,5.449193172194358,-3.9185116047733635,-0.9062903808839382,-3.1105201889839806,0.004445988208547005,315.0,0.021002626931350313,49,20,0.033648597825358874,True,0.00912933196288895,True
s__Acetoanaerobium_noterae,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,1.5306815674209941,-0.26936643101104846,1.8000479984320426,0.7249321408033998,3.475853266434563,0.0010050928954133517,392.0,0.1971302567402311,49,20,0.2396113169179513,False,0.00256702120067414,True
s__Acetoanaerobium_noterae,Lekunberri_2018_river_wastewater,Rowe_2017_hospital_wastewater,Lekunberri_2018_river_wastewater vs Rowe_2017_hospital_wastewater,2.5270202187931803,5.449193172194358,-2.9221729534011773,-0.6223988912778287,-1.6773264846090403,0.10552418820976713,74.0,0.07654655170467546,12,20,0.10459197441301626,False,0.14731085212165215,False
s__Acetoanaerobium_noterae,Lekunberri_2018_river_wastewater,Schulz_2017_wastewater,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.5270202187931803,-0.26936643101104846,2.7963866498042287,0.9065749125628899,2.1345097673758575,0.055613848127784964,126.0,0.8301722313017394,12,20,0.8557155183257762,False,0.08584419684055217,False
s__Acetoanaerobium_noterae,Rowe_2017_hospital_wastewater,Schulz_2017_wastewater,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,5.449193172194358,-0.26936643101104846,5.7185596032054065,1.5931797279821638,4.910509712209778,9.007467650380742e-05,286.0,0.02061538065226741,20,20,0.03313117302207241,True,0.000279834166787597,True
s__Acetobacterium_fimetarium,Chu_2017_sludge,Lekunberri_2018_river_wastewater,Chu_2017_sludge vs Lekunberri_2018_river_wastewater,-0.09979619184948424,-0.05644131535371072,-0.04335487649577352,-0.016616165465259354,-0.051538188019012096,0.9594683751285553,324.0,0.5925013188907201,49,12,0.6507035579720374,False,0.9671621367910374,False
s__Acetobacterium_fimetarium,Chu_2017_sludge,Rowe_2017_hospital_wastewater,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,-0.09979619184948424,0.9429101178236801,-1.0427063096731644,-0.2579909199966344,-0.8574209322173016,0.3998107925932597,556.0,0.3863239703665242,49,20,0.4435539637489565,False,0.45669876441171553,False
s__Acetobacterium_fimetarium,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-0.09979619184948424,-0.26936643101104846,0.16957023916156422,0.08520908178288811,0.4038473430945295,0.6878101848003135,235.0,0.0007609203391979868,49,20,0.0017523607811556854,True,0.7297187510211642,False
s__Acetobacterium_fimetarium,Lekunberri_2018_river_wastewater,Rowe_2017_hospital_wastewater,Lekunberri_2018_river_wastewater vs Rowe_2017_hospital_wastewater,-0.05644131535371072,0.9429101178236801,-0.9993514331773907,-0.25320478037141037,-0.7305420439349608,0.4708542897946148,119.0,0.9844721730945954,12,20,0.9925605594932599,False,0.5255051991341371,False
