species,group1,group2,pair,mean1,mean2,effect_size,cohens_d,t_statistic,p_value_ttest,u_statistic,p_value_mwu,n1,n2,p_adjusted,significant,p_adjusted_ttest,significant_ttest
s__GGB46599_SGB64468,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,3.9787913774556727,-5.643763105450471,-1.2434748195423908,-3.873752705378527,0.0009785610774920726,2.0,1.1269914472463143e-10,49,20,7.922078175948559e-08,True,0.002511705076391505,True
s__GGB67335_SGB103624,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,6.059960610289408,-7.724932338284207,-1.422632048744204,-4.417543805832579,0.0002835159555047324,0.0,9.461702482837801e-11,49,20,7.922078175948559e-08,True,0.0008095519305658675,True
s__GGB46263_SGB80728,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,5.988957652255976,-7.6539293802507755,-1.5465079158751047,-4.809542513544005,0.00011450543664631451,0.0,9.461702482837801e-11,49,20,7.922078175948559e-08,True,0.0003502439290653442,True
s__GGB45985_SGB63721,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,4.23627125629119,-5.9012429842859895,-1.3509891914520027,-4.212307354423746,0.0004451448918364553,1.0,1.036756914490414e-10,49,20,7.922078175948559e-08,True,0.0012308351783932889,True
s__GGB26682_SGB64469,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,8.098543655385356,-9.763515383380156,-1.8141975358230176,-5.634189727371694,1.827943833559063e-05,0.0,9.498846558408163e-11,49,20,7.922078175948559e-08,True,6.276630591714465e-05,True
s__GGB24407_SGB36248,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,6.068989791474566,-7.733961519469365,-1.4278867459485811,-4.43402824477626,0.000272927331623018,0.0,9.461702482837801e-11,49,20,7.922078175948559e-08,True,0.0007813246130818145,True
s__GGB75160_SGB103632,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,4.485733819367971,-6.1507055473627705,-1.3646438620163488,-4.251869739449407,0.000407699734840964,0.0,9.461702482837801e-11,49,20,7.922078175948559e-08,True,0.001132157561083151,True
s__GGB47467_SGB65430,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,3.7892914809134526,-5.454263208908252,-1.243003460325127,-3.875205451903345,0.0009722378002111061,3.0,1.2296590106245337e-10,49,20,7.922078175948559e-08,True,0.00250101133890915,True
s__Nitrosomonas_sp_PY1,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,1.004984450550687,-2.669956178545486,-0.9279446523020021,-2.9383308836826654,0.007999573404826744,20.0,5.273487332442199e-10,49,20,9.40616536360093e-08,True,0.015517426168038029,True
s__GGB46555_SGB64420,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,0.9311302288674849,-2.596101956862284,-1.069081160560667,-3.4237908763004077,0.002535528807355231,15.0,3.4542458835537976e-10,49,20,9.40616536360093e-08,True,0.005972005188741596,True
s__GGB44403_SGB61822,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,0.34535857412585674,-2.0103303021206558,-1.1722461989439852,-3.914045116995684,0.0006533695606362172,20.0,5.273487332442199e-10,49,20,9.40616536360093e-08,True,0.0017331274912604547,True
s__GGB44257_SGB103370,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.5265827968532442,3.2478116070964327,-4.774394403949676,-1.1199300258150697,-3.5219180223906523,0.0021362463968863836,17.0,4.093304065493938e-10,49,20,9.40616536360093e-08,True,0.00509454038758196,True
s__GGB56727_SGB78161,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,0.8848284094647598,-2.5498001374595587,-1.1121588303888572,-3.579156171430667,0.0017264469159212763,15.0,3.4542458835537976e-10,49,20,9.40616536360093e-08,True,0.0042051547280993655,True
s__GGB68788_SGB92796,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,1.420756883398628,-3.085728611393427,-1.1284625645771678,-3.5839346797739964,0.0017878489402829896,12.0,2.674328479422139e-10,49,20,9.40616536360093e-08,True,0.0043383114115906445,True
s__GGB62437_SGB95276,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,2.188520935303253,-3.853492663298052,-1.0682036527210799,-3.3488528353066003,0.0032154320600804856,20.0,5.273487332442199e-10,49,20,9.40616536360093e-08,True,0.007339387439173969,True
s__GGB46599_SGB103509,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,4.215726855874864,-5.8806985838696635,-1.2168058143743048,-3.785856110626377,0.0012049579609007316,7.0,1.7397915060665164e-10,49,20,9.40616536360093e-08,True,0.003033880474099839,True
s__GGB35331_SGB62019,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,0.4627484221301471,-2.1277201501249463,-1.0447416653726647,-3.40346588164001,0.0025233210025678837,20.0,5.273487332442199e-10,49,20,9.40616536360093e-08,True,0.00594659188259482,True
s__GGB46513_SGB64374,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,0.7329584838213077,-2.3979302118161065,-1.195890790901145,-3.903100923881097,0.0007457712115489676,11.0,2.454821554844468e-10,49,20,9.40616536360093e-08,True,0.0019580768335829743,True
s__GGB46512_SGB91101,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.664971727994799,0.7139402434481694,-2.3789119714429683,-1.204081424594489,-3.9370061533444085,0.0006805420670481733,11.0,2.454821554844468e-10,49,20,9.40616536360093e-08,True,0.00179780308229948,True
