species,n_significant_pairs,n_total_pairs,pct_significant,strongest_pair,strongest_p_adjusted,strongest_effect_size
s__Malikia_spinosa,10,10,100.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,3.5065418844943156e-08,2.080489127863157
s__Flavobacterium_sp_GENT11,10,10,100.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,3.65506972046259e-08,2.3933218121001363
s__GGB69498_SGB93685,10,10,100.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,8.951411772171825e-09,2.819713764282844
s__Aeromonas_sobria,10,10,100.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,1.564010512515665e-07,-7.122212044517829
s__Acidovorax_sp_1608163,10,10,100.0,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,9.953578080399477e-06,6.34369081736233
s__GGB82163_SGB113499,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Bifidobacterium_minimum,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Campylobacter_jejuni,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Caedimonas_varicaedens,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3421581998299973e-06,-6.1755419621364505
s__Bacteroides_intestinalis,9,10,90.0,Chopyk_2020_pond vs Lekunberri_2018_river_wastewater,2.3109396658759552e-07,2.211566796924944
s__Candidatus_Planktophila_lacus,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,7.543545230460905e-10,1.8370401930249052
s__Candidatus_Velamenicoccus_archaeovorus,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.5304585731191194e-08,1.277951065884257
s__Candidatus_Methylopumilus_universalis,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Sphingorhabdus_lacus,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,6.687201908041088e-07,0.8954855242548274
s__Aquirufa_antheringensis,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,6.839318588500871e-09,2.5603578857477354
s__Candidatus_Planktophila_vernalis,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Vibrio_parahaemolyticus,9,10,90.0,Chopyk_2020_pond vs Chu_2017_sludge,8.951411772171825e-09,0.9564245472790253
s__Arenimonas_maotaiensis,9,10,90.0,Chopyk_2020_pond vs Rowe_2017_hospital_wastewater,5.3087544527649313e-08,1.4682786893447788
