species,group1,group2,pair,mean1,mean2,effect_size,cohens_d,t_statistic,p_value_ttest,u_statistic,p_value_mwu,n1,n2,p_adjusted,significant,p_adjusted_ttest,significant_ttest
s__Acetoanaerobium_noterae,Chu_2017_sludge,Lekunberri_2018_river_wastewater,Chu_2017_sludge vs Lekunberri_2018_river_wastewater,1.245343085021508,2.257854210267981,-1.012511125246473,-0.2710014006522454,-0.7836119035183492,0.44524861492093937,301.0,0.9061241610360001,49,12,0.9276660836125407,False,0.49468836968028596,False
s__Acetoanaerobium_noterae,Chu_2017_sludge,Rowe_2017_hospital_wastewater,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,1.245343085021508,5.357889237682266,-4.112546152660758,-0.9353198195404405,-3.210403027024298,0.0034699292447255854,307.0,0.015789497239825125,49,20,0.027918851148588913,True,0.008085410472983863,True
s__Acetoanaerobium_noterae,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,1.245343085021508,-0.4234506281251448,1.6687937131466528,0.6487877388683679,3.0349581125379466,0.0035275133468428382,408.0,0.28098195365301104,49,20,0.340178151717987,False,0.008185948435170079,True
s__Acetoanaerobium_noterae,Lekunberri_2018_river_wastewater,Rowe_2017_hospital_wastewater,Lekunberri_2018_river_wastewater vs Rowe_2017_hospital_wastewater,2.257854210267981,5.357889237682266,-3.100035027414285,-0.6781180817904333,-1.8545696315654792,0.07432751496037221,72.0,0.06446720015867169,12,20,0.1001906875010512,False,0.1110505954743901,False
s__Acetoanaerobium_noterae,Lekunberri_2018_river_wastewater,Schulz_2017_wastewater,Lekunberri_2018_river_wastewater vs Schulz_2017_wastewater,2.257854210267981,-0.4234506281251448,2.6813048383931255,0.9373910526894875,2.222492840866418,0.04678635786188475,126.0,0.8301722313017394,12,20,0.8661219274730777,False,0.07434245186647917,False
s__Acetoanaerobium_noterae,Rowe_2017_hospital_wastewater,Schulz_2017_wastewater,Rowe_2017_hospital_wastewater vs Schulz_2017_wastewater,5.357889237682266,-0.4234506281251448,5.781339865807411,1.5702363839323559,4.839793576541992,9.672148213196505e-05,286.0,0.02061538065226741,20,20,0.03524297737638881,True,0.0003343968315172206,True
s__Achromobacter_sp_JUb104,Chu_2017_sludge,Lekunberri_2018_river_wastewater,Chu_2017_sludge vs Lekunberri_2018_river_wastewater,-1.9503102103942849,-3.071968135726402,1.1216579253321173,0.8570530033894308,2.462230588432321,0.026327712489540765,446.0,0.005984204929343782,49,12,0.011411583615262079,True,0.04523579691384732,True
s__Achromobacter_sp_JUb104,Chu_2017_sludge,Rowe_2017_hospital_wastewater,Chu_2017_sludge vs Rowe_2017_hospital_wastewater,-1.9503102103942849,-1.4764269681737334,-0.47388324222055145,-0.15853763185654932,-0.501373734335333,0.6214821803676642,580.0,0.23652109688277867,49,20,0.295174164194869,False,0.6642420287812735,False
s__Achromobacter_sp_JUb104,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,-0.4234506281251448,-1.52685958226914,-1.4172096767724311,-5.573926192385865,1.255400198035233e-06,85.0,8.75202092335109e-08,49,20,1.395107013429539e-06,True,8.593302764015819e-06,True
s__Achromobacter_sp_JUb104,Lekunberri_2018_river_wastewater,Rowe_2017_hospital_wastewater,Lekunberri_2018_river_wastewater vs Rowe_2017_hospital_wastewater,-3.071968135726402,-1.4764269681737334,-1.5955411675526687,-0.5270425783586348,-1.5652406373605314,0.12975029788172193,84.0,0.16702217747239834,12,20,0.22204355129390352,False,0.1718888292031223,False
