species,group1,group2,pair,mean1,mean2,effect_size,cohens_d,t_statistic,p_value_ttest,u_statistic,p_value_mwu,n1,n2,p_adjusted,significant,p_adjusted_ttest,significant_ttest
s__GGB24407_SGB36248,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,5.9149055943604685,-7.865215804754754,-1.4745911916879293,-4.581198503394089,0.00019421765936809013,0.0,9.461702482837801e-11,49,20,5.070679804544101e-08,True,0.0006239173533241195,True
s__GGB26682_SGB64469,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,7.944459458271259,-9.894769668665544,-1.8611694340285658,-5.782506926869482,1.3160115414544488e-05,0.0,9.498846558408163e-11,49,20,5.070679804544101e-08,True,7.083973519031701e-05,True
s__GGB45918_SGB63647,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,1.6548178415849653,-3.60512805197925,-1.3464872845394567,-4.286206364413129,0.00033515657602335583,4.0,1.3414496837418256e-10,49,20,5.070679804544101e-08,True,0.0010226032929430103,True
s__GGB46263_SGB80728,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,5.83487345514188,-7.785183665536165,-1.60098402006351,-4.981970357355627,7.70412182021315e-05,0.0,9.461702482837801e-11,49,20,5.070679804544101e-08,True,0.00026964426370746026,True
s__GGB45985_SGB63721,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,4.082187059177093,-6.032497269571378,-1.4115748420106187,-4.4051139902072345,0.00028357023190365657,1.0,1.036756914490414e-10,49,20,5.070679804544101e-08,True,0.0008842122077100805,True
s__GGB46599_SGB64468,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,3.8247071803415764,-5.7750173907358615,-1.2976726805994183,-4.045702470764151,0.0006550397475451416,3.0,1.2296590106245337e-10,49,20,5.070679804544101e-08,True,0.0018493321337332547,True
s__GGB67335_SGB103624,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,5.905876413175311,-7.856186623569596,-1.4668452801123368,-4.556834924769479,0.00020544623086488374,0.0,9.461702482837801e-11,49,20,5.070679804544101e-08,True,0.0006568872907916678,True
s__GGB47467_SGB65430,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,3.635207283799356,-5.585517494193641,-1.299236606007737,-4.053936816372164,0.0006401913968417816,4.0,1.3414496837418256e-10,49,20,5.070679804544101e-08,True,0.001811922738815092,True
s__GGB75160_SGB103632,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,4.331649622253876,-6.281959832648161,-1.42732520069777,-4.45106989864181,0.00025606825396300723,0.0,9.461702482837801e-11,49,20,5.070679804544101e-08,True,0.0008088618384235381,True
s__GGB45847_SGB63572,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,1.2580690065106452,-3.2083792169049303,-1.2719310020054475,-4.066071497689912,0.0005542485688146174,7.0,1.7397915060665164e-10,49,20,5.918770703638289e-08,True,0.0015925284046514596,True
s__GGB46555_SGB64420,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.7770460317533887,-2.727356242147674,-1.1899466724011385,-3.8347728983475378,0.0009306939606493781,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.0024891673381518746,True
s__GGB44257_SGB103370,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.8119212792527304,3.0937274099823364,-4.905648689235067,-1.1796043665507996,-3.7140704152366912,0.0013599729920923476,18.0,4.4547458525773905e-10,49,20,8.484581832311326e-08,True,0.003542594271897524,True
s__GGB68788_SGB92796,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,1.266672686284532,-3.2169828966788168,-1.237358766078515,-3.946793647729182,0.0007444772049757749,18.0,4.4547458525773905e-10,49,20,8.484581832311326e-08,True,0.0020561660601447576,True
s__GGB46504_SGB91066,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,1.0705810798207747,-3.0208912902150598,-1.322386828860873,-4.262900121991695,0.0003304117852166904,18.0,4.4547458525773905e-10,49,20,8.484581832311326e-08,True,0.0010100925122759003,True
s__GGB24172_SGB35979,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,1.9364374014806434,-3.8867476118749282,-1.2443147368413567,-3.9264119334176,0.000819571781039402,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.002225206064721505,True
s__GGB56727_SGB78161,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.7307442123506638,-2.681054422744949,-1.2552520810879113,-4.074102570645387,0.0005042137996668868,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.0014635967120023455,True
s__GGB46599_SGB103509,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,4.061642658760769,-6.011952869155054,-1.2579741310388852,-3.9159216058082866,0.0008905184532944203,18.0,4.4547458525773905e-10,49,20,8.484581832311326e-08,True,0.0023948962672787496,True
s__GGB67334_SGB91087,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.8389831936593264,-2.7892934040536113,-1.1873215981820373,-3.8177596434099286,0.0009787256010146386,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.0026114701918837652,True
s__Nitrospira_defluvii,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.7641214170007748,-2.7144316273950597,-1.2346952295163212,-3.9951939772374354,0.0006201008793847556,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.0017623919729882528,True
s__GGB75380_SGB103363,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.8919385168935557,-2.8422487272878407,-1.15037783693655,-3.6834003694666704,0.0013720763410005523,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.0035713876909593567,True
s__GGB75173_SGB103644,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.9298536530312165,-2.8801638634255013,-1.1247427424715335,-3.591511337752647,0.0017232686797855835,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.004371782288315105,True
s__GGB46505_SGB103527,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,0.716642719909806,-2.666952930304091,-1.270550091363868,-4.13172039188204,0.0004336962463025802,21.0,5.736195830192842e-10,49,20,8.484581832311326e-08,True,0.0012785395406597728,True
s__GGB75170_SGB103651,Chu_2017_sludge,Schulz_2017_wastewater,Chu_2017_sludge vs Schulz_2017_wastewater,-1.9503102103942849,1.458421940166363,-3.408732150560648,-1.1728033790618886,-3.7146345113588866,0.001327982944467607,18.0,4.4547458525773905e-10,49,20,8.484581832311326e-08,True,0.0034672279179422862,True
