species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__Limnohabitans_sp_Rim47,327.1664915827937,1.2391090827138284e-37,14.875791014326081,60,7.471827768764385e-35,True
s__Polynucleobacter_sp_es_MAR_4,256.1766736260534,7.53390946433005e-35,11.610928239517976,60,2.27147370349551e-32,True
s__Limnohabitans_sp_63ED37_2,247.14506107223679,1.9173041800440077e-34,12.90700697997883,60,3.8537814018884554e-32,True
s__Limnohabitans_sp_G3_2,232.87019509355176,8.981846843605496e-34,12.475449600705083,60,1.3540134116735286e-31,True
s__Limnohabitans_sp_2KL_3,220.56443953858312,3.6591522425275586e-33,12.119217089634425,60,4.412937604488236e-31,True
s__Limnohabitans_parvus,212.0673905369491,1.0081946673262823e-32,12.11415965064505,60,1.0132356406629138e-30,True
s__Candidatus_Methylopumilus_universalis,205.69076099623265,2.2123724302265207e-32,11.919077443881793,60,1.9058008220379883e-30,True
s__Polynucleobacter_sp_AM_26B4,199.5701246229114,4.8073539516143487e-32,11.78880314446404,60,3.6235430410293156e-30,True
s__GGB24856_SGB81948,188.6034201553426,2.044925536499783e-31,11.728289440819518,60,1.3701001094548547e-29,True
s__Candidatus_Fonsibacter_ubiquis,186.91902366897997,2.5718903678641702e-31,11.538597675677037,60,1.5508498918220946e-29,True
s__GGB46527_SGB64388,185.8128022110807,2.9929705547734863e-31,11.335043977003744,60,1.640692040480375e-29,True
s__Candidatus_Planktophila_vernalis,179.48703304311957,7.240901890054127e-31,11.562257004524799,60,3.6385531997521985e-29,True
s__Polynucleobacter_sp_30F_ANTBAC,161.01533621414177,1.138569879261083e-29,10.142148416191409,60,5.281212593803331e-28,True
s__GGB34754_SGB82226,157.85131315198447,1.8789071269517228e-29,11.333128517478468,60,8.09272141108492e-28,True
s__GGB25723_SGB106723,151.50827225064063,5.276363761606575e-29,11.01864343820782,60,2.1210982321658433e-27,True
s__GGB34383_SGB60872,129.8033814308255,2.5014026381219253e-27,10.756460395687544,60,9.427161192422006e-26,True
s__GGB46525_SGB64386,113.57122346639204,6.692763343516146e-26,12.062457771405548,60,2.373962527141315e-24,True
s__Limnohabitans_sp_2KL_27,108.11953303651784,2.218171639175408e-25,11.227656109134571,60,7.430874991237618e-24,True
s__GGB46797_SGB64687,103.54058105005126,6.32847637762771e-25,11.913984414268018,60,2.0084585556365838e-23,True
s__Polynucleobacter_sp_31A_FELB,96.9003166843136,3.1188921036185844e-24,11.891364473392358,60,9.403459692410032e-23,True
s__Rhodoluna_limnophila,92.1514004846109,1.0357149783748572e-23,8.913178381227738,60,2.97398158076209e-22,True
s__Actinomycetia_unclassified_SGB64102,88.08498621978495,3.0225841979291685e-23,9.150040416994825,60,8.284628506142221e-22,True
s__Aurantimicrobium_photophilum,79.27990183302606,3.5828118956086153e-22,10.308576595623206,60,9.393198143704326e-21,True
s__Polynucleobacter_sp_MWH_CaK5,76.71037233833012,7.703399853771119e-22,11.926573391891452,60,1.9354792132599937e-20,True
s__Candidatus_Planktophila_sulfonica,73.89084508028056,1.829992269818323e-21,13.266808697285757,60,4.413941354801795e-20,True
s__Polynucleobacter_sp_78F_HAINBA,71.36987697598839,4.061877271870778e-21,11.053437184757438,60,9.420430749761843e-20,True
s__Aquirufa_antheringensis,67.91281042342499,1.2603812299895102e-20,13.504939012259953,60,2.8148514136432393e-19,True
s__GGB26186_SGB38199,66.07326595158892,2.3478152124536148e-20,8.406286957349591,60,5.056187761105463e-19,True
s__Limnohabitans_sp_Rim11,54.388667930402406,1.7611413000337364e-18,12.117070600385976,60,3.661959323863252e-17,True
s__Candidatus_Planktophila_limnetica,50.40524197753902,9.092130610956828e-18,10.490014182129176,60,1.8275182528023224e-16,True
s__Flavobacterium_sp_GENT11,47.369206263608916,3.404093508264145e-17,13.402908230054727,60,6.621510920913805e-16,True
s__Polynucleobacter_sp_AP_Ainpum_60_G11,41.99024720235051,4.173165289683562e-16,11.970680985664897,60,7.863808342747462e-15,True
s__beta_proteobacterium_CB,39.21613746600718,1.6710618932352693e-15,12.573508881786033,60,3.0534858230935376e-14,True
s__Polynucleobacter_cosmopolitanus,37.28304452663119,4.586666642374416e-15,11.528547444231855,60,8.134588192211097e-14,True
s__GGB46331_SGB64109,36.04434795850037,8.936126661779316e-15,9.88653503695156,60,1.539566964872265e-13,True
s__Aquirufa_lenticrescens,34.82012220686984,1.7557124688040783e-14,10.064587577126883,60,2.940818385246831e-13,True
s__GGB75611_SGB103138,33.813215461780196,3.0986960103270716e-14,10.493642740806326,60,5.05003701142493e-13,True
s__Polynucleobacter_difficilis,32.58867392772908,6.283844853441564e-14,11.116306386368063,60,9.97146959638227e-13,True
s__Sphingorhabdus_rigui,32.54006999619364,6.465110970349918e-14,13.270505754944956,60,9.99605619261795e-13,True
s__GGB67319_SGB91067,31.99525019441746,8.910318009437836e-14,13.716794384563956,60,1.3432304399227538e-12,True
s__Candidatus_Nanopelagicus_abundans,31.725535715280127,1.045838744065007e-13,8.45304342893004,60,1.5381482016370712e-12,True
s__Polynucleobacter_sp_MWH_Jannik1A5,31.508366100737167,1.19062948595832e-13,11.158776006862372,60,1.7094037619830165e-12,True
s__GGB25672_SGB61746,30.811978031693737,1.811961841241613e-13,9.359986958599913,60,2.540960442485332e-12,True
s__Candidatus_Planktophila_lacus,29.076119062027466,5.310727698848251e-13,10.175799283164801,60,7.278110914557944e-12,True
s__alpha_proteobacterium_SCGC_AAA028_D10,28.726526414760173,6.628864600760604e-13,9.851017775329922,60,8.88267856501921e-12,True
s__GGB75160_SGB103632,28.5632709509454,7.35644921472392e-13,12.360302740304313,60,9.643345383648965e-12,True
s__GGB26682_SGB64469,27.8930851849443,1.1327671368244398e-12,12.644395850275194,60,1.4533161351173133e-11,True
s__Limnohabitans_sp_T6_20,27.73316407265808,1.2569275506167308e-12,8.855079130902496,60,1.579015235462268e-11,True
s__GGB67335_SGB103624,27.68208932938891,1.2994872623888135e-12,13.299210182480017,60,1.599164937184601e-11,True
s__Flavobacterium_sp_GENT5,26.72151466667981,2.4492989468869917e-12,13.405070311112311,60,2.9538545299457123e-11,True
s__Limnohabitans_sp_Hippo3,25.515498770891107,5.543593408620129e-12,10.526241811007349,60,6.554483971368506e-11,True
s__Polynucleobacter_yangtzensis,25.392039990364594,6.0353499356342155e-12,12.726967032947929,60,6.998684636898907e-11,True
s__Dechloromonas_denitrificans,24.719319276874483,9.634671366391196e-12,6.915769141072654,60,1.0961711007422437e-10,True
s__Polynucleobacter_asymbioticus,24.17404635201375,1.4158996470831277e-11,10.522196963463731,60,1.581087939242826e-10,True
s__GGB26613_SGB38793,23.401190268679883,2.466305192236919e-11,8.486623597758301,60,2.7039673289433855e-10,True
s__actinobacterium_SCGC_AAA028_A23,22.76290694362523,3.933532111719742e-11,9.392384133573294,60,4.2355711845839365e-10,True
s__Limnohabitans_sp_MMS_10A_160,21.756346809499505,8.347563474431294e-11,9.719908915054631,60,8.830843465056264e-10,True
s__GGB23686_SGB82209,21.562480530054863,9.672160227847973e-11,9.291122450560518,60,1.0055711409297117e-09,True
s__Rhodoluna_lacicola,21.12136352321385,1.3562355325773226e-10,8.047871034379975,60,1.3861186883798738e-09,True
s__GGB24407_SGB36248,21.041910517597167,1.4420108464803757e-10,11.203295764717092,60,1.4492209007127778e-09,True
s__Pseudomonas_sp_DG56_2,20.902810117901936,1.6059707996512468e-10,9.0506213450953,60,1.5875416265404948e-09,True
s__Brucella_anthropi,20.3108795723345,2.551533351585826e-10,9.487564827201007,60,2.481571953235892e-09,True
s__Stenotrophomonas_maltophilia,19.776525612478064,3.9013329463165877e-10,9.323465191976805,60,3.73413296290302e-09,True
s__Sphingorhabdus_lacus,19.55448010134208,4.663098705978417e-10,9.55117090659526,60,4.3935133120390405e-09,True
s__GGB57281_SGB78792,19.266004320580514,5.889164593237922e-10,10.566352061590042,60,5.4633326918807186e-09,True
s__GGB69498_SGB93685,18.9393328803043,7.689279522409927e-10,10.359520624268011,60,7.0252053818381604e-09,True
s__Limnohabitans_curvus,18.809485186825093,8.555303149568336e-10,8.716565790104935,60,7.699772834611501e-09,True
s__Escherichia_coli,18.160255791143886,1.4677936750797295e-09,10.065954182467639,60,1.3015876265780543e-08,True
s__Candidatus_Nanopelagicus_SGB64093,17.856991645012293,1.8955498384132945e-09,10.389974825198543,60,1.656545728352488e-08,True
s__Limnohabitans_sp_Jir61,17.58280645538676,2.3934998305981015e-09,7.857049174393581,60,2.0618291397866503e-08,True
s__Azonexus_hydrophilus,16.707134688054904,5.108540594394675e-09,8.631816020841134,60,4.338661941436604e-08,True
s__Polynucleobacter_necessarius,16.65665835052726,5.340103185831941e-09,8.120668910367197,60,4.472336418134251e-08,True
