species,p_value_original,f_statistic_original,p_value_kw,kw_statistic,effect_size_original,n_samples_original,r_squared,p_adjusted_original,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf,significant_original,f_statistic_balanced,p_value_balanced,effect_size_balanced,n_samples_balanced,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Limnohabitans_sp_Rim47,2.170941603714976e-102,618.0803181629568,4.8175395295322416e-24,111.6611203889589,15.24728537949274,209,0.9004487553760394,1.2309238893063911e-99,True,4.1387044140072434e-23,True,101.6633518585011,98.9097687996082,1.2309238893063911e-99,True,True,253.10516326858578,9.284035385863159e-28,15.10171148035877,48,5.264048063784411e-25,True,101.6633518585011,27.032263212910667
s__Candidatus_Planktophila_sulfonica,3.4517342558606194e-92,477.4240108644988,4.8175395295322416e-24,111.6611203889589,13.638303062452415,209,0.8747917292184655,9.785666615364857e-90,True,4.1387044140072434e-23,True,91.46196264738784,89.00940958415893,1.957133323072971e-89,True,True,188.43760961393903,4.026131480256661e-25,13.492729163318442,48,5.707041373263817e-23,True,91.46196264738785,24.3951120465816
s__Limnohabitans_sp_63ED37_2,2.6280321194794395e-91,466.7145710836905,4.8175395295322416e-24,111.6611203889589,13.27850134514549,209,0.8722855789748625,4.966980705816141e-89,True,4.1387044140072434e-23,True,90.58036933118706,88.3039075270138,1.4900942117448422e-88,True,True,192.06068467764112,2.730454603418924e-25,13.132927446011518,48,5.160559200461766e-23,True,90.58036933118706,24.563765039655284
s__Limnohabitans_sp_G3_2,7.822836116876005e-89,437.77217775050025,4.8175395295322416e-24,111.6611203889589,12.846943965871745,209,0.8649820406282549,1.1088870195671737e-86,True,4.1387044140072434e-23,True,88.10663576783425,85.9551127002693,4.435548078268695e-86,True,True,181.01789860918953,9.116980797885698e-25,12.701370066737772,48,1.0338656224802381e-22,True,88.10663576783425,24.040148959907103
s__GGB46525_SGB64386,5.5709406402397855e-87,417.12651503088455,4.8175395295322416e-24,111.6611203889589,12.43395213657221,209,0.8592399895406675,6.317446686031916e-85,True,4.1387044140072434e-23,True,86.25407146903179,84.1994584144749,3.1587233430159578e-84,True,True,176.94382875928807,1.447152396410112e-24,12.288378237438236,48,1.3675590146075558e-22,True,86.25407146903179,23.839485731883755
s__Limnohabitans_sp_2KL_3,1.0311908655739356e-86,414.2167138684815,4.8175395295322416e-24,111.6611203889589,12.490711454801088,209,0.8583911995665922,9.744753679673692e-85,True,4.1387044140072434e-23,True,85.986660942676,84.01122913416673,5.846852207804216e-84,True,True,171.75238902681755,2.6452928406753965e-24,12.345137555667113,48,2.1426872009470713e-22,True,85.986660942676,23.57752624345881
s__Polynucleobacter_sp_es_MAR_4,1.5190405507126345e-86,412.39506836865024,4.8175395295322416e-24,111.6611203889589,11.982422604684636,209,0.8578545950449272,1.230422846077234e-84,True,4.1387044140072434e-23,True,85.81843063251267,83.90994561363402,8.612959922540638e-84,True,True,193.1345409994831,2.4367661690312983e-25,11.836848705550665,48,5.160559200461766e-23,True,85.81843063251267,24.613186143516
s__Limnohabitans_sp_Rim11,5.543273730364177e-86,406.3571373005303,4.8175395295322416e-24,111.6611203889589,12.488564965552635,209,0.8560465449367743,3.9287952563956113e-84,True,4.1387044140072434e-23,True,85.25623367514171,83.40574060324074,3.1430362051164887e-83,True,True,164.2921662663501,6.485648508134547e-24,12.342991066418664,48,4.0859585601247644e-22,True,85.25623367514171,23.18804659175833
s__Candidatus_Methylopumilus_universalis,6.019253356731745e-85,395.4306991190289,4.8175395295322416e-24,111.6611203889589,12.290571809048457,209,0.8526549526232341,3.556075740904522e-83,True,4.1387044140072434e-23,True,84.22045737637701,82.44902899755937,3.4129166532669e-82,True,True,160.9837795073659,9.769910796018568e-24,12.144997909914482,48,5.32143760930088e-22,True,84.22045737637701,23.010109401580486
s__Polynucleobacter_sp_MWH_CaK5,6.271738520113796e-85,395.2446668440503,4.8175395295322416e-24,111.6611203889589,12.298067757058114,209,0.852595823556799,3.556075740904522e-83,True,4.1387044140072434e-23,True,84.20261205645227,82.44902899755937,3.5560757409045224e-82,True,True,160.54319910110448,1.0323776667074016e-23,12.15249385792414,48,5.32143760930088e-22,True,84.20261205645227,22.98616139906293
s__Polynucleobacter_sp_AP_Ainpum_60_G11,8.101675597680068e-85,394.0872537838849,4.8175395295322416e-24,111.6611203889589,12.342175350831557,209,0.8522268790857022,4.1760455126223626e-83,True,4.1387044140072434e-23,True,84.09142515055727,82.3792347768226,4.5936500638845984e-82,True,True,157.94761228234637,1.4326979317355372e-23,12.196601451697585,48,6.769497727450413e-22,True,84.09142515055727,22.84384536606396
s__Polynucleobacter_sp_AM_26B4,5.200963725659482e-84,385.7675638046039,4.8175395295322416e-24,111.6611203889589,12.160297509630702,209,0.8495194927734827,2.4574553603741052e-82,True,4.1387044140072434e-23,True,83.28391617521976,81.60951436237447,2.9489464324489257e-81,True,True,156.4028186799409,1.7453109518227477e-23,12.014723610496729,48,7.612240843719215e-22,True,83.28391617521976,22.758127186108823
s__GGB24856_SGB81948,5.623523639267865e-83,375.3330730872213,4.8175395295322416e-24,111.6611203889589,12.099783805986178,209,0.845980375470304,2.452721464203753e-81,True,4.1387044140072434e-23,True,82.24999147490135,80.61035176831528,3.1885379034648795e-80,True,True,148.79503883592736,4.7381795210453616e-23,11.954209906852206,48,1.7910318589551465e-21,True,82.24999147490135,22.324388488669737
s__Polynucleobacter_cosmopolitanus,1.14437678178061e-82,372.2657033782511,4.8175395295322416e-24,111.6611203889589,11.900041809398516,209,0.8449081190841,4.63472596621147e-81,True,4.1387044140072434e-23,True,81.94143096216253,80.33397593894786,6.4886163526960575e-80,True,True,152.59189267613303,2.862085938056432e-23,11.754467910264543,48,1.159144804912855e-21,True,81.94143096216253,22.54331733009289
