species,f_statistic,p_value,effect_size,n_samples,p_adjusted,significant
s__Limnohabitans_sp_Rim47,355.25657956793685,1.408732229316836e-38,15.21532899995805,60,1.0509142430703596e-35,True
s__Polynucleobacter_sp_es_MAR_4,283.2109396172085,5.4838733660653934e-36,11.950466225149945,60,2.0454847655423917e-33,True
s__Limnohabitans_sp_63ED37_2,269.4177321932741,2.0236015836031158e-35,13.246544965610799,60,5.032022604559748e-33,True
s__Limnohabitans_sp_G3_2,254.3172745185441,9.107931541019343e-35,12.814987586337052,60,1.6986292324001076e-32,True
s__Limnohabitans_sp_2KL_3,241.273429928488,3.5810778774057616e-34,12.458755075266392,60,5.342968193089396e-32,True
s__Limnohabitans_parvus,231.5113005762068,1.0452449789138066e-33,12.453697636277019,60,1.299587923782833e-31,True
s__Candidatus_Methylopumilus_universalis,224.7010604437792,2.2637413225733855e-33,12.258615429513762,60,2.4125014666282077e-31,True
s__Polynucleobacter_sp_AM_26B4,217.97811178537492,4.961905821920199e-33,12.12834113009601,60,4.626977178940585e-31,True
s__GGB24856_SGB81948,205.579479914062,2.2433760786020626e-32,12.067827426451487,60,1.859509505152376e-30,True
s__Candidatus_Fonsibacter_ubiquis,204.17594080639404,2.6754333442203175e-32,11.878135661309004,60,1.9944691710975706e-30,True
s__GGB46527_SGB64388,203.4257440476764,2.940906284460225e-32,11.674581962635713,60,1.9944691710975706e-30,True
s__Candidatus_Planktophila_vernalis,195.61031090240564,8.037880206366751e-32,11.901794990156768,60,4.9968821949579966e-30,True
s__Polynucleobacter_sp_30F_ANTBAC,177.623261541345,9.44563268323698e-31,10.481686401823378,60,5.420339985919067e-29,True
s__GGB34754_SGB82226,171.59835443519486,2.2710284043010525e-30,11.672666503110436,60,1.210133706863275e-28,True
s__GGB25723_SGB106723,164.940922774902,6.19219946047252e-30,11.358181423839788,60,3.079587198341667e-28,True
s__GGB32349_SGB82186,144.60652426001883,1.6989421918041903e-28,10.562808471254028,60,7.921317969287038e-27,True
s__GGB25723_SGB84803,142.905345027835,2.2842443908296107e-28,10.750883807952265,60,9.963644777701364e-27,True
s__GGB32489_SGB48813,142.6133172883399,2.4040965951558253e-28,10.792432900499078,60,9.963644777701364e-27,True
s__GGB34383_SGB60872,141.0111584631523,3.188156998107403e-28,11.095998381319513,60,1.2517711160990119e-26,True
s__GGB38373_SGB52357,134.79815928512747,9.79912509286851e-28,10.56528563669915,60,3.655073659639954e-26,True
s__GGB46525_SGB64386,119.80194869119786,1.8086179966245926e-26,12.401995757037517,60,6.424900121342601e-25,True
s__Limnohabitans_sp_2KL_27,111.32241596110232,1.0902495796839854e-25,11.56719409476654,60,3.696937211110241e-24,True
s__GGB46797_SGB64687,105.73936722409016,3.806263636187599e-25,12.253522399899987,60,1.234553335911282e-23,True
s__Polynucleobacter_sp_31A_FELB,102.01192957582802,9.062438163727327e-25,12.230902459024326,60,2.8169078625585776e-23,True
