species,p_value_original,f_statistic_original,p_value_kw,kw_statistic,effect_size_original,n_samples_original,r_squared,p_adjusted_original,sig_fdr,p_adjusted_kw,sig_fdr_kw,log10p,log10p_adjusted,p_adjusted_bonf,sig_bonf,significant_original,f_statistic_balanced,p_value_balanced,effect_size_balanced,n_samples_balanced,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Polynucleobacter_sp_es_MAR_4,9.391617686900088e-102,570.2705783220897,8.492679585415555e-21,100.29968356985091,11.830238812078726,187,0.9261088437775272,3.503073397213733e-99,True,8.33623548778948e-20,True,101.02725959495604,98.45555076314734,7.006146794427466e-99,True,True,283.2109396172085,5.4838733660653934e-36,11.950466225149945,60,2.0454847655423917e-33,True,101.02725959495604,35.26091258252111
s__Limnohabitans_sp_G3_2,5.844275098004921e-102,573.4915716688595,8.492679585415555e-21,100.29968356985091,12.694760173265832,187,0.926493344849062,3.503073397213733e-99,True,8.33623548778948e-20,True,101.2332693494226,98.45555076314734,4.359829223111671e-99,True,True,254.3172745185441,9.107931541019343e-35,12.814987586337052,60,1.6986292324001076e-32,True,101.23326934942261,34.04058024238159
s__Candidatus_Methylopumilus_universalis,6.223112871631384e-98,513.4701194245253,8.492679585415555e-21,100.29968356985091,12.138388016442542,187,0.9186003000538856,1.547480734079004e-95,True,8.33623548778948e-20,True,97.2059923219334,94.81037474918038,4.642442202237012e-95,True,True,224.7010604437792,2.2637413225733855e-33,12.258615429513762,60,2.4125014666282077e-31,True,97.2059923219334,32.645173201422544
s__Candidatus_Planktophila_vernalis,4.720159562000545e-94,461.1504574852025,8.492679585415555e-21,100.29968356985091,11.781567577085546,187,0.910194495380814,8.803097583131016e-92,True,8.33623548778948e-20,True,93.32604332006822,91.05536448392353,3.5212390332524063e-91,True,True,195.61031090240564,8.037880206366751e-32,11.901794990156768,60,4.9968821949579966e-30,True,93.32604332006822,31.094858470662217
s__GGB34754_SGB82226,1.30969309370563e-90,418.8317084785509,8.492679585415555e-21,100.29968356985091,11.552439090039217,187,0.9020097073510503,1.9540620958088e-88,True,8.33623548778948e-20,True,89.88283046260824,87.70906163947159,9.770310479044e-88,True,True,171.59835443519486,2.2710284043010525e-30,11.672666503110436,60,1.210133706863275e-28,True,89.88283046260824,29.643777433920263
s__GGB25723_SGB106723,5.506224537197525e-89,400.1194096167665,8.492679585415555e-21,100.29968356985091,11.237954010768568,187,0.8978949322716214,6.846072507915589e-87,True,8.33623548778948e-20,True,88.25914608257627,86.16455850548724,4.1076435047493535e-86,True,True,164.940922774902,6.19219946047252e-30,11.358181423839788,60,3.079587198341667e-28,True,88.25914608257627,29.208155062792315
s__GGB34383_SGB60872,7.387515838153884e-85,355.8709095473129,8.492679585415555e-21,100.29968356985091,10.975770968248291,187,0.8866385208352113,7.87298116466114e-83,True,8.33623548778948e-20,True,84.1315015750223,82.10386078756389,5.511086815262797e-82,True,True,141.0111584631523,3.188156998107403e-28,11.095998381319513,60,1.2517711160990119e-26,True,84.1315015750223,27.496460300283182
s__Limnohabitans_sp_Rim47,1.7960484983048892e-84,351.9661898452265,7.02965074229677e-21,100.6853443031097,15.09510158688683,187,0.8855248542832845,1.6748152246693088e-82,True,8.33623548778948e-20,True,83.74568194035145,81.77603309987072,1.339852179735447e-81,True,True,355.25657956793685,1.408732229316836e-38,15.21532899995805,60,1.0509142430703596e-35,True,83.74568194035145,37.851171549390074
s__GGB32489_SGB48813,2.1113129184891164e-84,351.2594667120292,8.492679585415555e-21,100.29968356985091,10.672205487427858,187,0.8853209467764906,1.750043819103201e-82,True,8.33623548778948e-20,True,83.67544739497193,81.75695107693858,1.5750394371928806e-81,True,True,142.6133172883399,2.4040965951558253e-28,10.792432900499078,60,9.963644777701364e-27,True,83.67544739497193,27.61904808662755
s__GGB25723_SGB84803,2.401592365250028e-84,350.6974105350394,8.492679585415555e-21,100.29968356985091,10.630656394881044,187,0.8851582600235697,1.7915879044765207e-82,True,8.33623548778948e-20,True,83.61950070573666,81.74676187826398,1.7915879044765207e-81,True,True,142.905345027835,2.2842443908296107e-28,10.750883807952265,60,9.963644777701364e-27,True,83.61950070573666,27.641257432864585
