species,pooled_effect,p_adjusted,effect_size_lec03,p_adjusted_lec03,both_significant
s__Acetoanaerobium_noterae,-0.2510862560401334,0.00498498223671266,6.386095786192353,2.1100925780142524e-23,True
s__Acidovorax_sp_1608163,-0.12083492383785706,0.3002262824001883,6.26053940642658,8.538638103763207e-12,False
s__Acidovorax_sp_210_6,-0.09710416585724428,0.4484036699185173,3.2945757322517037,0.0019250466183939,False
s__Acidovorax_sp_BoFeN1,-0.5221543456429993,0.00011398111098861192,6.241341798050064,2.591674539303827e-19,True
s__Acidovorax_sp_KKS102,-0.1558350836052988,0.12218525287910871,2.43050043862608,2.133692711151629e-05,False
s__Acidovorax_temperans,-1.255613885490702,0.0,8.521312889020138,2.4862823984563494e-23,True
s__Acinetobacter_bohemicus,-1.0533662099316445,0.0,5.629975562452287,1.6595663479172746e-08,True
s__Acinetobacter_johnsonii,-1.789089431412788,0.0,7.131707397595145,1.7652864009070535e-09,True
s__Acinetobacter_parvus,0.08063121385458465,0.37774783459636346,3.312332360750168,2.233578840181429e-07,False
s__Aeromonas_caviae,-0.4051582700968781,5.196690717346415e-06,6.996048739552753,1.7302822593198912e-23,True
s__Aeromonas_media,-1.0953666907735147,0.0,8.505115432358222,9.996231321865068e-27,True
s__Aeromonas_salmonicida,-0.33105909699340424,0.00021761035338566914,3.816995284583862,3.6379090207901e-14,True
s__Akkermansia_muciniphila,-0.3283058921989657,3.749907206568641e-07,4.246344397999163,6.606995021642973e-16,True
s__Aliarcobacter_butzleri,-0.2714302386373426,0.010191876068786984,3.736984289276252,5.63106460166993e-13,True
s__Aliarcobacter_cryaerophilus,0.8247317546722227,0.0,11.6174939995187,6.867845892599142e-40,True
s__Alistipes_putredinis,-0.44153221290603306,8.776885475056566e-08,4.547116939532915,1.0829353355015195e-16,True
s__Arcobacter_caeni,-0.510589762605802,3.39509573259244e-08,4.864754126005742,8.933687471451317e-23,True
s__Arcobacter_suis,-0.41648430423562754,2.771635221750148e-05,5.5693822161177,1.622418828924875e-26,True
s__Aurantimicrobium_photophilum,-0.24948705948880925,0.03197311629268527,10.217539373112702,5.135327301767402e-27,True
s__Azonexus_hydrophilus,-0.18244987037604232,0.016092607829598694,6.170789885094356,3.732248152892802e-21,True
s__Azospira_oryzae,0.008002769540334348,0.9388776715717781,3.3795156486542406,8.007795715055216e-09,False
s__Bacteroides_caccae,-0.262359231904599,0.002884739692465373,3.5592478667426186,1.3730895663988178e-14,True
s__Bacteroides_cellulosilyticus,-0.07900354192411348,0.3715858322333883,3.1049161636554543,2.5570800885467095e-11,False
s__Bacteroides_graminisolvens,-0.9668514065948475,0.0,9.918641436561156,1.7718816597429671e-41,True
s__Bacteroides_ovatus,-0.36047953786003106,1.92296173828576e-05,3.985081779817591,4.227977409416275e-17,True
s__Bacteroides_stercoris,-0.1425499061121261,0.1253634684166741,5.233276882012377,1.2686781447984976e-14,False
s__Bacteroides_thetaiotaomicron,-0.19043316085795897,0.02424448353784425,3.207920363082428,9.616738668886948e-12,True
s__Bacteroides_uniformis,-0.5809307404533395,3.8261554127838976e-08,5.47442937592408,5.590564081425197e-16,True
s__Bacteroides_xylanisolvens,-0.1202836450826728,0.16348988940304,4.35233026681043,1.5750010881689715e-14,False
s__Bifidobacterium_adolescentis,-0.13737888350384078,0.13236141482488462,5.453604645682006,2.9534068360428817e-13,False
s__Bifidobacterium_longum,-0.08822849355071445,0.37774783459636346,4.9039456426938415,1.0721706971088486e-10,False
s__Blautia_massiliensis,0.046416922607059166,0.5667143096941805,5.805050269239463,8.485292843463974e-12,False
s__Blautia_obeum,-0.10275884344309759,0.14752047422225653,4.771663706909371,1.1755411167750422e-10,False
s__Blautia_wexlerae,-0.2113016480132747,0.062134318952651,4.839350051384218,2.1835810000817787e-10,False
s__Caedimonas_varicaedens,-0.09597232094851588,0.42342957487200833,6.508276590535684,1.143315448220382e-11,False
s__Candidatus_Cibionibacter_quicibialis,-0.13786431089194967,0.1856397093356561,5.494766026195776,3.496899136720633e-11,False
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,-0.8183516324004197,2.3253991325115444e-12,9.143512376089047,1.3956900598646716e-14,True
s__Candidatus_Rickettsiella_isopodorum,-0.6909530593508144,3.836977503400941e-10,4.4214958460247935,9.101697124064826e-14,True
s__Citrobacter_freundii,-0.10313585463637498,0.22979619016150665,4.88300710172799,6.176195487978258e-15,False
s__Cloacibacterium_caeni,-1.2970813299524961,0.0,7.171033457138543,2.0541420795565437e-18,True
s__Collinsella_aerofaciens,-0.07057359456600495,0.43464830987612,5.899628657272388,2.4195118207111763e-14,False
s__Comamonas_denitrificans,-0.28271281703215473,0.0022563609395050317,9.149909366431276,2.8286364244258863e-30,True
s__Dialister_invisus,-0.41102560687361916,4.7292385877745707e-07,4.652149877746137,1.1873059238805359e-14,True
s__Enterococcus_aquimarinus,-0.07268761581325908,0.37774783459636346,5.320559886356416,6.287127105305397e-15,False
s__Escherichia_coli,-0.5619696161333193,2.1254714255292128e-10,8.762237806523414,3.146320684830818e-33,True
s__Eubacterium_rectale,-0.6996243856003952,4.453910924284125e-13,7.1391419687795805,9.891061592654743e-21,True
s__Flavobacterium_sasangense,-0.11139885982478413,0.3002262824001883,2.7979437425231914,1.3222483839888151e-06,False
s__Flavobacterium_sp_9R,-0.31808931834860193,0.00441663665676948,3.506503450995207,2.7463357425059583e-08,True
s__Flavobacterium_sp_GENT5,-0.6247969897065281,4.5274234476117895e-08,13.314033088601809,4.975531899159203e-26,True
s__Fluviibacter_phosphoraccumulans,-1.0551379031432941,0.0,11.209920752630042,8.305787932667678e-19,True
s__Fusicatenibacter_saccharivorans,-0.13320511313731806,0.14039099641547825,4.189154077041844,6.837310882369197e-10,False
s__GGB2275_SGB136518,-0.3350109882865057,0.050512622514043044,3.5228977984014214,7.30515707800144e-06,False
s__GGB23780_SGB65296,-0.5891141061924426,1.0551737661801796e-11,6.527913325329672,2.698536086812441e-30,True
s__GGB24768_SGB36661,-0.11094393012173903,0.15643502955318936,3.211391489083076,1.2070405251083007e-09,False
s__GGB24874_SGB36777,0.19747417559635694,0.049862497593295384,3.369165835368163,0.0008048655727334,True
s__GGB26683_SGB103556,0.18748625203250352,0.034328738730709,2.376880232441724,6.691596832751163e-05,True
s__GGB41936_SGB59041,-0.836992065185574,0.0,8.119102606564413,4.535398212383151e-37,True
s__GGB43468_SGB60787,-1.324186133432197,0.0,4.923631896169168,3.533908685769208e-13,True
s__GGB44099_SGB61482,0.2766582585648886,0.006410321441096569,2.6522014996682715,0.0351975895895439,True
s__GGB44404_SGB88286,0.3230442125247922,0.011697984936583559,2.8202963970739847,0.0010492004545665,True
s__GGB44548_SGB61987,0.009774112375965496,0.9284086827040432,4.980015804605837,3.2106684167367245e-06,False
s__GGB44695_SGB62151,-0.5893417464763063,1.0691537060442917e-08,4.18694966641587,6.878770878995417e-07,True
s__GGB44854_SGB62331,0.1425854090340469,0.11332553477050222,2.112401418875398,0.0466853612391665,False
s__GGB4599_SGB6362,-0.2673779432540626,0.0011878841361758253,4.997283960074173,6.769342134825645e-13,True
s__GGB46509_SGB64370,-0.5146679786488078,0.011968016375156126,3.797061300544501,6.129109124718534e-08,True
s__GGB46510_SGB64371,-0.9999884052928764,0.00011733932830220566,5.291079769622933,2.707258914171098e-10,True
s__GGB46513_SGB64374,0.03517147621347874,0.8373717306540872,3.991061980466101,1.4293898869472492e-06,False
s__GGB46571_SGB64436,0.0526407927120372,0.6043969049602013,2.638999793752003,0.0009331126539156,False
s__GGB51647_SGB4348,0.18419863212409893,0.042989186298121804,2.867373462761721,7.011967434150691e-05,True
s__GGB56727_SGB78161,0.011297404383591007,0.9388776715717781,2.9906252365514048,5.958734493116555e-06,False
s__GGB56729_SGB91086,-1.3977578153154413,0.0,3.85661806141138,1.0056573546846233e-07,True
s__GGB57008_SGB103561,-0.1639677057514836,0.105702430860002,1.7814832707394586,0.0099214594677253,False
s__GGB6612_SGB9346,0.03519318293110167,0.7243613131603595,2.1702714328901687,9.013292796169734e-07,False
s__GGB6613_SGB9347,0.009415729317941926,0.9266028956890691,3.688874156102885,1.2097109577345966e-09,False
s__GGB69498_SGB93685,0.5782151069365887,4.269466706971644e-08,10.268483401757509,5.575391566180311e-15,True
s__GGB75167_SGB103639,-0.035546630274273044,0.8200969914109963,2.333231759250674,0.0178962114552208,False
s__GGB75646_SGB103098,-0.48066775398113065,0.00011398111098861192,4.874060986035273,2.0159800786474643e-11,True
s__GGB75672_SGB103056,0.23766913516445054,0.019120009167496465,3.340711248311747,0.0062255907462639,True
s__GGB75744_SGB102634,-0.6546263081330163,2.1925188881212006e-05,2.8695359591241463,3.8933446624615466e-05,True
s__GGB9758_SGB15368,0.2245490658415328,0.008314968711801742,4.457638829240219,2.000015736467847e-09,True
s__Gemmiger_formicilis,-0.16622255103551675,0.055542333809514836,5.137757975475714,3.3745297656535336e-12,False
s__Klebsiella_huaxiensis,0.14115896452415266,0.11304987436647967,2.6794690918661224,7.30515707800144e-06,False
s__Macellibacteroides_fermentans,-0.4403596244139133,6.609350940002379e-07,7.230679058413308,4.824367076160337e-22,True
s__Mediterraneibacter_faecis,-0.16193768154509758,0.03499461480299367,4.197481987300159,6.383119903667529e-11,True
s__Methanobrevibacter_smithii,-0.03903995966087175,0.6826794003325336,3.836170324881368,6.237988330185827e-07,False
s__Methanothrix_soehngenii,-0.08761161476786118,0.41546519039297575,3.430688754602018,1.8392186931240768e-06,False
s__Moraxella_osloensis,0.09455945447262407,0.3305670271422552,2.2919390595256264,0.0010423575893965,False
s__Moraxellaceae_bacterium_AER2_44_116,0.24291857506659956,0.0005377136116042205,2.9112016244668784,0.0044512653823776,True
s__Nitrospira_sp_ND1,-2.054466894543879,0.0,7.054734751445434,2.356791798854336e-18,True
s__Parabacteroides_distasonis,-0.3914603078701402,6.959048335604745e-08,4.752249036949399,1.915525279404219e-14,True
s__Parabacteroides_merdae,-0.16555288069980176,0.04061389582799187,4.310901335645482,1.0951709646911064e-15,True
s__Phascolarctobacterium_faecium,-0.17926933743487602,0.02489079480796913,3.869666846713239,4.284263820812645e-11,True
s__Phocaeicola_dorei,-0.5183978739716383,1.3300538058838913e-11,5.079882451324704,1.00360188035667e-15,True
s__Phocaeicola_massiliensis,-0.17389757924271593,0.07621278304245326,3.138133802670192,5.917977592693527e-10,False
s__Phocaeicola_paurosaccharolyticus,-0.07438419923406335,0.4241319442685651,6.513039790065248,6.551455760768751e-20,False
s__Phocaeicola_vulgatus,-0.7277623546180932,0.0,5.55903961150905,3.3626073752389063e-16,True
s__Polynucleobacter_yangtzensis,-0.7795554109212572,8.664077685746515e-12,12.032037452852633,2.0106500081698311e-22,True
s__Pseudomonas_alcaligenes,-0.10183925694334582,0.39590499325635137,3.224997215871263,0.0001590411543953,False
s__Pseudomonas_chengduensis,-0.05822220188562829,0.5432738018223837,4.900256919081232,2.785670604565644e-14,False
s__Pseudomonas_fluvialis,-0.04449190496255426,0.6429788992708979,5.732217314336213,4.3600867625520825e-21,False
s__Ralstonia_pickettii,0.12388209702131933,0.31473227808032583,4.131312108853362,6.697072131543359e-05,False
s__Rhizobacter_SGB88459,0.003960666973087894,0.9642927962149825,2.412212340427876,0.0044512653823776,False
s__Rhodoferax_sp_TS_BS_61_7,0.2759666639119325,0.009891677069980715,4.110093121486464,4.623922228960514e-07,True
s__Ruminococcus_bromii,-0.4015820300259857,5.979483640366071e-05,8.194148135441575,2.10728846590569e-18,True
s__Segatella_copri,-0.6321638736789935,0.0,4.958831303018952,3.141721289132642e-18,True
s__Simplicispira_sp_110,0.328755025416778,0.00498498223671266,2.5596589908829506,0.0515472520595525,False
s__Sphaerotilus_montanus,-0.161556159205179,0.175684635361545,3.359944496413038,5.050905187248715e-05,False
s__Streptococcus_suis,0.037817876416203225,0.7551791034722832,2.842390916347959,2.954060061816449e-05,False
s__Streptococcus_thermophilus,-0.06747054205424333,0.6079773136729931,3.776999075263941,5.714559375239824e-08,False
s__Trichococcus_flocculiformis,-0.3299109400876886,0.007081936617599334,4.275900413099075,2.348787245420224e-12,True
s__Uruburuella_suis,0.22744500491277944,0.003455621031072913,3.607541532438196,7.406295015843682e-05,True
s__Zoogloea_ramigera,-0.26493055072673843,0.0008643863050605055,4.545737838142855,3.200111936299205e-15,True
s__beta_proteobacterium_CB,-0.44481739962610534,9.275095292415972e-05,12.482471659275529,5.135327301767402e-27,True
