species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
t__SGB9957,5,-1.0142457020704734,0.07489091031645805,-13.542974678564997,0.0,64.73183259207875,2.9309887850104133e-13,93.82066003722336,-1.1288916206372903,3.529888082789391,0.0,True
c__Actinomycetia,5,-2.9997050604974844,0.1742537817674338,-17.214576522080954,0.0,344.9294947857196,0.0,98.84034271917369,-4.572578360085936,5.738860349135677,0.0,True
c__Alphaproteobacteria,5,-3.1778019641005795,0.18987092424197027,-16.736643468648257,0.0,366.7870410728854,0.0,98.909448930284,-5.047709680856959,4.947609572802164,0.0,True
t__SGB59041,5,-0.836992065185574,0.08256686335500114,-10.137142567556149,0.0,56.259579494255604,1.7689849585167394e-11,92.89009971998027,-1.0466282053456606,4.5611339366657395,0.0,True
t__SGB60787,5,-1.324186133432197,0.1110401758317218,-11.925288513942585,0.0,109.6139967311676,0.0,96.3508309893944,-4.229487119346098,2.5576699909592167,0.0,True
f__Comamonadaceae,5,-2.9758992620840075,0.17917179640287897,-16.6091947607229,0.0,484.1582281391493,0.0,99.17382381058071,-5.1750024874699125,5.6017288308649285,0.0,True
s__Fluviibacter_phosphoraccumulans,5,-1.0551379031432941,0.07428295879429471,-14.20430634790942,0.0,124.0100854410006,0.0,96.77445589544162,-2.000788284029256,7.515272980462942,0.0,True
p__Actinobacteria,5,-2.7967780372694993,0.19933575670684675,-14.030488475695721,0.0,450.15336876151804,0.0,99.11141395853484,-5.446656424068922,5.590743237543612,0.0,True
c__CFGB39929,5,-0.836992065185574,0.08256686335500114,-10.137142567556149,0.0,56.259579494255604,1.7689849585167394e-11,92.89009971998027,-1.0466282053456606,4.5611339366657395,0.0,True
s__GGB56729_SGB91086,5,-1.3977578153154413,0.0976687286853132,-14.31121131738072,0.0,69.69567011205588,2.631228568361621e-14,94.26076255014286,-1.853851667190564,1.9674591316983105,0.0,True
s__Aliarcobacter_cryaerophilus,5,0.8247317546722227,0.09914372413502562,8.318547259219411,0.0,1356.349262181189,0.0,99.70509070845311,-1.9340761133598627,6.311699723495886,0.0,True
s__Bacteroides_graminisolvens,5,-0.9668514065948475,0.10532763196933295,-9.179465905740239,0.0,148.31566560594155,0.0,97.30304955740309,-1.3648566350247673,6.021170334055094,0.0,True
s__GGB41936_SGB59041,5,-0.836992065185574,0.08256686335500114,-10.137142567556149,0.0,56.259579494255604,1.7689849585167394e-11,92.89009971998027,-1.0466282053456606,4.5611339366657395,0.0,True
s__GGB43468_SGB60787,5,-1.324186133432197,0.1110401758317218,-11.925288513942585,0.0,109.6139967311676,0.0,96.3508309893944,-4.229487119346098,2.5576699909592167,0.0,True
s__Cloacibacterium_caeni,5,-1.2970813299524961,0.09468156649362508,-13.699407160102583,0.0,86.85873239297514,0.0,95.39482111953605,-1.5587913397928248,2.644051876885716,0.0,True
s__Segatella_copri,5,-0.6321638736789935,0.07311971406502023,-8.645601008735545,0.0,30.995757812235635,3.06750176604087e-06,87.09500821295941,-0.7024643218065063,2.578006343573781,0.0,True
f__Fluviibacteraceae,5,-1.0551379031432941,0.07428295879429471,-14.20430634790942,0.0,124.0100854410006,0.0,96.77445589544162,-2.000788284029256,7.515272980462942,0.0,True
f__Methylophilaceae,5,-2.590571853406233,0.10139589494468278,-25.549080214929187,0.0,200.52175016120316,0.0,98.00520392586624,-6.042607212383519,5.00494921292095,0.0,True
f__Microbacteriaceae,5,-1.1694097253741214,0.10996046138356255,-10.63482010406452,0.0,79.98943107222536,2.220446049250313e-16,94.99933935473518,-2.4881790588422152,5.498037595254304,0.0,True
f__Nitrosomonadaceae,5,-1.7950815275088476,0.1941756506351603,-9.244627334256522,0.0,97.3875065148287,0.0,95.89269697608394,-4.741167696012791,3.1862682838201586,0.0,True
f__Pseudomonadaceae,5,-1.1589126732824242,0.08760184795366868,-13.2293176497299,0.0,121.34165415143453,0.0,96.70352276967644,-1.495230561823998,7.5251277693388765,0.0,True
f__Prevotellaceae,5,-1.0520855320893454,0.07518710487555745,-13.992898567256411,0.0,138.08011414038705,0.0,97.1031310157137,-1.297397749929055,2.8986028845071674,0.0,True
s__Nitrospira_sp_ND1,5,-2.054466894543879,0.15345783989150588,-13.387826232901359,0.0,119.60981693401168,0.0,96.65579289181022,-4.406711756114921,3.714478190110399,0.0,True
o__OFGB43468,5,-1.324186133432197,0.1110401758317218,-11.925288513942585,0.0,109.6139967311676,0.0,96.3508309893944,-4.229487119346098,2.5576699909592167,0.0,True
s__Acinetobacter_bohemicus,5,-1.0533662099316445,0.11193079762604533,-9.410870218676395,0.0,43.40711027368168,8.518431515724956e-09,90.7849198558024,-2.5166272704988133,1.8394579256437127,0.0,True
s__Acinetobacter_johnsonii,5,-1.789089431412788,0.20585472294196325,-8.691029313508572,0.0,83.39261395940827,0.0,95.20341213677867,-2.9728670620037256,1.2971843137356291,0.0,True
s__Aeromonas_media,5,-1.0953666907735147,0.07961995428371765,-13.75743933323908,0.0,69.43017869333934,2.9976021664879227e-14,94.23881649841738,-1.2249102757790393,4.191017145915601,0.0,True
f__FGB39929,5,-0.836992065185574,0.08256686335500114,-10.137142567556149,0.0,56.259579494255604,1.7689849585167394e-11,92.89009971998027,-1.0466282053456606,4.5611339366657395,0.0,True
f__FGB43468,5,-1.324186133432197,0.1110401758317218,-11.925288513942585,0.0,109.6139967311676,0.0,96.3508309893944,-4.229487119346098,2.5576699909592167,0.0,True
p__Verrucomicrobia,5,-2.0055671388201235,0.10093628053368138,-19.869635855572138,0.0,123.68970629198792,0.0,96.76610114138569,-2.310518653408104,3.885634270644749,0.0,True
s__Acidovorax_temperans,5,-1.255613885490702,0.09724399339395742,-12.911994269958926,0.0,167.86294049508922,0.0,97.61710357974039,-1.689258465282859,3.741565223153171,0.0,True
p__Ignavibacteriae,5,-2.3591455520206486,0.11179863545827949,-21.10173833830936,0.0,150.4821843240275,0.0,97.34187803163,-5.766937019460204,2.742633644854968,0.0,True
s__Phocaeicola_vulgatus,5,-0.7277623546180932,0.07722958795202209,-9.42336187356336,0.0,32.6172429472914,1.4305998227159833e-06,87.73654779325189,-0.8116036234207418,2.550925311793085,0.0,True
t__SGB1814,5,-0.7277623546180932,0.07722958795202209,-9.42336187356336,0.0,32.6172429472914,1.4305998227159833e-06,87.73654779325189,-0.8116036234207418,2.550925311793085,0.0,True
g__Limnohabitans,5,-2.5227264605411563,0.11001804785031617,-22.93011473875108,0.0,268.0602588377629,0.0,98.50779820278362,-6.034481417055763,8.803216649022257,0.0,True
g__Lachnospiraceae_unclassified,5,-0.7979370254743846,0.0931864515223147,-8.562800841099827,0.0,64.96174363489966,2.6212365611399946e-13,93.84252980880417,-1.7081490267730313,5.023646972238534,0.0,True
g__Polynucleobacter,5,-2.8420278721956707,0.11172955869168928,-25.436669628652776,0.0,243.92689434079455,0.0,98.36016442106153,-5.502188250661301,7.23101720485429,0.0,True
g__Segatella,5,-0.6512018689257555,0.07315051265932405,-8.902218798636824,0.0,31.584859693063443,2.325671679903607e-06,87.33570438852237,-0.7214636116064848,2.581238720583366,0.0,True
g__Rhodoferax,5,-0.6415360666921767,0.07483480414339727,-8.57269654187743,0.0,27.48859702329401,1.583255895065694e-05,85.44851162607398,-1.8279783529578326,2.011962084337659,0.0,True
g__Pseudomonas,5,-0.9656477740147184,0.08466641399837442,-11.405322706040893,0.0,111.08297153915989,0.0,96.39908804691105,-1.1255326852243315,6.642257834127675,0.0,True
g__Aeromonas,5,-1.0845412531503935,0.11159878292357707,-9.718217571360865,0.0,213.8235284281971,0.0,98.12929847832756,-1.6823693721705302,4.496677276252727,0.0,True
g__GGB43468,5,-1.324186133432197,0.1110401758317218,-11.925288513942585,0.0,109.6139967311676,0.0,96.3508309893944,-4.229487119346098,2.5576699909592167,0.0,True
g__GGB56729,5,-1.3977578153154413,0.0976687286853132,-14.31121131738072,0.0,69.69567011205588,2.631228568361621e-14,94.26076255014286,-1.853851667190564,1.9674591316983105,0.0,True
t__SGB12690,5,-1.255613885490702,0.09724399339395742,-12.911994269958926,0.0,167.86294049508922,0.0,97.61710357974039,-1.689258465282859,3.741565223153171,0.0,True
g__GGB41936,5,-0.836992065185574,0.08256686335500114,-10.137142567556149,0.0,56.259579494255604,1.7689849585167394e-11,92.89009971998027,-1.0466282053456606,4.5611339366657395,0.0,True
o__OFGB39929,5,-0.836992065185574,0.08256686335500114,-10.137142567556149,0.0,56.259579494255604,1.7689849585167394e-11,92.89009971998027,-1.0466282053456606,4.5611339366657395,0.0,True
o__Neisseriales,5,-0.9002386443356237,0.08722720531506362,-10.320617760066629,0.0,226.05432343634033,0.0,98.230513825529,-1.2826072664532124,5.03838875547674,0.0,True
g__Sphingorhabdus,5,-0.9292474281877234,0.10301719045232224,-9.020314222389823,0.0,87.49444281581626,0.0,95.4282810756103,-2.884492996235156,7.863824849371944,0.0,True
o__Betaproteobacteria_unclassified,5,-1.1959774261616503,0.13532936965026812,-8.837530458114276,0.0,81.31541877312937,1.1102230246251565e-16,95.08088372371293,-3.188224151142057,6.877664581720316,0.0,True
o__Burkholderiales,5,-3.2636850996813043,0.18167173949132934,-17.964737436980784,0.0,539.550853096479,0.0,99.25864263265566,-5.615659561230636,5.383065787040429,0.0,True
o__Corynebacteriales,5,-0.9728850579219137,0.10601533798889663,-9.17683305432472,0.0,42.09527111315,1.5940063269326288e-08,90.49774500977034,-1.1593210261331932,4.617174900598069,0.0,True
o__Caulobacterales,5,-1.2962205542126126,0.10078894959468605,-12.86074077986972,0.0,53.376131883325954,7.109068889121772e-11,92.50601372024572,-2.2532631227723012,1.993009810195225,0.0,True
t__SGB10392,5,-1.0533662099316445,0.11193079762604533,-9.410870218676395,0.0,43.40711027368168,8.518431515724956e-09,90.7849198558024,-2.5166272704988133,1.8394579256437127,0.0,True
