species,n_cohorts,mean_abundance,global_prevalence
o__OFGB7729,5,57.30443533123027,28.075709779179807
o__Sphingobacteriales,5,37.175315457413255,22.397476340694006
g__Acinetobacter,5,570.820694006309,36.27760252365931
g__Flavobacterium,5,482.5291861198738,48.89589905362776
f__Zoogloeaceae,5,59.91795268138801,31.545741324921135
f__Sphingobacteriaceae,5,5.6277034700315465,22.082018927444793
k__Archaea,5,143.87101261829653,29.652996845425868
c__Betaproteobacteria,5,1684.7292586750789,63.09148264984227
k__Bacteria,5,9161.566217665615,93.05993690851734
f__Nitrospiraceae,5,568.5233249211358,36.27760252365931
f__Moraxellaceae,5,591.932047318612,40.063091482649845
f__Flavobacteriaceae,5,517.6091735015772,49.8422712933754
o__Chitinophagales,5,1057.315283911672,51.73501577287066
f__FGB7729,5,57.30443533123027,28.075709779179807
o__Flavobacteriales,5,541.2834668769716,52.99684542586751
o__Moraxellales,5,591.932047318612,40.063091482649845
o__Nitrosomonadales,5,481.13093690851736,49.8422712933754
o__Nitrospirales,5,568.5233249211358,36.27760252365931
o__Rhodocyclales,5,128.5298233438486,39.11671924290221
p__Acidobacteria,5,28.65797476340694,29.652996845425868
f__Chitinophagaceae,5,1057.315283911672,51.73501577287066
p__Bacteroidota,5,3169.457744479495,81.38801261829653
p__Chloroflexi,5,46.53241009463723,26.498422712933756
p__Firmicutes,5,346.66497476340703,38.170347003154575
p__Nitrospirae,5,587.3077066246057,36.27760252365931
p__Proteobacteria,5,3536.7333690851738,72.87066246056783
c__CFGB7729,5,57.30443533123027,28.075709779179807
c__Sphingobacteriia,5,37.175315457413255,22.397476340694006
c__Nitrospira,5,568.5233249211358,36.27760252365931
c__Gammaproteobacteria,5,888.857662460568,58.0441640378549
c__Flavobacteriia,5,545.222668769716,52.99684542586751
c__Chitinophagia,5,1057.315283911672,51.73501577287066
t__SGB91086,4,16.37599684542587,20.50473186119874
s__GGB2275_SGB136518,4,3.0101104100946374,16.08832807570978
s__Fluviibacter_phosphoraccumulans,4,50.91371924290221,20.50473186119874
c__Cyanobacteria_unclassified,4,149.50686750788645,20.50473186119874
c__Cytophagia,4,66.30652996845427,20.82018927444795
c__Deltaproteobacteria,4,14.549656151419557,25.86750788643533
c__Epsilonproteobacteria,4,252.0055141955836,26.498422712933756
s__GGB56729_SGB91086,4,16.37599684542587,20.50473186119874
s__Cloacibacterium_caeni,4,14.990690851735014,22.397476340694006
s__GGB75167_SGB103639,4,14.988599369085176,11.35646687697161
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,4,31.237719242902212,18.61198738170347
c__Methanomicrobia,4,33.02179810725552,20.82018927444795
s__Acinetobacter_johnsonii,4,451.85288643533124,31.230283911671926
s__GGB75646_SGB103098,4,10.27868138801262,15.772870662460567
s__Acinetobacter_bohemicus,4,71.32625867507886,15.772870662460567
s__Acidovorax_temperans,4,24.99169400630915,25.236593059936908
s__GGB75744_SGB102634,4,29.2191356466877,14.195583596214512
s__Acidovorax_sp_210_6,4,8.542353312302838,13.880126182965299
p__Verrucomicrobia,4,29.447353312302837,31.545741324921135
s__Nitrospira_sp_ND1,4,506.15567192429023,24.605678233438486
p__Planctomycetota,4,9.333362776025236,23.02839116719243
f__Aeromonadaceae,4,51.82568454258675,23.974763406940063
f__Aestuariivirgaceae,4,23.61803470031546,26.498422712933756
t__SGB102634,4,29.2191356466877,14.195583596214512
t__SGB103098,4,10.27868138801262,15.772870662460567
f__Arcobacteraceae,4,249.73017665615146,25.86750788643533
f__Azonexaceae,4,3.3506403785488956,22.397476340694006
f__Bacteroidaceae,4,64.88301577287065,25.86750788643533
f__Betaproteobacteria_unclassified,4,30.67758044164038,23.65930599369085
p__Euryarchaeota,4,54.219359621451105,24.290220820189273
f__Burkholderiaceae,4,445.35731230283915,33.12302839116719
f__Burkholderiales_unclassified,4,24.42978548895899,23.02839116719243
p__Cyanobacteria,4,224.22638485804418,20.82018927444795
c__CFGB46549,4,30.08132176656152,21.766561514195583
p__Candidatus_Saccharibacteria,4,79.73344794952682,28.391167192429023
t__SGB103639,4,14.988599369085176,11.35646687697161
p__Actinobacteria,4,748.1709148264985,49.21135646687697
f__Caulobacteraceae,4,14.26746687697161,18.61198738170347
c__CFGB42772,4,29.2191356466877,14.195583596214512
f__Chromobacteriaceae,4,5.249296529968453,17.981072555205046
t__SGB10392,4,71.32625867507886,15.772870662460567
f__Comamonadaceae,4,542.0241766561514,46.37223974763407
o__Xanthomonadales,4,49.82789905362776,25.55205047318612
o__Sphingomonadales,4,62.75028706624606,39.11671924290221
o__Rickettsiales,4,43.01006624605679,19.873817034700316
t__SGB10398,4,451.85288643533124,31.230283911671926
o__Rhodobacterales,4,5.210892744479495,17.665615141955836
o__Pseudomonadales,4,76.33565930599369,22.082018927444793
g__Aliarcobacter,4,235.4757823343848,25.236593059936908
o__OFGB46549,4,30.08132176656152,21.766561514195583
o__OFGB42772,4,29.2191356466877,14.195583596214512
o__OFGB32740,4,6.842946372239747,13.564668769716087
o__OFGB24175,4,37.79926813880126,17.350157728706623
f__FGB14846,4,2.4729779179810727,12.933753943217665
o__OFGB14846,4,2.4729779179810727,12.933753943217665
t__SGB12690,4,24.99169400630915,25.236593059936908
t__SGB136518,4,3.0101104100946374,16.08832807570978
o__Neisseriales,4,8.740293375394321,22.397476340694006
f__FGB24175,4,37.79926813880126,17.350157728706623
f__FGB32740,4,6.842946372239747,13.564668769716087
t__SGB2534,4,14.990690851735014,22.397476340694006
o__Micrococcales,4,59.46081072555205,29.652996845425868
o__Methanotrichales,4,8.4227476340694,17.350157728706623
o__Legionellales,4,9.045031545741324,16.40378548895899
o__Lactobacillales,4,65.73268769716087,23.974763406940063
o__Hyphomicrobiales,4,51.680962145110406,37.53943217665615
f__FGB42772,4,29.2191356466877,14.195583596214512
t__SGB45716,4,31.237719242902212,18.61198738170347
f__FGB46549,4,30.08132176656152,21.766561514195583
o__Enterobacterales,4,35.45105362776025,19.242902208201894
o__Cytophagales,4,66.30652996845427,20.82018927444795
o__Corynebacteriales,4,8.90876971608833,19.558359621451103
c__CFGB32740,4,6.842946372239747,13.564668769716087
c__CFGB24175,4,37.79926813880126,17.350157728706623
o__Caulobacterales,4,14.26746687697161,18.61198738170347
o__Campylobacterales,4,252.0055141955836,26.498422712933756
t__SGB61892,4,8.542353312302838,13.880126182965299
f__Fluviibacteraceae,4,50.91371924290221,20.50473186119874
f__Gallionellaceae,4,4.948091482649842,11.041009463722396
o__Burkholderiales,4,1034.7449558359622,47.3186119873817
f__Ilumatobacteraceae,4,9.106012618296528,11.67192429022082
f__Lachnospiraceae,4,72.65131230283912,21.766561514195583
o__Betaproteobacteria_unclassified,4,31.583315457413246,24.605678233438486
o__Bacteroidales,4,107.77491482649842,29.02208201892745
f__Methanotrichaceae,4,8.4227476340694,17.350157728706623
o__Aeromonadales,4,53.00444794952681,25.236593059936908
f__Microbacteriaceae,4,25.785025236593057,22.397476340694006
t__SGB64371,4,40.52843533123028,24.605678233438486
f__Mycobacteriaceae,4,4.346347003154573,15.772870662460567
f__Neisseriaceae,4,3.4909873817034707,16.40378548895899
o__Acidimicrobiales,4,13.827271293375393,14.511041009463725
f__Nitrosomonadaceae,4,367.933690851735,25.236593059936908
t__SGB80957,4,50.91371924290221,20.50473186119874
f__Oxalobacteraceae,4,5.008299684542586,19.873817034700316
c__CFGB14846,4,2.4729779179810727,12.933753943217665
c__Bacteroidia,4,108.40490220820189,29.02208201892745
g__Zoogloea,4,9.133517350157728,17.665615141955836
f__Prevotellaceae,4,15.464075709779182,21.766561514195583
f__Pseudomonadaceae,4,76.33565930599369,22.082018927444793
g__Sphingorhabdus,4,34.87570662460568,19.558359621451103
f__Rhodocyclaceae,4,14.347526813880126,18.92744479495268
f__Rickettsiaceae,4,34.18325867507887,18.61198738170347
g__Simplicispira,4,15.30461829652997,17.665615141955836
g__Rhodoferax,4,32.780015772870655,17.665615141955836
g__Ralstonia,4,30.121466876971603,9.46372239747634
g__Pseudomonas,4,65.58202839116719,19.242902208201894
t__SGB9016,4,506.15567192429023,24.605678233438486
f__Sphingomonadaceae,4,50.281113564668765,32.49211356466877
