species,pooled_effect,p_adjusted,effect_size_lec03,p_adjusted_lec03,both_significant
s__Acetoanaerobium_noterae,-0.37370992624032395,7.234521797984593e-06,6.0857431112793465,4.188109644721295e-12,True
s__Acetobacterium_fimetarium,0.5289380290236689,4.677255939384145e-11,1.8641913147189595,0.0274967293018721,True
s__Acidaminococcus_intestini,0.39859798440440664,5.348341204866505e-07,2.2510978018886822,0.004412370226529,True
s__Acidovorax_sp_1608163,-0.14661862395316996,0.17965562625327025,6.359721034688704,2.7350380792295754e-06,False
s__Acidovorax_sp_210_6,-0.4387574318649869,3.796773186210967e-05,3.392091072318672,0.0597538619240455,False
s__Acidovorax_sp_BoFeN1,-1.3985059552230685,0.0,6.410944471491899,1.4113351453779446e-11,True
s__Acidovorax_sp_KKS102,-0.25675400423211675,0.014398689939229185,2.484417779286145,0.0291873581582496,True
s__Acidovorax_temperans,-2.474088543473306,0.0,8.240675081123037,2.1110240116739074e-09,True
s__Acinetobacter_bohemicus,-1.0900084301853903,0.0,5.749098806802351,1.0122289100934179e-09,True
s__Acinetobacter_bouvetii,0.3552083351347482,1.3279635785679034e-05,3.114083909359712,0.0016502399553587,True
s__Acinetobacter_johnsonii,-1.372487663880101,7.854368148240998e-10,6.940482846873956,4.276425015094133e-11,True
s__Acinetobacter_parvus,0.1533158594301495,0.1038263025501308,3.1435875256627126,0.0006419829752158,False
s__Acinetobacter_sp_WCHAc010034,0.3003259684458211,0.0005226358006927485,3.675214519689155,6.138512002898967e-06,True
s__Acinetobacter_towneri,0.4697918974450307,5.9227664808955444e-09,2.863359441962614,0.0021685182097514,True
s__Aeromonas_caviae,-0.620852367021652,1.4524304089533068e-13,6.695696064639747,6.1011113907627905e-12,True
s__Aeromonas_media,-1.9011688359732788,0.0,8.175643678366182,5.562356010267342e-13,True
s__Aeromonas_salmonicida,-0.5821825966717162,1.0196538866227422e-07,3.8386031888669576,6.942344249961742e-09,True
s__Aeromonas_veronii,0.4409136867769483,6.090345155593626e-06,2.312454957134852,0.0054665388146805,True
s__Akkermansia_muciniphila,-0.5822997343192853,2.1057551837499056e-13,4.0551198472779735,8.149093618987874e-09,True
s__Aliarcobacter_butzleri,-0.3799374855871279,9.216366182612066e-05,3.4366316143632463,3.404148023124774e-06,True
s__Aliarcobacter_cryaerophilus,2.8321793858097455,0.0,11.416184293367794,6.466012715172312e-21,True
s__Alistipes_putredinis,-0.8604034698664434,0.0,4.3993669911315125,6.4397145729790155e-09,True
s__Arcobacter_caeni,-0.5650805096604968,1.1370381429647359e-10,5.077586581010027,8.680801030027292e-13,True
s__Arcobacter_suis,-0.5759430030871288,5.061899625326942e-10,5.590990120400797,1.09861787720549e-14,True
s__Aurantimicrobium_photophilum,-0.20230940828938848,0.06274626188366694,10.527887168183954,6.931226469318406e-16,False
s__Azonexus_hydrophilus,-0.21630613790437508,0.005660542764674572,5.979565334373167,2.153302131764079e-12,True
s__Azospira_oryzae,0.07680397809357592,0.45448318782761554,3.069167853582988,0.0003644159913678,False
s__Bacteroides_caccae,-0.38419824437698846,3.0452594787373664e-06,3.477764586815958,3.602650057923404e-07,True
s__Bacteroides_cellulosilyticus,-0.06159356152722934,0.4719576221139324,2.842111995901557,9.94271971714106e-06,False
s__Bacteroides_faecis,0.40059934801218405,9.312797056182377e-08,2.097688492151596,0.029850492911063,True
s__Bacteroides_graminisolvens,-1.8068627330440974,0.0,9.66938209312207,1.108043353034173e-20,True
s__Bacteroides_ovatus,-0.5400644238901483,6.572559090864757e-11,3.9468650966573824,2.89122541876846e-08,True
s__Bacteroides_stercoris,-0.19786242037222362,0.03352523378426769,5.135761541945408,1.0758117789668333e-07,True
s__Bacteroides_thetaiotaomicron,-0.2395936096015476,0.002615955257280974,2.9335806526810124,9.009055619996637e-06,True
s__Bacteroides_uniformis,-1.2802424497534834,0.0,5.326131941476827,2.1269902967001542e-08,True
s__Bacteroides_xylanisolvens,-0.13433429900054414,0.1038263025501308,4.254814926743462,1.1805139361450963e-07,False
s__Bifidobacterium_adolescentis,-0.2066007962232598,0.014827278786411923,5.262380094960816,3.1107164921912156e-09,True
s__Bifidobacterium_longum,-0.2372115258845393,0.008888667879397042,4.712721091972652,4.303188510792623e-07,True
s__Bifidobacterium_pseudocatenulatum,0.5974224653202539,6.5677193413501144e-15,2.2887399323578355,0.0049161949162785,True
s__Blautia_massiliensis,-0.01140292351511764,0.9219083649151063,5.494702474168211,3.1703355175791893e-07,False
s__Blautia_obeum,-0.23944466196289463,0.0030278501405461575,4.580439156188181,1.6156641440860456e-06,True
s__Blautia_wexlerae,-0.6275385675712468,1.645803493488529e-10,4.648125500663028,1.3676749435852914e-05,True
s__Caedimonas_varicaedens,-0.045040032750694646,0.7051601740881306,6.51827171069393,3.764924786042492e-06,False
s__Candidatus_Cibionibacter_quicibialis,-0.3291956694623178,0.00031874753758297936,5.303541475474586,2.22667487606755e-07,True
s__Candidatus_Gastranaerophilales_bacterium,0.19274895606736137,0.02045326518788996,2.9158757274942166,0.0001951931286313,True
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,-1.5887317960701073,0.0,9.237013596415494,2.5102279333322885e-05,True
s__Candidatus_Rickettsiella_isopodorum,-0.9197005217187239,0.0,4.244061126510304,3.24796157951987e-06,True
s__Citrobacter_braakii,0.23579878125418405,0.004307178386536689,2.7271100576927987,0.0001505348159106,True
s__Citrobacter_freundii,-0.05534359799386418,0.5176413438760099,4.691782551006801,5.1780915272569235e-08,False
s__Citrobacter_portucalensis,0.4275548287491301,1.347650945837664e-07,3.5571778415445845,7.096340426725184e-06,True
s__Cloacibacterium_caeni,-2.186950786106175,0.0,6.578062563094835,1.2276801649945675e-05,True
s__Collinsella_aerofaciens,-0.1422865891909686,0.1038263025501308,5.7084041065512,1.0925299989686666e-09,False
s__Comamonas_denitrificans,-0.6243686443669526,2.4795946546030123e-10,8.870424231537084,4.2069923441014574e-18,True
s__Dechloromonas_agitata,0.33572522673357663,2.2690872582778536e-05,1.7033206690940743,0.2649128146992635,False
s__Dechloromonas_sp_H13,0.5904015910096881,3.36407524059723e-11,4.846237131243667,1.3854753590227364e-07,True
s__Desulfovibrio_desulfuricans,0.23415408348074393,0.004599049326786361,3.826498371757484,3.5742877635404864e-08,True
s__Desulfovibrio_sp_86,0.07661076555134404,0.38481238517301625,2.800359605027169,3.8562101994285e-06,False
s__Dialister_invisus,-0.5282947899510586,3.929856440265667e-12,4.460925327024947,2.780955547156754e-09,True
s__Dorea_formicigenerans,0.1717806141845018,0.04138295716413037,3.6019398893411845,2.1684870805485643e-05,True
s__Enterococcus_aquimarinus,-0.12651266752642068,0.13679746850046004,5.129335335635227,8.95677817458625e-10,False
s__Escherichia_coli,-0.7901810318334297,0.0,8.571013255802225,2.896693274704555e-21,True
s__Eubacterium_rectale,-1.425239130094178,0.0,6.921762614836019,3.8198595159264196e-11,True
s__Flavobacterium_sasangense,-0.09567228459133402,0.3947822356482264,2.72650374037371,0.0035324261743503,False
s__Flavobacterium_sp_9R,-0.5081806589515021,3.3742668727921676e-07,3.1672019008037533,0.0011398594709104,True
s__Flavobacterium_sp_GENT5,-0.823227992666569,1.033728076959884e-14,13.62438088367306,1.7164018463363225e-14,True
s__Fluviibacter_phosphoraccumulans,-1.7761391902019712,0.0,11.23852123741266,2.4286931751129338e-08,True
s__Fusicatenibacter_saccharivorans,-0.34327765430465607,0.00015157755731730788,3.997929526320656,4.644111727506459e-06,True
s__GGB2275_SGB136518,-0.2911991568717544,0.14842328054678836,3.425382458334453,2.583231007969087e-05,False
s__GGB23780_SGB65296,-0.8275958595152827,0.0,6.657462614271734,1.475854789783231e-17,True
s__GGB24768_SGB36661,-0.128343457944498,0.13334585736648183,3.232999393366171,9.758206743519592e-06,False
s__GGB24874_SGB36777,0.6248580024758726,5.809560482956557e-15,3.466681175435131,0.0027790657456874,True
s__GGB26683_SGB103556,0.48179872918215355,1.9912393505290217e-09,2.496003476791788,0.0085037608541677,True
s__GGB2734_SGB3677,0.5496636956400358,9.352105047824164e-09,2.810519895101728,0.0216713079453749,True
s__GGB41936_SGB59041,-1.267221084016281,0.0,8.238225850914475,1.3417019218235886e-19,True
