species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
o__Veillonellales,5,-0.6743577211804306,0.07616724892181932,-8.853644193879374,0.0,25.561952866067585,3.8776843316323806e-05,84.35174330788384,-0.8795220400563163,1.9041389206264188,0.0,True
o__Verrucomicrobiales,5,-0.8806313188239103,0.10114650356028138,-8.70649293674369,0.0,21.91216108191777,0.00020865246016776862,81.74529666404808,-1.0548108674987096,1.1580835508811984,0.0,True
o__Xanthomonadales,5,-2.5709537908472253,0.10531135849290346,-24.41288221555391,0.0,100.20139323168632,0.0,96.0080395381817,-2.8825543049010087,3.57133449068272,0.0,True
p__Actinobacteria,5,-8.774671359960102,0.10616780775581883,-82.64907739398228,0.0,688.2202828199768,0.0,99.41879074188135,-9.596411097795174,2.3252076340639736,0.0,True
p__Cyanobacteria,5,-2.5671997776085527,0.10787038608452008,-23.79893009372438,0.0,67.1608339605772,9.015010959956271e-14,94.04414781039205,-4.728298282409875,2.2303780376838556,0.0,True
c__CFGB7461,5,-0.8352998724815346,0.07963610223484643,-10.488959768752114,0.0,54.305264596061406,4.542355380721119e-11,92.63423163526929,-3.171367810094909,3.7440269792821224,0.0,True
o__Enterobacterales,5,-1.756837104213893,0.1016699999451552,-17.27979841803482,0.0,169.28584698842295,0.0,97.63713265393442,-2.100862716563042,6.637011353496507,0.0,True
o__Hyphomicrobiales,5,-4.568490582180175,0.10694074766226269,-42.719830205491505,0.0,211.04986763341523,0.0,98.10471333393687,-4.982279284468157,2.5669143021646335,0.0,True
f__Arcobacteraceae,5,2.842871721879204,0.1471870061879826,19.314692210319013,0.0,380.28786435905624,0.0,98.94816522563988,-3.4039260060494714,4.97304043676065,0.0,True
c__Verrucomicrobiae,5,-0.8806313188239103,0.10114650356028138,-8.70649293674369,0.0,21.91216108191777,0.00020865246016776862,81.74529666404808,-1.0548108674987096,1.1580835508811984,0.0,True
f__Acidaminococcaceae,5,-0.7799780611631459,0.07712766075168467,-10.112818845554177,0.0,32.605067504714775,1.4388292413070047e-06,87.73196835301265,-0.9256700749136736,4.2592995168524235,0.0,True
f__Aestuariivirgaceae,5,-2.248167348795394,0.10678635310369372,-21.052946218814455,0.0,58.266530988622996,6.708522626297508e-12,93.13499545600024,-3.587459240179963,1.5230521803851385,0.0,True
f__Betaproteobacteria_unclassified,5,-2.438326988607221,0.10636596760136058,-22.923939335047532,0.0,92.8519885079574,0.0,95.69206856603056,-3.820060006312743,6.209634515930634,0.0,True
f__Azonexaceae,5,-1.3770387907158101,0.10240855927978633,-13.44652049008577,0.0,65.42157852211251,2.0972112935169207e-13,93.8858094066807,-1.6582353451171818,2.677142101396025,0.0,True
f__Burkholderiaceae,5,-5.388707030499585,0.10761004669357112,-50.07624470087252,0.0,260.3818471645404,0.0,98.46379459875621,-5.710362004939123,4.53344953441705,0.0,True
f__Bifidobacteriaceae,5,-0.7955409459235715,0.08767993184270276,-9.07323864428598,0.0,64.57742028994127,3.1585845050585704e-13,93.80588449950353,-0.9094240361433242,5.583396746214105,0.0,True
t__SGB1588,5,0.8491744392745777,0.0788476033916291,10.769819281085857,0.0,43.682896557428805,7.466261053856726e-09,90.84309806530045,-2.9712212535982756,1.1436357535356767,0.0,True
t__SGB4933,5,-1.425239130094178,0.09741268317387292,-14.6309400753314,0.0,49.657173759496956,4.257771912818953e-10,91.94476910954886,-2.015135857135246,2.998200564822096,0.0,True
f__Burkholderiales_unclassified,5,-1.8980822576290486,0.10622537052686722,-17.868445628523116,0.0,50.53352018154462,2.7937785418430394e-10,92.08446198556965,-2.102960427675985,2.568111443860966,0.0,True
f__Candidatus_Chazhemtobacteraceae,5,0.9046939805558905,0.07925312712549186,11.415246481358016,0.0,38.65076919033254,8.224904834985836e-08,89.65091747514175,-2.768525650367603,1.1828132751724039,0.0,True
f__Carnobacteriaceae,5,-1.3614379561892311,0.10038501750406911,-13.562162860947303,0.0,37.05364892940281,1.7560383247516853e-07,89.20484185613925,-1.5493832014648252,2.9908200480897724,0.0,True
f__Caulobacteraceae,5,-1.9127234780376068,0.0968316443302676,-19.75308269591915,0.0,56.764365065800334,1.3863021841586942e-11,92.95332556725815,-3.031459084840502,1.2310896209635864,0.0,True
t__SGB80957,5,-1.7761391902019712,0.10528573431443532,-16.869704160466227,0.0,127.39945849463166,0.0,96.86026922934798,-2.6995630835482256,6.800222408107412,0.0,True
t__SGB45716,5,-1.5887317960701073,0.10459720230720072,-15.189046752933422,0.0,196.51309081953085,0.0,97.96451219441995,-2.897331656707324,4.477145934209761,0.0,True
t__SGB59041,5,-1.267221084016281,0.07978385691708278,-15.883176534487042,0.0,57.581418376084194,9.341860618405917e-12,93.0533145712483,-1.5777047091880045,4.024685800462429,0.0,True
t__SGB12690,5,-2.474088543473306,0.10292575157622243,-24.03760483246121,0.0,190.58037397348787,0.0,97.90114799514642,-3.001849495507551,2.7477398973257317,0.0,True
o__Bifidobacteriales,5,-0.7955409459235715,0.08767993184270276,-9.07323864428598,0.0,64.57742028994127,3.1585845050585704e-13,93.80588449950353,-0.9094240361433242,5.583396746214105,0.0,True
o__Betaproteobacteria_unclassified,5,-2.63934387799135,0.10661867336123426,-24.75498704667803,0.0,98.9828614549619,0.0,95.9588963774097,-4.031654285318812,6.017958674706998,0.0,True
g__Zoogloea,5,-0.945154018800936,0.10021829252514922,-9.430953122293067,0.0,38.82073594877976,7.586389416669448e-08,89.69622831139107,-2.877504857274783,2.2824778305184927,0.0,True
o__Acidaminococcales,5,-0.7799780611631459,0.07712766075168467,-10.112818845554177,0.0,32.605067504714775,1.4388292413070047e-06,87.73196835301265,-0.9256700749136736,4.2592995168524235,0.0,True
g__Trichococcus,5,-0.9269968682287091,0.09803590897737778,-9.455686981416347,0.0,27.017789070706662,1.9714963189643164e-05,85.19493956544025,-1.0769761189880134,1.9212810821903625,0.0,True
t__SGB1626,5,-1.1125675390209009,0.09643301708629497,-11.537205540559807,0.0,33.916260786302225,7.752444530773062e-07,88.20624707068096,-1.2739373802009197,2.1370411418617095,0.0,True
f__FGB7461,5,-0.8352998724815346,0.07963610223484643,-10.488959768752114,0.0,54.305264596061406,4.542355380721119e-11,92.63423163526929,-3.171367810094909,3.7440269792821224,0.0,True
f__Fluviibacteraceae,5,-1.7761391902019712,0.10528573431443532,-16.869704160466227,0.0,127.39945849463166,0.0,96.86026922934798,-2.6995630835482256,6.800222408107412,0.0,True
f__Legionellaceae,5,0.8288935073996175,0.09136866552728448,9.071966878536642,0.0,33.02930562529206,1.1780912917425113e-06,87.88954256144878,-2.2256117799218242,1.0123337713573832,0.0,True
t__SGB1836,5,-1.2802424497534834,0.09894720615055484,-12.938641721783517,0.0,39.31268878952597,6.003597396997407e-08,89.8251680992481,-1.7310912013688013,2.0070570412144666,0.0,True
t__SGB1924,5,-1.8068627330440974,0.09711705381757123,-18.604999451879838,0.0,145.45349815613017,0.0,97.24998019937176,-2.1251432076549923,5.171333623512341,0.0,True
t__SGB1815,5,-0.938971102535901,0.09718150519008137,-9.662034979797115,0.0,28.174651493411496,1.1496467889005046e-05,85.80284124921516,-1.1071738053233535,1.478426504739391,0.0,True
o__Campylobacterales,5,2.7716045637448596,0.14737234580498573,18.806815814769326,0.0,367.5631459120259,0.0,98.911751614794,-3.5186361185264348,5.086847026136692,0.0,True
o__Burkholderiales,5,-8.889970795079648,0.10618816496979248,-83.71903589829047,0.0,750.0800724713251,0.0,99.46672360101222,-9.752928418147821,1.9945500515819266,0.0,True
o__Pseudomonadales,5,-2.129091046451989,0.1035822774479204,-20.55458809082919,0.0,132.45383639896963,0.0,96.9800799216178,-2.425849212925628,6.740493597214114,0.0,True
o__OFGB7461,5,-0.8352998724815346,0.07963610223484643,-10.488959768752114,0.0,54.305264596061406,4.542355380721119e-11,92.63423163526929,-3.171367810094909,3.7440269792821224,0.0,True
o__Caulobacterales,5,-1.9127234780376068,0.0968316443302676,-19.75308269591915,0.0,56.764365065800334,1.3863021841586942e-11,92.95332556725815,-3.031459084840502,1.2310896209635864,0.0,True
o__Corynebacteriales,5,-1.5765237575441957,0.1048264340325091,-15.039372197429508,0.0,38.116042713137254,1.0604606992536958e-07,89.5057311429097,-1.7427245489515633,3.9048193474353052,0.0,True
t__SGB75519,5,0.9046939805558905,0.07925312712549186,11.415246481358016,0.0,38.65076919033254,8.224904834985836e-08,89.65091747514175,-2.768525650367603,1.1828132751724039,0.0,True
o__Sphingomonadales,5,-5.48919494288435,0.10743897270012395,-51.09128284580123,0.0,224.94581032609744,0.0,98.2217939537521,-5.888016097139653,3.383022183807711,0.0,True
o__Rickettsiales,5,-1.8878187463680782,0.1049245160412308,-17.992160627419494,0.0,201.869116722125,0.0,98.01851810472523,-3.201508308267573,4.172969282649513,0.0,True
o__Rhodospirillales,5,-1.2347482155225034,0.10564461728962131,-11.687753216403642,0.0,55.5955577891052,2.4374613438737924e-11,92.8051805592571,-6.067809823375511,1.6020078604611654,0.0,True
f__Methylophilaceae,5,-4.321368101405349,0.10595644395311354,-40.78438214968392,0.0,201.29754320252363,0.0,98.01289179372863,-7.718969891981195,3.3123107604867132,0.0,True
t__SGB19418,5,2.8321793858097455,0.14605089079309033,19.391729625409006,0.0,455.44838473263906,0.0,99.12174460727353,-3.1195365763126826,5.135115609243703,0.0,True
t__SGB1814,5,-1.3900330709761892,0.10139236632984001,-13.709445013387553,0.0,40.24608856984742,3.849722429727365e-08,90.06114595941922,-1.5847908261206642,2.057848902074126,0.0,True
f__Sphingomonadaceae,5,-4.150158406161848,0.10688796356420606,-38.827181918092286,0.0,192.2676529481259,0.0,97.91956684410185,-4.484850709396377,4.78333786077038,0.0,True
t__SGB10068,5,-0.7901810318334297,0.0733112417713103,-10.778442879174635,0.0,39.01129773129372,6.929116258547197e-08,89.74656001563538,-0.9964527421094828,4.7110850927602295,0.0,True
s__Trichococcus_flocculiformis,5,-0.9097228620243987,0.09799422530373442,-9.283433377882222,0.0,26.56592265588416,2.432772244254089e-05,84.94311659409266,-1.0600251335838995,1.8714178401589097,0.0,True
f__Rikenellaceae,5,-1.3540505364820004,0.09500950193284799,-14.251738078145419,0.0,54.26568261233583,4.6298853639825666e-11,92.62885896308488,-2.0458033928272257,3.8620852645174164,0.0,True
t__SGB10120,5,0.8429146368693483,0.07923669361203763,10.637932988426625,0.0,34.70722827709579,5.335102105652467e-07,88.47502321976052,-2.935452459145633,1.113865037539186,0.0,True
f__Rickettsiaceae,5,-1.6132556938473508,0.10465852648709884,-15.414469780885128,0.0,196.43936538843258,0.0,97.9637482578451,-2.9199379544306625,4.454539636486423,0.0,True
f__Pseudomonadaceae,5,-2.129091046451989,0.1035822774479204,-20.55458809082919,0.0,132.45383639896963,0.0,96.9800799216178,-2.425849212925628,6.740493597214114,0.0,True
f__Prevotellaceae,5,-1.7658653770162727,0.10124142997742969,-17.4421220384772,0.0,140.81149878420672,0.0,97.15932290009214,-2.236151138950144,2.1154244775121303,0.0,True
f__Porphyromonadaceae,5,-0.9760676955895645,0.09462898326572597,-10.314680153000124,0.0,85.63789326549946,0.0,95.32917047877513,-1.2373040559624986,3.4057081352604444,0.0,True
