species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,p_adjusted,significant
g__GGB44404,4,1.060752248139076,0.11067911256812178,9.584032827207524,0.0,13.384386962057315,0.00387496168183743,77.58582437503831,-0.9390623529184863,1.300949511892349,0.0,True
g__GGB44854,4,0.9518585918025928,0.10766045835355142,8.841301684567773,0.0,13.90269177719735,0.0030406429690743586,78.42144493974553,-1.5662478662990107,1.068208102485753,0.0,True
c__Alphaproteobacteria,4,-6.821218003341144,0.11360366095617781,-60.043998106473026,0.0,289.5632359865904,0.0,98.96395687464312,-7.250517981986096,2.7560857194905752,0.0,True
s__Segatella_copri,4,-1.991040393746787,0.11202347101203457,-17.773421728138487,0.0,33.26055066985025,2.837799342181313e-07,90.98030567870478,-2.1491534886121113,1.2007754726812023,0.0,True
c__Bacteroidia,4,-3.1004258932276425,0.2591828261205904,-11.962312239720323,0.0,165.61067638872092,0.0,98.18852258476475,-5.317380822053433,3.3059831225233047,0.0,True
s__Simplicispira_sp_110,4,0.9991810110398345,0.11134467960096374,8.97376520028341,0.0,24.03386180643875,2.4576635761830445e-05,87.51761150929023,-2.5006668218437653,1.12119522653356,0.0,True
f__Fluviibacteraceae,4,-1.8331427906443396,0.11334009096951399,-16.173824945468017,0.0,102.75570474115172,0.0,97.08045406573076,-2.8121036801481387,7.023423465511953,0.0,True
g__Zoogloea,4,-1.1030327655893046,0.11026892525908735,-10.003115229405056,0.0,30.053987306892285,1.3444372604087818e-06,90.01796344236823,-3.094702446684325,2.154704555198114,0.0,True
s__Eubacterium_rectale,4,-2.47997353441591,0.1096586951176841,-22.61538432273372,0.0,46.87291423870294,3.698814587949073e-10,93.59971521138554,-2.855924099002245,1.8216706689506406,0.0,True
o__Acidaminococcales,4,-1.4278298690947806,0.11108359408879784,-12.853652069930364,0.0,28.24637968285576,3.224253787958986e-06,89.37916988412904,-1.5490250470907752,3.312624898380931,0.0,True
s__Fluviibacter_phosphoraccumulans,4,-1.8331427906443396,0.11334009096951399,-16.173824945468017,0.0,102.75570474115172,0.0,97.08045406573076,-2.8121036801481387,7.023423465511953,0.0,True
t__SGB10120,4,1.6176163353710569,0.11173354880410323,14.477445249744475,0.0,30.887674207127993,8.97621129647419e-07,90.28738784318152,-2.0751869055536716,1.7888628119851688,0.0,True
s__GGB23780_SGB65296,4,-1.5443724339209322,0.11250533204032999,-13.727104359527761,0.0,48.45648996680613,1.702641361234214e-10,93.80887884769393,-4.3510274165538565,2.756991998906738,0.0,True
t__SGB10124,4,1.1666325405506954,0.1094425587752873,10.659770327063361,0.0,17.232196772512157,0.0006331268283633618,82.5907280446946,-0.7329468340782725,1.3287994750985006,0.0,True
f__Akkermansiaceae,4,-1.0706332741274305,0.11112126223657462,-9.634819228817586,0.0,13.586102914890482,0.003526261840933631,77.91861272659744,-1.188699857290227,0.618158530440982,0.0,True
t__SGB102999,4,1.1924487061808244,0.1109944303644309,10.743320203235664,0.0,25.209774862627526,1.3957063379810286e-05,88.09985405919916,-0.928183462472054,2.3759493341561972,0.0,True
s__Acinetobacter_lwoffii,4,1.4832850090184213,0.11143357716103086,13.310934161926347,0.0,26.880870840966605,6.235812084476322e-06,88.83964728022136,-0.5628891982107338,1.6571124764251466,0.0,True
s__Candidatus_Chazhemtobacterium_aquaticus,4,1.7364660456821195,0.11182209431497249,15.528827789532953,0.0,34.894783322281974,1.2822260586631273e-07,91.40272638379055,-1.8460058627961353,1.9200652835978933,0.0,True
t__SGB1814,4,-2.246017114409701,0.11225289145994308,-20.008545750566984,0.0,37.47772359403038,3.645849022682057e-08,91.99524487533748,-2.4078978323212357,1.173692335104239,0.0,True
f__FGB8911,4,0.9297306039967791,0.10805251245943925,8.604433000535561,0.0,9.828336726027127,0.020083138154730396,69.47601528491099,-0.6486754707135105,1.0349769577074603,0.0,True
t__SGB12690,4,-3.451907410799017,0.11074866961470134,-31.16883862179409,0.0,166.51404236990246,0.0,98.1983501467488,-3.911987077313812,1.6871284406609925,0.0,True
t__SGB28484,4,-1.1772749017208854,0.10966591399340607,-10.735103177015166,0.0,49.66602040953111,9.410761059314154e-11,93.95965294730098,-3.4619770360498014,2.319955987500343,0.0,True
g__Trichococcus,4,-1.6080267786333082,0.11216239527127374,-14.336594495366889,0.0,26.610169908284067,7.106005106782831e-06,88.72611482624896,-1.7490635130261079,1.1881441273829532,0.0,True
f__Rikenellaceae,4,-2.4514800168506805,0.10826698052426378,-22.64291481095917,0.0,51.91720500274796,3.1192715077565936e-11,94.22156874615803,-2.9453167684198522,2.626830234920334,0.0,True
o__Coriobacteriales,4,-1.1561279278294059,0.11217113805875713,-10.306821771067408,0.0,40.93935245355586,6.735773161459235e-09,92.67208731891061,-3.2085984620551944,4.433288233380337,0.0,True
f__Streptomycetaceae,4,0.9989424575589112,0.11212193485491866,8.909429353422265,0.0,15.362748616561584,0.0015314867531057708,80.47224442137981,-1.0723129557939974,2.2894599845119283,0.0,True
f__Bifidobacteriaceae,4,-1.5103454425006753,0.10825167541303779,-13.952166899384265,0.0,62.199212585901094,1.9917401061775308e-13,95.1767878156708,-1.6840346423688444,4.651390881195452,0.0,True
g__Lachnospiraceae_unclassified,4,-2.8207089927620785,0.10953741632138392,-25.751100286007194,0.0,71.61937093063568,1.887379141862766e-15,95.81118912241558,-3.231159320950276,3.1811707968933978,0.0,True
t__SGB1927,4,-1.4072375837756743,0.11140589787200365,-12.631625530207353,0.0,72.8731892672662,9.992007221626409e-16,95.88325963202003,-1.6559661760359226,3.172313794332999,0.0,True
g__Ralstonia,4,1.2952951395687575,0.11212177118344484,11.55257472208049,0.0,21.02517231449928,0.00010401653016045564,85.73138923607702,-0.9515003818342707,1.4362180274459746,0.0,True
f__Erysipelotrichaceae,4,-1.1412990616979302,0.111921937044438,-10.197277601126432,0.0,67.95253342094273,1.1657341758564144e-14,95.58515356386195,-3.415070174412203,5.852871837730199,0.0,True
o__Lactobacillales,4,-3.7039539019815257,0.1124445886737923,-32.94025924828532,0.0,147.19507123793227,0.0,97.96188827875176,-4.02522644290673,4.364899478474124,0.0,True
s__GGB26683_SGB103556,4,0.9297306039967791,0.10805251245943925,8.604433000535561,0.0,9.828336726027127,0.020083138154730396,69.47601528491099,-0.6486754707135105,1.0349769577074603,0.0,True
