species,n_cohorts_original,pooled_effect_original,pooled_se_original,z_score_original,p_value_original,Q_statistic_original,Q_pvalue_original,I2_heterogeneity_original,min_effect_original,max_effect_original,p_adjusted_original,significant_original,n_cohorts_balanced,pooled_effect_balanced,pooled_se_balanced,z_score_balanced,p_value_balanced,Q_statistic_balanced,Q_pvalue_balanced,I2_heterogeneity_balanced,min_effect_balanced,max_effect_balanced,effect_range,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Phocaeicola_dorei,4,-0.6727370657222222,0.0772099798246165,-8.71308433508664,0.0,23.95740563437951,2.5496719310069693e-05,87.4777759921762,-0.7367737743235518,1.6504674332809586,0.0,True,4,-1.5813670493063887,0.32216608496377136,-4.908546005034077,9.175410715656085e-07,9.382216726527371,0.024617959710118376,68.02461414563393,-2.013397548260824,1.6429552776189524,3.6563528258797766,2.797020363320968e-06,True,320.000004834948,6.037374486470879
s__Phocaeicola_vulgatus,4,-0.9319402551496884,0.0779393660948437,-11.957247047860497,0.0,31.53155942685863,6.568898294201375e-07,90.48572270280869,-0.9994596756337047,2.3067525778470883,0.0,True,4,-2.000498695199835,0.39466293372044076,-5.068879097262493,4.00165304892397e-07,12.725790565020702,0.005268733068629627,76.42582608387349,-2.6811041696564506,1.8210771317495387,4.502181301405989,1.3115244385779716e-06,True,320.000004834948,6.397760568240962
s__Segatella_copri,4,-0.8661796942369508,0.0774115671445796,-11.189279925301202,0.0,30.73358975973818,9.67231791659806e-07,90.23869315803104,-0.935916712735248,2.2882372709120045,0.0,True,4,-1.5944853774595205,0.4219087979207202,-3.7792181279877837,0.0001573215677508344,8.728850812860477,0.03312188024315854,65.63121464305462,-2.262902286278316,1.1242281513103718,3.387130437588688,0.00034046308746077516,True,320.000004834948,3.803211734381895
s__Acidovorax_temperans,4,-1.3523422634170164,0.0983363760738874,-13.752207651021228,0.0,149.8946488868417,0.0,97.99859433123277,-1.6920681360606964,3.59050819192967,0.0,True,4,0.8852766861231705,0.2804131882791924,3.157043688122642,0.001593774658400271,82.22598896773488,0.0,96.351518494746,-4.473440859102251,2.438157078857432,6.911597937959683,0.0028597159218764355,True,320.000004834948,2.797573082896902
s__Aeromonas_media,4,-1.4343836837575883,0.0820809120599089,-17.475240561540854,0.0,68.26244313355716,1.0103029524088925e-14,95.6051968516122,-1.544602917026768,3.723077144222208,0.0,True,4,-2.222263010713627,0.47604699304475007,-4.668158906960529,3.0391080991787334e-06,34.13701910295099,1.853524744799273e-07,91.21188645396204,-3.9159030474261556,3.8855158881028524,7.801418935529008,8.573006429026576e-06,True,320.000004834948,5.517253852061591
s__Bacteroides_graminisolvens,4,-1.3557469231717727,0.1212461824294089,-11.181769982416604,0.0,140.28900245416037,0.0,97.8615572514458,-1.7640059347577886,5.810967255510829,0.0,True,4,1.195836954591365,0.18088166601259767,6.611156237957692,3.8133052271405177e-11,677.0314497723966,0.0,99.55688912221012,-5.53298541973156,4.575979326778556,10.108964746510114,1.715987352213233e-10,True,320.000004834948,10.41869843124415
s__Cloacibacterium_caeni,4,-1.111293510285398,0.0983070321004355,-11.304313501703964,0.0,69.46099785485617,5.551115123125783e-15,95.68102950915171,-1.3049963020060402,2.749599554226836,0.0,True,4,-3.2837625104041663,0.2955758567499449,-11.109711552598853,0.0,46.075659676098695,5.465248253955224e-10,93.48897005254116,-4.045076282940464,3.183086632624113,7.228162915564576,0.0,True,320.000004834948,320.000004834948
s__Fluviibacter_phosphoraccumulans,4,-0.7981050270442842,0.0752981473601345,-10.599265121718366,0.0,100.4209772606239,0.0,97.01257637414336,-1.838400674002806,8.014854172123815,0.0,True,4,3.707115519417013,0.23146582848945266,16.0158220485921,0.0,461.1144584453231,0.0,99.34940231323158,-3.8682600336801123,7.066506217901065,10.934766251581177,0.0,True,320.000004834948,320.000004834948
s__Eubacterium_rectale,4,-0.9914612895991008,0.0978247520356473,-10.135075928818218,0.0,40.540980058151845,8.182138633294755e-09,92.60008022574488,-1.694205841749729,2.965661225736629,0.0,True,4,-1.5189111958264934,0.48527096063970476,-3.1300269726096945,0.0017479025313165142,12.81527442162795,0.005053601722554202,76.59043496612924,-2.620043632099493,3.0600762795750587,5.680119911674552,0.003097064797676449,True,320.000004834948,2.7574827886876605
s__GGB41936_SGB59041,4,-1.0630786719525829,0.1169814727665672,-9.08758153587211,0.0,48.51882069019808,1.6514167811010338e-10,93.81683240168682,-1.2556298179297545,4.332299718494283,0.0,True,4,-2.865054625856183,0.27410304048372086,-10.45247298534195,0.0,142.32708973503335,0.0,97.89217920103262,-4.736170415179835,3.2685648044581184,8.004735219637954,0.0,True,320.000004834948,320.000004834948
s__Alistipes_putredinis,4,-0.6425298345204928,0.0853205568878107,-7.53077403568011,5.0404125317982113e-14,25.322622362609184,1.3218751934607198e-05,88.15288575945542,-1.301174160398276,1.8730237145702,4.859860441106931e-13,True,4,-1.050091450610105,0.4461578238809412,-2.3536322673349006,0.018590992493173975,6.600812393370351,0.08577038291809791,54.55104885251539,-1.8494269778926196,1.2475681003196986,3.096995078212318,0.0277397177463938,True,13.297533917333899,1.730697424493672
s__Bacteroides_uniformis,4,-0.7975842158435783,0.1062543156700032,-7.506370078375513,6.084022174945859e-14,29.312799230773347,1.924855145052362e-06,89.76556289837198,-1.3812103166693075,2.13674214833588,5.696055543500035e-13,True,4,-1.702360033932295,0.4038068192093871,-4.215778320102032,2.4891818743322247e-05,11.426695190284054,0.00962878144849244,73.74568980757573,-2.4340820347145042,2.059652067120751,4.493734101835255,6.083474667010222e-05,True,13.215809211706635,4.603943370111701
s__Arcobacter_caeni,4,-0.681566674708089,0.0949625926035297,-7.177212163463564,7.114309141798003e-13,83.1155829852461,0.0,96.3905685405196,-2.8838723616988573,2.690196784814091,6.383116257779875e-12,True,4,-0.9232095737110356,0.27299416909960444,-3.381792280604331,0.0007201457683612134,8.500209856032907,0.036729633145055396,64.70675370595949,-1.291962462739171,2.5071473903776806,3.7991098531168515,0.0014080091402096826,True,12.147867267114822,3.142579586919573
s__Parabacteroides_distasonis,4,-0.5137668786328666,0.0732769343237833,-7.011304216995807,2.361000284167858e-12,18.353051190318187,0.0003719260352343,83.65394413773228,-1.004091678481719,1.3093304924771108,1.9807872513927738e-11,True,4,-1.4550049569948988,0.29588093305956753,-4.917535381375769,8.764062024990693e-07,8.35612034914868,0.03919752685210065,64.09817146415755,-1.819883760157492,1.7461054943967398,3.565989254554232,2.700664765309632e-06,True,11.62690396064998,6.057294557512989
s__Dechloromonas_sp_H13,4,0.5978736481028932,0.0869184443513265,6.878559005109119,6.0460525475036775e-12,31.819429095501288,5.712704099769539e-07,90.5717981583015,-2.387268276107071,2.2532349106109204,4.9439872730219945e-11,True,4,0.16961324792591098,0.3722910400896581,0.4555931506841083,0.6486825693731881,21.254680292423984,9.320223775366454e-05,85.8854616549122,-1.1392668219508661,2.963418486299753,4.102685308250619,0.6952798049803359,False,11.218528082597878,0.18796777175798968
s__GGB4599_SGB6362,4,-0.5511905020870991,0.084167981177127,-6.548695767421912,5.804179359358841e-11,84.32475947120597,0.0,96.44232605131307,-1.2918902886258108,1.6787461920419429,4.359883565285826e-10,True,4,-1.2188367104906703,0.26424273568927575,-4.612564683420119,3.977307146518783e-06,12.056216676979913,0.007193046031000017,75.11657196964462,-1.5527332288338171,3.169169789573265,4.721903018407082,1.100064952232268e-05,True,10.236259175562994,5.400410869439585
s__GGB44385_SGB103154,4,0.73204395488495,0.1135821095784536,6.445063906647297,1.1555179035838135e-10,24.5504780199037,1.916985270478122e-05,87.78027866680306,-1.620528935598279,0.8756999571370472,8.387242311406107e-10,True,4,-0.14551220688200156,0.4882559404787635,-0.2980244474635953,0.7656845046070764,2.3752982930324262,0.49824940083889413,0.0,-1.1570117448500712,1.1948900222169185,2.3519017670669897,0.7850689224452302,False,9.937223321178017,0.1159501417681947
s__Macellibacteroides_fermentans,4,-0.6025163682926575,0.0950026410625962,-6.34210124638183,2.2665225252183063e-10,77.10121146124746,1.1102230246251563e-16,96.10901055490176,-0.7883621271040321,4.101829327546136,1.5576314375436447e-09,True,4,-0.4437123945050003,0.15181819710936692,-2.9226561963804536,0.003470594981935804,474.09666724156307,0.0,99.3672176568009,-2.9151083700155938,4.070528847438988,6.985637217454581,0.005874111506739107,True,9.644639960466135,2.4595960654912328
