species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,effect_range,p_adjusted,significant
s__Acetoanaerobium_noterae,5,-1.938709441105454,0.22572976703850817,-8.58862996467241,0.0,25.805976889707228,3.462672996579208e-05,84.49971486413517,-2.3228359431446526,4.641099239064735,6.963935182209387,0.0,True
s__beta_proteobacterium_CB,5,-2.95900102670233,0.12679554915569008,-23.336789393679926,0.0,380.1700948916097,0.0,98.9478393872247,-3.8104710332459177,8.763037848540113,12.573508881786031,0.0,True
s__alpha_proteobacterium_SCGC_AAA028_D10,5,-2.324886997642486,0.11740476118105714,-19.80232295738956,0.0,195.01558454320394,0.0,97.94888187558475,-2.9338980842778892,6.917119691052032,9.851017775329922,0.0,True
s__actinobacterium_SCGC_AAA028_A23,5,-3.4949439284135164,0.11772976475830796,-29.68615401201577,0.0,179.75022218303437,0.0,97.77468981600094,-4.081790362414086,5.31059377115921,9.392384133573296,0.0,True
s__Sulfurisoma_sediminicola,5,-1.2523375487496886,0.12671201217920336,-9.88333724018652,0.0,27.349906629615816,1.6889623302707157e-05,85.37472155144908,-1.6604136188942193,2.276736306086938,3.9371499249811572,0.0,True
s__Tolumonas_auensis,5,-1.6674290550892328,0.12864369038200238,-12.961607756570631,0.0,32.6907750158376,1.3818866061443558e-06,87.76413224200977,-2.0750817578993086,1.5619650718162792,3.6370468297155876,0.0,True
s__Thermomonas_SGB62036,5,-1.13185687061448,0.11551115205635405,-9.798680477728112,0.0,26.236164953940634,2.8357300263848195e-05,84.75386929826722,-1.5193588881070212,2.282119805801021,3.801478693908042,0.0,True
s__Stenotrophomonas_maltophilia,5,-1.3375569604268192,0.13494866596802252,-9.911598242429214,0.0,57.06445482513135,1.1992407067396016e-11,92.99038252050664,-3.0837609760658076,6.239704215910999,9.323465191976807,0.0,True
s__Sphingorhabdus_rigui,5,-3.6034835720936855,0.11711094982412174,-30.769826199048246,0.0,444.5991144931492,0.0,99.10031309788818,-4.4142732866888466,8.85623246825611,13.270505754944956,0.0,True
s__Aquirufa_antheringensis,5,-2.989676310020055,0.11691078865525226,-25.572287591319256,0.0,440.70324167283036,0.0,99.09235975101596,-3.796397856108044,9.70854115615191,13.504939012259953,0.0,True
s__Aquirufa_lenticrescens,5,-2.4472855873294863,0.11700937669965615,-20.915294623022106,0.0,243.3478802148459,0.0,98.3562626489828,-3.1247617044430624,6.93982587268382,10.064587577126883,0.0,True
s__Aquirufa_nivalisilvae,5,-1.033698167904356,0.11173361678897363,-9.251451779786708,0.0,43.35181530552485,8.74656636007387e-09,90.77316607895257,-2.356397593856282,4.337964150283142,6.694361744139424,0.0,True
s__Aquisediminimonas_SGB62114,5,-2.0621336348344346,0.14597690521959278,-14.126437546626782,0.0,25.953838424299338,3.233010007785975e-05,84.588021491823,-2.275755445510459,1.6487391344989497,3.9244945800094087,0.0,True
s__Arcobacter_acticola,5,-2.340229766615621,0.12497967248609107,-18.724883175510517,0.0,42.12616110482651,1.5706755895905644e-08,90.50471276020993,-2.7690069653458993,3.05987004264788,5.828877007993779,0.0,True
s__Sphingorhabdus_SGB38271,5,-1.3287536967106417,0.11878229069564132,-11.186462972964032,0.0,22.530463709912475,0.00015712588263916416,82.24625976854544,-1.6902452277431999,2.0781067982462713,3.768352025989471,0.0,True
s__Aurantimicrobium_photophilum,5,-2.0549587812533576,0.11591722789063205,-17.727811634627873,0.0,275.5115771683055,0.0,98.54815538384565,-2.7792350243573125,7.529341571265892,10.308576595623204,0.0,True
s__Azonexus_hydrophilus,5,-2.143277270725062,0.16813178896654335,-12.747602841194736,0.0,47.245738204359604,1.3553671518451438e-09,91.53362789528623,-2.4510117643057368,6.180804256535397,8.631816020841134,0.0,True
s__Polynucleobacter_sp_MWH_Aus1W21,5,-1.2019000398322734,0.11858657208908738,-10.135211927108864,0.0,24.181210174021306,7.346435149890862e-05,83.45823070386554,-1.5582761495947157,3.8464642680487335,5.404740417643449,0.0,True
s__Polynucleobacter_sp_MWH_CaK5,5,-2.495562795557652,0.1165736757794357,-21.407601492119067,0.0,347.51705523567466,0.0,98.84897735528769,-3.2537075808040274,8.672865811087425,11.926573391891452,0.0,True
s__Polynucleobacter_sp_MWH_Jannik1A5,5,-2.7600652852149663,0.11737390482101945,-23.515152617813314,0.0,263.66467994840997,0.0,98.48292156507931,-3.4271241511800543,7.7316518556823155,11.15877600686237,0.0,True
s__Polynucleobacter_sp_es_MAR_4,5,-1.886181425268332,0.10421948634512594,-18.098164665887776,0.0,509.2840468167404,0.0,99.21458368370229,-2.84949780341318,8.761430436104796,11.610928239517975,0.0,True
s__Polynucleobacter_yangtzensis,5,-3.50711132812059,0.12765782245472104,-27.472749109162717,0.0,391.4739275536131,0.0,98.97822058674592,-4.360686148287739,8.36628088466019,12.726967032947929,0.0,True
s__Prevotella_oryzae,5,-1.7694209240345364,0.12746649128638118,-13.881459402998296,0.0,55.64820904303096,2.3762991574471926e-11,92.81198789900512,-2.251382005671962,2.9502216229165557,5.201603628588518,0.0,True
s__Brucella_anthropi,5,-1.3700132497840039,0.13495423636092269,-10.151687614459389,0.0,57.6361990924309,9.097833597593308e-12,93.05991709553015,-3.116580903110648,6.37098392409036,9.487564827201007,0.0,True
s__Burkholderiales_unclassified_SGB103074,5,-1.9598520226039164,0.12441635931613469,-15.752365953934138,0.0,72.82963895864225,5.773159728050814e-15,94.50773056520096,-2.4370239090781,5.16733472731186,7.60435863638996,0.0,True
s__Candidatus_Fonsibacter_ubiquis,5,-2.070135190801424,0.10517661577970457,-19.682466254070977,0.0,312.8749255183187,0.0,98.72153385466302,-2.8350316906449917,8.703565985032045,11.538597675677035,0.0,True
s__Candidatus_Megaira_endosymbiont_of_Carteria_cerasiformis,5,1.489195273027298,0.16802227789998675,8.863082274802414,0.0,756.5791443060543,0.0,99.47130448544563,-3.732524937652951,5.677722280468341,9.410247218121292,0.0,True
s__Candidatus_Methylopumilus_SGB80876,5,-0.9331367248489447,0.11170766582118798,-8.353381283095018,0.0,42.59309212611362,1.2567970553156727e-08,90.6088057937742,-2.2560981131286857,3.9367662273727575,6.192864340501443,0.0,True
s__Candidatus_Methylopumilus_rimovensis,5,-1.064446841416053,0.1183047343498414,-8.997499950157152,0.0,21.65412388477187,0.00023482461261514764,81.52776800721558,-1.4319216872708895,2.067497017905674,3.4994187051765637,0.0,True
s__Candidatus_Methylopumilus_universalis,5,-2.12269640061673,0.10511396838936712,-20.19423710418541,0.0,346.5792781213818,0.0,98.84586290857266,-2.9111276442859433,9.007949799595849,11.919077443881793,0.0,True
s__Candidatus_Microthrix_SGB36776,5,-1.6860560312374082,0.14438532908568338,-11.677474726236504,0.0,23.64242350693315,9.419807744404096e-05,83.08126068874877,-1.9065768666270002,2.0619765328804323,3.9685533995074325,0.0,True
s__Candidatus_Microthrix_parvicella,5,-1.0011715670269363,0.11483797550596449,-8.718122751780287,0.0,27.306202147564054,1.7237055821461844e-05,85.35131330829603,-1.4051031467374915,2.021453078929482,3.4265562256669733,0.0,True
s__Candidatus_Nanopelagicus_SGB64093,5,-3.27188613707464,0.117650638498448,-27.81018597802001,0.0,218.4254903723186,0.0,98.16871190574791,-3.8930321105315775,6.496942714666963,10.38997482519854,0.0,True
s__Candidatus_Nanopelagicus_abundans,5,-1.7752463278563178,0.11291530401394693,-15.721928425548453,0.0,125.96946512049622,0.0,96.82462730458226,-2.423155493919764,6.029887935010276,8.453043428930041,0.0,True
