species,n_cohorts_original,pooled_effect_original,pooled_se_original,z_score_original,p_value_original,Q_statistic_original,Q_pvalue_original,I2_heterogeneity_original,min_effect_original,max_effect_original,p_adjusted_original,significant_original,n_cohorts_balanced,pooled_effect_balanced,pooled_se_balanced,z_score_balanced,p_value_balanced,Q_statistic_balanced,Q_pvalue_balanced,I2_heterogeneity_balanced,min_effect_balanced,max_effect_balanced,effect_range,p_adjusted_balanced,significant_balanced,log_p_original,log_p_balanced
s__Segatella_copri,4,-1.991040393746787,0.1120234710120345,-17.773421728138487,0.0,33.26055066985025,2.837799342181313e-07,90.98030567870478,-2.1491534886121118,1.2007754726812023,0.0,True,4,-1.2686478778535155,0.5263464656677448,-2.4102904846982427,0.015939823600498393,6.879585228776868,0.07583646054722792,56.392719906264254,-2.214806590761634,1.1944561456448355,3.4092627364064696,0.025737421941406238,True,320.000004834948,1.7975164890725326
s__Simplicispira_sp_110,4,0.9991810110398344,0.1113446796009637,8.97376520028341,0.0,24.03386180643875,2.4576635761830445e-05,87.51761150929023,-2.5006668218437653,1.12119522653356,0.0,True,4,-0.2936170338119559,0.4096200252950955,-0.7168034170214956,0.4734954030187972,4.914422892305011,0.17817184822480447,38.955192384900556,-1.317886546604883,0.6367860355947016,1.9546725821995845,0.5387186108518501,False,320.000004834948,0.3246842330350712
s__Eubacterium_rectale,4,-2.47997353441591,0.1096586951176841,-22.61538432273372,0.0,46.87291423870294,3.6988145879490725e-10,93.59971521138554,-2.855924099002245,1.8216706689506408,0.0,True,4,-1.2744612630945655,0.5519534193873642,-2.309001481518391,0.02094349903163284,11.450780242005923,0.009522132025422514,73.80091193266611,-2.602582553939588,2.9726839075834404,5.575266461523029,0.03307070894884671,True,320.000004834948,1.6789507589903951
s__Fluviibacter_phosphoraccumulans,4,-1.83314279064434,0.1133400909695139,-16.173824945468017,0.0,102.75570474115172,0.0,97.08045406573076,-2.8121036801481387,7.023423465511953,0.0,True,4,5.45647504421292,0.1525194515416072,35.77560100735346,0.0,648.5979256575845,0.0,99.53746383062227,-3.960563477354719,7.092586152224228,11.053149629578947,0.0,True,320.000004834948,320.000004834948
s__GGB23780_SGB65296,4,-1.5443724339209322,0.1125053320403299,-13.72710435952776,0.0,48.45648996680613,1.702641361234214e-10,93.80887884769392,-4.3510274165538565,2.756991998906738,0.0,True,4,-2.1254476891415623,0.2080242994742403,-10.21730487502378,0.0,18.045797690216123,0.00043038615664581226,83.37563098345878,-3.1459570610463063,3.8189128881689705,6.964869949215277,0.0,True,320.000004834948,320.000004834948
s__Acinetobacter_lwoffii,4,1.4832850090184213,0.1114335771610308,13.310934161926347,0.0,26.880870840966605,6.235812084476322e-06,88.83964728022136,-0.5628891982107338,1.6571124764251466,0.0,True,4,-0.11412354991794867,0.18104411097119044,-0.6303632264299895,0.5284569647384194,7.5860765394876495,0.05538754050295336,60.45386591627226,-0.8975081274350643,0.6028423482165256,1.5003504756515897,0.5895383541692237,False,320.000004834948,0.2769903739906641
s__Candidatus_Chazhemtobacterium_aquaticus,4,1.7364660456821197,0.1118220943149724,15.528827789532953,0.0,34.894783322281974,1.2822260586631273e-07,91.40272638379057,-1.8460058627961355,1.9200652835978933,0.0,True,4,0.4493589851444632,0.19915893497999085,2.2562833306454944,0.024052892663684045,2.972589563722471,0.3958706623429985,0.0,-0.5116814473875405,0.611416511071531,1.1230979584590717,0.037566245087462896,True,320.000004834948,1.6188326867607554
s__GGB26683_SGB103556,4,0.9297306039967792,0.1080525124594392,8.604433000535561,0.0,9.828336726027128,0.0200831381547303,69.47601528491099,-0.6486754707135105,1.0349769577074603,0.0,True,4,-1.3069495431850642,0.2116231588237954,-6.1758342066582355,6.581502010050144e-10,7.0805108205064196,0.06937541354781251,57.63017561795872,-1.4598402820176293,1.6333058089631491,3.0931460909807784,2.2523945126028185e-09,True,320.000004834948,9.181674981730078
s__Bacteroides_graminisolvens,4,-3.4083581759498216,0.1122714781126614,-30.35818387043612,0.0,136.9299530516848,0.0,97.80909878873058,-3.752518544710623,3.729226065602687,0.0,True,4,3.7798814776675984,0.10828589723535881,34.90649820679831,0.0,463.0948858229594,0.0,99.35218459718709,-5.062888585143609,4.414592501680866,9.477481086824476,0.0,True,320.000004834948,320.000004834948
s__Acidovorax_temperans,4,-3.451907410799017,0.1107486696147013,-31.16883862179409,0.0,166.51404236990246,0.0,98.1983501467488,-3.911987077313812,1.6871284406609923,0.0,True,4,0.47443587305886376,0.3348922529201949,1.4166821385740511,0.15657588148396195,71.86342292754217,1.6653345369377348e-15,95.82541454638917,-4.529754219852958,2.3753561865026835,6.905110406355641,0.20440529208924516,False,320.000004834948,0.8052751346479354
