species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,effect_range,p_adjusted,significant
s__Acetoanaerobium_noterae,4,-2.055738311199626,0.21303530154131559,-9.649754272302802,0.0,16.7455218117548,0.0007972192282873491,82.08476251905091,-2.292327745207238,2.748834122393842,5.04116186760108,0.0,True
s__beta_proteobacterium_CB,4,-3.0578853279216553,0.16065691448436242,-19.033636602172486,0.0,378.01319198216777,0.0,99.20637690333794,-4.80880553557397,8.067507944614695,12.876313480188664,0.0,True
s__Aurantimicrobium_photophilum,4,-1.7778630668811661,0.15874852015514546,-11.199241826907455,0.0,269.9414447244337,0.0,98.88864786840624,-3.3714273495833105,7.2399538444425255,10.611381194025835,0.0,True
s__Simplicispira_metamorpha,4,-1.546857364415936,0.16493938943551512,-9.378338125961701,0.0,34.31686786927524,1.6983386208480056e-07,91.25794343636478,-2.5383744655836704,2.0062299944403557,4.544604460024026,0.0,True
s__GGB46525_SGB64386,4,-2.05078069787699,0.1453597748739389,-14.108309535120698,0.0,405.92399187489684,0.0,99.2609453838529,-3.6115621874961703,8.753700182312008,12.365262369808178,0.0,True
s__GGB46526_SGB78238,4,-1.7838563499443965,0.14670840489543605,-12.159196681443099,0.0,202.08053157505677,0.0,98.51544333508161,-3.0336480126819,7.019957657869195,10.053605670551095,0.0,True
s__Blautia_faecis,4,-2.155109773911485,0.2586749469971596,-8.331343251169775,0.0,44.183662573885925,1.3795135034300188e-09,93.21015998847251,-3.197549698835679,2.601882981551686,5.7994326803873655,0.0,True
s__Bacteroides_graminisolvens,4,3.7798814776675984,0.10828589723535881,34.90649820679831,0.0,463.0948858229594,0.0,99.35218459718709,-5.062888585143609,4.414592501680866,9.477481086824476,0.0,True
s__GGB46527_SGB64388,4,-1.9961803050522087,0.14593360630526217,-13.678688244547473,0.0,320.8346976014492,0.0,99.06493904106136,-3.4297087388957195,8.208139836510654,11.637848575406373,0.0,True
s__GGB47501_SGB75672,4,-1.9609633652553864,0.17848447356515534,-10.986744819232365,0.0,54.085640651855385,1.0758505197827617e-11,94.45324125989237,-3.636794852010754,2.579898548851007,6.216693400861761,0.0,True
s__GGB47467_SGB65430,4,-3.764655211198744,0.20078100217735342,-18.75005687975079,0.0,36.326392148554135,6.388105755483764e-08,91.74154155542968,-4.117860679651368,5.538048661597175,9.655909341248543,0.0,True
s__GGB46797_SGB64687,4,-2.061202102738644,0.14561790418209816,-14.15486724874895,0.0,377.00480862135237,0.0,99.20425418153934,-3.5744438482117884,8.642345164458861,12.216789012670649,0.0,True
s__GGB46603_SGB64473,4,-1.918128566307578,0.18865322492035,-10.167483577963845,0.0,23.334394532892034,3.4393745275917986e-05,87.14344185887825,-2.626162749923144,3.5846423381575403,6.210805088080685,0.0,True
s__GGB46599_SGB64468,4,-1.9365917574382558,0.1685438582560096,-11.49013543107973,0.0,22.87496105772452,4.288038406186079e-05,86.88522357511535,-2.699575887620261,5.896680543551177,8.596256431171438,0.0,True
s__GGB46599_SGB103509,4,-1.8771649327111424,0.16849743750965726,-11.14061412716472,0.0,23.226631311364407,3.6220270522191456e-05,87.083792049809,-2.64292172210889,5.726718047017065,8.369639769125955,0.0,True
s__GGB46555_SGB64420,4,-1.7474392775529854,0.19373134034764042,-9.019910120981459,0.0,21.556084743420662,8.068313860332132e-05,86.08281589301295,-2.1771147652279765,3.5302999689271273,5.707414734155104,0.0,True
s__GGB46334_SGB35380,4,-1.7451521069840275,0.14914445170613735,-11.701086342940464,0.0,64.84910833577884,5.4067861299245124e-14,95.3738762536773,-2.6780990111740004,5.953310653345497,8.631409664519497,0.0,True
s__GGB61782_SGB83906,4,-2.2492009525782435,0.16253777536999126,-13.83801979237317,0.0,116.10131511648709,0.0,97.41604994138953,-3.5203599337800853,4.676835412585753,8.197195346365838,0.0,True
s__GGB46331_SGB64109,4,-1.8920053371811103,0.1473691688725062,-12.838542496076265,0.0,173.90961929711798,0.0,98.27496603573456,-3.067581503882673,7.121758131471516,10.18933963535419,0.0,True
s__GGB46263_SGB80728,4,-3.1693393986434555,0.20034600376906425,-15.819329255484947,0.0,28.985001487976696,2.255739247170041e-06,89.64981940316811,-3.5185662684107846,4.399392798332959,7.917959066743743,0.0,True
s__GGB45985_SGB63721,4,-1.785175831344307,0.16845441270405306,-10.597382417524258,0.0,22.878681464760753,4.2803901962429336e-05,86.88735622889459,-2.552161468449907,5.454437286040117,8.006598754490025,0.0,True
s__GGB46512_SGB91101,4,-1.8933485980951432,0.19697157478182611,-9.612293551454288,0.0,21.47501335207715,8.387569590329047e-05,86.03027643887435,-2.2849746240966584,3.1350930346814434,5.420067658778102,0.0,True
s__GGB75172_SGB103645,4,-1.774214040409226,0.1785649210813465,-9.935960712020085,0.0,51.337868025389504,4.144840026754082e-11,94.15636037219869,-3.4369860974977207,2.744208044021434,6.181194141519155,0.0,True
