species,n_cohorts,pooled_effect,pooled_se,z_score,p_value,Q_statistic,Q_pvalue,I2_heterogeneity,min_effect,max_effect,effect_range,p_adjusted,significant
s__GGB44403_SGB61822,5,-1.4474983837180013,0.12278964101978665,-11.788440553260902,0.0,35.9403067978412,2.9766815978771177e-07,88.87043446095385,-2.076914679655265,3.711470574089556,5.788385253744821,0.0,True
s__GGB44435_SGB61857,5,2.066874334035213,0.08820768412193049,23.431907941015083,0.0,3005.0105688177036,0.0,99.86688898729652,-4.174718221207308,6.159421813248071,10.334140034455379,0.0,True
s__GGB44499_SGB61930,5,-2.3584291497398295,0.13109251246910447,-17.99057097403376,0.0,125.18185372984804,0.0,96.80464869242765,-3.222310575827466,5.206707601644047,8.429018177471512,0.0,True
s__Roseburia_faecis,5,-2.598066138408932,0.2455425436978139,-10.580920517001482,0.0,55.688571753233866,2.3304469465301736e-11,92.81719772285645,-3.851623371699703,4.697919147406357,8.54954251910606,0.0,True
s__GGB44553_SGB103079,5,-1.1777898466026204,0.12350874891789806,-9.536084341567992,0.0,44.84045096909978,4.291517252674737e-09,91.07948311501939,-1.9131895943807635,3.04203992972232,4.955229524103084,0.0,True
s__GGB44695_SGB62151,5,-1.8648027476450917,0.20051770062696628,-9.299940812279127,0.0,14.142786628553889,0.006853010780095259,71.71703070225134,-2.0922030965290856,3.5578961435089136,5.650099240037999,0.0,True
s__GGB44798_SGB62263,5,-1.8343446823516134,0.13467791451587038,-13.62023379219653,0.0,39.83256356068043,4.6876287185249055e-08,89.95796493513039,-2.478189021233516,2.846497343122434,5.32468636435595,0.0,True
s__Pseudomonas_chengduensis,5,-1.6881124840764803,0.14804140965749996,-11.4029749377691,0.0,19.49689038678404,0.000627551961979278,79.48390784044517,-1.976355752189971,4.898923545808161,6.875279297998132,0.0,True
s__GGB4552_SGB6276,5,-1.4478074864673933,0.16487627209559894,-8.781175532813613,0.0,57.16720079468409,1.1411760425517059e-11,93.00298082747484,-3.109214602512985,3.5817771634126383,6.690991765925624,0.0,True
s__GGB32253_SGB56808,5,-2.3101438408248445,0.17036014761619991,-13.56035359883175,0.0,30.82904552105598,3.317310202533008e-06,87.02522270023562,-2.6283379323357416,2.8039100118522864,5.432247944188028,0.0,True
